Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address
1,41,97f75c29-dcae-423c-bf70-d19ae6704ed4,2020-09-10 22:20:58,477baf05-7eed-4271-8681-b8de8c27cac2,2020-09-10 22:19:27,3,41,41,41,out/09-10-15-19/log,out/09-10-15-19/base_samples41,out/09-10-15-19/bit1_samples41,out/09-10-15-19/bit0_samples41,0,,1.00707107051693,76:93:0C:1F:F9:FD
1,14,c32b79fc-f46a-4101-a272-923b1147a6be,2020-09-10 22:20:57,d7ac5921-c6d0-46d9-b8ac-fd286868fcb5,2020-09-10 22:19:27,3,15,15,49,out/09-10-15-19/log,out/09-10-15-19/base_samples14,out/09-10-15-19/bit1_samples14,out/09-10-15-19/bit0_samples14,-1.02066731307576,,1.00147347322292,9A:92:B4:93:B5:2F
1,13,2da6994d-33b7-4368-b05c-2d4077d32177,2020-09-10 22:20:58,ad447232-0ab2-4a45-a6fe-9154a54a8bd4,2020-09-10 22:19:27,3,13,13,13,out/09-10-15-19/log,out/09-10-15-19/base_samples13,out/09-10-15-19/bit1_samples13,out/09-10-15-19/bit0_samples13,0,,1.00085437660294,0A:70:44:B5:1F:29
1,93,7ea82def-d23d-43aa-a0d9-7fc68b9e259d,2020-09-10 22:20:58,2fd6c933-b8d9-43c8-8718-0536693590b9,2020-09-10 22:19:27,3,93,93,93,out/09-10-15-19/log,out/09-10-15-19/base_samples93,out/09-10-15-19/bit1_samples93,out/09-10-15-19/bit0_samples93,0,,1.00133878872762,76:99:08:8F:91:68
1,70,326fd53e-973a-4c27-b3a9-d54e0bcb45bd,2020-09-10 22:20:57,d38f215e-fcdc-449d-8443-35484434823a,2020-09-10 22:19:27,3,74,70,70,out/09-10-15-19/log,out/09-10-15-19/base_samples70,out/09-10-15-19/bit1_samples70,out/09-10-15-19/bit0_samples70,-1.08978293982561,,1.00202500918224,52:D6:51:DC:38:6D
1,25,9dd06c40-5c5d-4b63-9ace-45c6d752cd00,2020-09-10 22:20:58,0b2e37a5-aec4-4a34-ba6a-7c9c75a1a3a8,2020-09-10 22:19:27,3,25,25,25,out/09-10-15-19/log,out/09-10-15-19/base_samples25,out/09-10-15-19/bit1_samples25,out/09-10-15-19/bit0_samples25,0,,1.00001648248417,32:2E:FD:7E:21:F3
1,11,3f5dc983-16f1-4d53-a992-f7e1b2d5a402,2020-09-10 22:20:58,e004994f-ac4b-4162-a642-7808f33e7753,2020-09-10 22:19:27,3,11,11,11,out/09-10-15-19/log,out/09-10-15-19/base_samples11,out/09-10-15-19/bit1_samples11,out/09-10-15-19/bit0_samples11,0,,1.01718513685541,D2:32:B8:63:61:C6
1,97,01f0d49f-823a-43db-b4f2-c21beff85464,2020-09-10 22:20:58,a475a72d-4090-4bf6-a6b6-edf59e1b188f,2020-09-10 22:19:27,3,97,97,97,out/09-10-15-19/log,out/09-10-15-19/base_samples97,out/09-10-15-19/bit1_samples97,out/09-10-15-19/bit0_samples97,0,,1.00152535952038,06:A8:F3:A3:22:04
1,71,76a0657a-284c-4698-8b03-62dbf15c8018,2020-09-10 22:20:58,345a258a-21f8-4ed9-bdc6-3550256ed54a,2020-09-10 22:19:27,3,71,71,71,out/09-10-15-19/log,out/09-10-15-19/base_samples71,out/09-10-15-19/bit1_samples71,out/09-10-15-19/bit0_samples71,0,,1.00113162521571,76:4B:AF:0F:E4:8B
1,7,f7530780-bcb0-481a-b7fd-91eb986dc0f0,2020-09-10 22:20:58,9079eec9-0c2e-4591-9f5c-701548e723c4,2020-09-10 22:19:27,3,7,7,7,out/09-10-15-19/log,out/09-10-15-19/base_samples7,out/09-10-15-19/bit1_samples7,out/09-10-15-19/bit0_samples7,-1.93021549703659,,1.00702214998374,A2:00:20:19:DE:5E
1,40,5a779fa2-0383-4feb-bbfc-b57b124025e2,2020-09-10 22:20:57,9cba37b0-9a32-4f4d-83a9-f2f8a4e57405,2020-09-10 22:19:27,3,40,40,40,out/09-10-15-19/log,out/09-10-15-19/base_samples40,out/09-10-15-19/bit1_samples40,out/09-10-15-19/bit0_samples40,0,,1.00056229666127,1E:29:D0:34:42:28
1,17,fa81281f-3b7b-4825-ab3e-7eeb8c6dae49,2020-09-10 22:20:58,2474ef61-5a9c-4782-b10d-6bb8700d602d,2020-09-10 22:19:27,3,17,17,17,out/09-10-15-19/log,out/09-10-15-19/base_samples17,out/09-10-15-19/bit1_samples17,out/09-10-15-19/bit0_samples17,0,,1.06029298517487,DA:C7:F9:2A:D1:A5
1,51,3ae23c7d-1588-4895-88a2-dcb20589e087,2020-09-10 22:20:58,c026acfd-5cab-48c6-a3b4-4307e871ba59,2020-09-10 22:19:27,3,51,51,51,out/09-10-15-19/log,out/09-10-15-19/base_samples51,out/09-10-15-19/bit1_samples51,out/09-10-15-19/bit0_samples51,0,,1.00005239602752,C2:17:5E:48:86:68
1,29,b808888b-b6b3-425a-b1e2-6ba146a76d0a,2020-09-10 22:20:58,72593f78-22c1-4a21-9d47-aa5d58977e14,2020-09-10 22:19:27,3,29,29,29,out/09-10-15-19/log,out/09-10-15-19/base_samples29,out/09-10-15-19/bit1_samples29,out/09-10-15-19/bit0_samples29,0,,1.00074431444218,2A:77:5F:E1:F8:2D
1,36,862db398-88c8-4f64-828d-1edff7d2a9be,2020-09-10 22:20:57,6117dd61-8a1b-4fbb-8303-12c071521d9b,2020-09-10 22:19:27,3,36,36,36,out/09-10-15-19/log,out/09-10-15-19/base_samples36,out/09-10-15-19/bit1_samples36,out/09-10-15-19/bit0_samples36,0,,1.0002470185108,16:2E:8D:8A:4C:EA
1,66,05331ed5-1a6c-4a98-8bc1-28a8d75c4630,2020-09-10 22:20:57,023d98f6-b406-49bc-a208-74d55e096d25,2020-09-10 22:19:27,3,66,66,66,out/09-10-15-19/log,out/09-10-15-19/base_samples66,out/09-10-15-19/bit1_samples66,out/09-10-15-19/bit0_samples66,0,,1.00383948100794,12:80:8A:C9:2F:1C
1,58,43bf487c-4f67-4bc4-bd02-159a70c48ab9,2020-09-10 22:20:57,4c15f050-f6df-4171-ab30-2dcb8e900eb1,2020-09-10 22:19:27,3,58,58,58,out/09-10-15-19/log,out/09-10-15-19/base_samples58,out/09-10-15-19/bit1_samples58,out/09-10-15-19/bit0_samples58,0,,1.00895600634994,BE:90:C0:58:EF:3C
1,3,3de35bab-b028-43d1-a90d-eff9ee751f8f,2020-09-10 22:20:58,c9863b57-c619-4c61-92a0-3bacce28be64,2020-09-10 22:19:27,3,3,3,3,out/09-10-15-19/log,out/09-10-15-19/base_samples3,out/09-10-15-19/bit1_samples3,out/09-10-15-19/bit0_samples3,0,,1.00477807796514,36:14:C6:98:23:B8
