Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start
out/09-12-23-59/log,09-12-23-59-185,,e7ec0738-5df2-4cb5-800a-a98ab32d32dd,0E:CB:04:ED:9D:C9,185,1,2020-09-13 06:59:33,2020-09-13 07:00:41,185,50b276b2-948e-4eea-9f23-6d35e5c2b3c9,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-182,,467b7b53-ab9a-46c8-ac82-657dfc320e6c,96:FA:28:1B:F3:25,182,1,2020-09-13 06:59:33,2020-09-13 07:00:41,182,6fc998d7-fa58-4fe1-97f4-8da3b3c1d7a9,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-71,,dc039426-d70c-4112-87ff-5018c4381591,DA:D0:AD:3A:DC:FE,71,1,2020-09-13 06:59:33,2020-09-13 07:00:41,71,2fbd5c93-cec7-4fb1-bb93-5972c9530c09,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-55,,6ffca855-46ab-48f5-a694-471c8c4ef781,72:59:18:3D:A7:0D,55,1,2020-09-13 06:59:33,2020-09-13 07:00:41,55,9011f27f-f255-424f-8b6f-f48f27135dc0,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-92,,ae4662f7-520c-4a72-baa8-6af58c3b9c8c,72:B4:86:F4:32:1E,92,1,2020-09-13 06:59:33,2020-09-13 07:00:41,92,be199b61-50b5-41d5-9f61-e6d4212213b7,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-205,,b2803181-47a7-4106-b64b-21fd92c6869c,0A:2A:E7:2C:FD:55,205,1,2020-09-13 06:59:33,2020-09-13 07:00:41,205,16410f55-1507-480d-a265-fc7aa6709e0c,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-370,,b38a9ccd-43f6-4087-81ea-3543f88821cc,EE:E2:0E:C3:E8:CE,370,1,2020-09-13 06:59:33,2020-09-13 07:00:41,370,309510cf-f7ed-4e7a-b75c-ae6faafe01b2,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-302,,b384d7f5-7df4-4f4a-b75b-edacf6e2f3fd,DA:22:E9:59:40:BB,302,1,2020-09-13 06:59:33,2020-09-13 07:00:41,302,db35a209-4d41-41d4-af6b-57ef7fef8816,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-229,,b5edcd75-53ad-4241-b839-85a763099553,D6:E4:2A:0A:ED:14,229,1,2020-09-13 06:59:33,2020-09-13 07:00:41,229,514dd4aa-9a11-46bc-ac2a-a79d3e650e06,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-15,,6b79690f-4ddd-43f6-acec-d8a4a2377056,A6:42:69:5A:B3:DD,15,1,2020-09-13 06:59:33,2020-09-13 07:00:41,15,4c4292cd-aa96-43d1-9791-bedb77a415c1,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-352,,530a34ba-f4b9-4a64-9d5e-a05e4240691a,C6:B5:6F:5A:89:7B,352,1,2020-09-13 06:59:33,2020-09-13 07:00:41,352,4c8dfe48-7c30-408e-9a1a-e4b080d7980b,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-460,,7c080611-8391-442a-a4f4-9b60d35450bb,42:F8:8D:6B:7D:43,460,1,2020-09-13 06:59:33,2020-09-13 07:00:41,460,51ac6659-6c5a-4fb0-b8c0-726b0814c6df,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-290,,b3a423a4-6ceb-4fa1-b3a4-afc5d228adf3,06:00:A4:C4:D5:51,290,1,2020-09-13 06:59:33,2020-09-13 07:00:41,290,4ea509e1-db6d-46a0-a02e-d46466dd52c8,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-148,,c49364a2-82e3-4b0a-9df6-b038b40d1e05,CE:F4:16:53:7A:00,148,1,2020-09-13 06:59:33,2020-09-13 07:00:41,148,f2d4df15-c431-4263-9b03-98a0845f80af,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-268,,054e43b2-3d1f-4571-a473-374efca067ce,6E:43:D8:2C:55:3E,268,1,2020-09-13 06:59:33,2020-09-13 07:00:41,268,672adb6b-16bd-4514-8d73-1958f0823d2e,1,,-,-,-,No
