Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
1563,230,0,4,1955,16852,322805,2000,6187,3246,1.007322246988055,-10665
2878,466,0,9,2000,16788,319848,1982,6159,3309,1.015094304527973,-10629
2874,466,0,0,2000,16788,319848,1909,6321,3984,1.014628584033129,-10467
2875,466,0,2,2000,16788,319848,1962,6457,4948,1.014242001939128,-10331
1580,233,0,9,2000,16591,319102,1973,6389,4256,1.013952250204933,-10202
1565,230,0,9,1955,16852,322805,1954,6850,9585,1.006419292334139,-10002
704,97,0,4,2000,12007,226470,1960,5885,2111,1.009937921689021,-6122
890,128,0,3,2000,12068,230548,2000,6081,2693,1.009162832815222,-5987
706,97,0,8,2000,12007,226470,1988,6104,3045,1.009230574171516,-5903
705,97,0,7,2000,12007,226470,1893,6135,3022,1.009132824794257,-5872
889,128,0,2,2000,12068,230548,1941,6232,3123,1.008701106417271,-5836
2423,378,0,0,1964,11811,232357,2000,5981,2707,1.004704755106133,-5830
893,128,0,6,2000,12068,230548,2000,6248,3426,1.008652219504863,-5820
887,128,0,0,2000,12068,230548,2000,6362,3593,1.008313241517881,-5706
361,48,0,2,1964,12292,233728,1936,6588,4620,1.004446273951638,-5704
1533,225,0,2,2000,11983,224903,1956,6290,3572,1.008698984144948,-5693
533,72,0,0,1957,12050,227972,1944,6368,3902,1.004251759669434,-5682
384,51,0,7,1879,11910,231709,1964,6236,5895,1.002030607323758,-5674
476,64,0,7,2000,11668,224816,1887,5994,2832,1.008649601693773,-5674
2821,455,0,4,2000,12158,227005,1942,6491,4162,1.008456483490669,-5667
2759,442,0,0,1993,11624,226037,1951,5976,1901,1.007346064320292,-5648
198,25,0,1,1999,11810,225529,2000,6180,3090,1.008278764075541,-5630
381,51,0,2,1879,11910,231709,2000,6298,3394,1.001988877805736,-5612
891,128,0,4,2000,12068,230548,2000,6457,3919,1.008035404158939,-5611
1479,214,0,3,1956,11749,230028,1977,6147,2969,1.004011796215441,-5602
1445,208,0,3,1986,11645,237758,2000,6071,2978,1.005689093849065,-5574
275,36,0,1,1985,11727,225567,2000,6172,3580,1.006173446033698,-5555
888,128,0,1,2000,12068,230548,1998,6513,4263,1.007873285244238,-5555
1443,208,0,1,1986,11645,237758,1975,6107,3369,1.005614651335565,-5538
3009,499,0,3,1978,11865,232583,1854,6333,8622,1.005124506900299,-5532
2530,397,0,4,1985,12138,224695,1957,6609,11405,1.006119599687922,-5529
1611,240,0,9,1976,16865,320089,2000,11339,225972,1.001078041551377,-5526
3008,499,0,2,1978,11865,232583,1950,6339,3868,1.005131644030447,-5526
1446,208,0,5,1986,11645,237758,1962,6120,3103,1.005588673761528,-5525
2829,457,0,1,2000,11728,225786,1953,6214,2975,1.008093923865725,-5514
732,101,0,3,1978,11624,227106,1917,6111,3192,1.005359308103077,-5513
273,35,0,9,1935,12029,231044,1989,6519,4629,1.003061180453945,-5510
1380,197,0,9,2000,12263,225224,1995,6761,4835,1.008092072610696,-5502
707,97,0,9,2000,12007,226470,1961,6527,4627,1.00793908856523,-5480
2741,437,0,6,1947,11717,229078,1984,6249,3136,1.003476853528651,-5468
2920,477,0,5,1950,11559,227659,2000,6091,3172,1.003639619102014,-5468
1673,252,0,9,1982,12118,236645,1914,6656,4678,1.005154114311591,-5462
404,54,0,3,2000,11703,224432,2000,6243,3450,1.008030272485034,-5460
477,64,0,8,2000,11668,224816,1991,6219,3495,1.007970054375888,-5449
1050,150,0,0,1997,11568,224630,1924,6125,2622,1.007476049852319,-5443
1444,208,0,2,1986,11645,237758,1865,6208,4070,1.005408828145283,-5437
756,105,0,4,2000,11808,233291,1971,6372,3820,1.007361086068276,-5436
472,64,0,2,2000,11668,224816,1955,6237,4609,1.007912589969451,-5431
386,51,0,9,1879,11910,231709,1914,6481,4211,1.001860360435897,-5429
1442,208,0,0,1986,11645,237758,2000,6218,4076,1.005389172452507,-5427
2426,378,0,9,1964,11811,232357,1913,6392,3925,1.004060237658044,-5419
895,128,0,9,2000,12068,230548,1984,6651,7103,1.007470190461551,-5417
473,64,0,3,2000,11668,224816,1976,6255,3686,1.007863565993052,-5413
702,97,0,2,2000,12007,226470,1974,6596,4470,1.007739609232303,-5411
690,95,0,7,1939,11603,232895,1909,6197,3528,1.003020142855649,-5406
475,64,0,5,2000,11668,224816,1976,6264,3631,1.007837426258134,-5404
2760,442,0,2,1993,11624,226037,1998,6223,3076,1.006711093783831,-5401
366,48,0,9,1964,12292,233728,1967,6893,5290,1.003980269209272,-5399
93,12,0,0,1938,11620,230980,1952,6229,5353,1.003019836774716,-5391
2921,477,0,9,1950,11559,227659,1916,6186,3353,1.003513476373147,-5373
701,97,0,1,2000,12007,226470,1924,6639,4627,1.007615249532513,-5368
2106,320,0,9,2000,12315,227025,1993,6950,4976,1.007568091272991,-5365
2469,387,0,9,1888,12251,231903,2000,6891,4853,1.001930443218301,-5360
470,64,0,0,2000,11668,224816,1983,6313,4186,1.007692863165624,-5355
