GUID,Success,Id,Request ID,Start Time,Phases,Phase 1,Logs,Base Sample,Bit-1 Pvalue,Bit-0 Sample,Error,Bit-0 Pvalue,MAC Address,End Time,Boot ID,Bit-1 Sample,Predecessors,Warm Start
09-17-02-39-90,1,90,7d1c317f-b304-453a-a7f9-7d7f2b13df4b,2020-09-17 09:39:23,1,90,out/09-17-02-39/log,out/09-17-02-39/base_samples90,0,out/09-17-02-39/bit0_samples90,,0.574716119769239,8A:C2:6E:2B:AC:3E,2020-09-17 09:40:01,5ff3a133-b2ca-433f-a7fa-8f2d6bfdb3c2,out/09-17-02-39/bit1_samples90,,No
09-17-02-39-7,1,7,db63c192-937e-4e83-a094-d7c1c9c48113,2020-09-17 09:39:23,1,7,out/09-17-02-39/log,out/09-17-02-39/base_samples7,0,out/09-17-02-39/bit0_samples7,,0.53578928326573,A6:DB:EE:DD:45:7C,2020-09-17 09:40:01,f90c9a36-1eb6-48d0-ab55-91cc09157d9a,out/09-17-02-39/bit1_samples7,,No
09-17-02-39-49,1,49,5a962af4-1977-428c-a4f4-3686aa2c77b8,2020-09-17 09:39:23,1,49,out/09-17-02-39/log,out/09-17-02-39/base_samples49,0,out/09-17-02-39/bit0_samples49,,0.11397513070449,32:17:C2:DB:67:13,2020-09-17 09:40:01,d17aac19-7a6b-427a-b044-51274475e2a5,out/09-17-02-39/bit1_samples49,,No
09-17-02-39-29,1,29,178d23b3-8810-4f09-a6e3-7fd717af9ca8,2020-09-17 09:39:23,1,29,out/09-17-02-39/log,out/09-17-02-39/base_samples29,0,out/09-17-02-39/bit0_samples29,,0.84695384053689,1E:F2:4A:C1:20:74,2020-09-17 09:40:01,f9e41855-3b3a-47df-8309-e02f55bfe50a,out/09-17-02-39/bit1_samples29,,No
09-17-02-39-20,1,20,2f60ea7e-d1f4-4b24-8328-bcec51cd98f0,2020-09-17 09:39:23,1,20,out/09-17-02-39/log,out/09-17-02-39/base_samples20,0,out/09-17-02-39/bit0_samples20,,0.649109681628202,BE:E5:3A:92:0E:30,2020-09-17 09:40:01,78dc8d1d-cc99-4caa-8d51-450a66a0fe0d,out/09-17-02-39/bit1_samples20,,No
09-17-02-39-12,1,12,7bd78c5e-0638-4e6a-a368-3dfb8e79a208,2020-09-17 09:39:23,1,12,out/09-17-02-39/log,out/09-17-02-39/base_samples12,0,out/09-17-02-39/bit0_samples12,,0.4644044077056,42:60:E4:89:8A:D0,2020-09-17 09:40:01,8a4e3fbd-c07d-4703-9dfe-8cf29a85a540,out/09-17-02-39/bit1_samples12,,No
09-17-02-39-58,1,58,398eccae-7bf3-4f83-84b9-79c20a7196c9,2020-09-17 09:39:23,1,58,out/09-17-02-39/log,out/09-17-02-39/base_samples58,0,out/09-17-02-39/bit0_samples58,,0.568626612497749,72:FE:26:67:6D:D8,2020-09-17 09:40:01,6cec7dd1-5f52-4a4f-ad22-5341d8a59f64,out/09-17-02-39/bit1_samples58,,No
09-17-02-39-63,1,63,b6231c29-92c3-4319-a9ed-f385d0d548e5,2020-09-17 09:39:23,1,63,out/09-17-02-39/log,out/09-17-02-39/base_samples63,0,out/09-17-02-39/bit0_samples63,,0.145478889355071,2A:EF:82:11:7E:77,2020-09-17 09:40:01,a5aa3e9c-0728-412a-8fd4-0de4a0b7842c,out/09-17-02-39/bit1_samples63,,No
09-17-02-39-1,1,1,b543773d-6642-4d9e-bad9-50e8b5e9f411,2020-09-17 09:39:23,1,1,out/09-17-02-39/log,out/09-17-02-39/base_samples1,0,out/09-17-02-39/bit0_samples1,,0.234912804559414,B6:AE:A3:44:83:85,2020-09-17 09:40:01,30edba81-681e-4daf-bf25-076509d09afd,out/09-17-02-39/bit1_samples1,,No
09-17-02-39-87,1,87,46f404ef-e0c1-41b9-b6ce-a4c07d17e7db,2020-09-17 09:39:23,1,87,out/09-17-02-39/log,out/09-17-02-39/base_samples87,0,out/09-17-02-39/bit0_samples87,,0.719748220173599,2E:F1:44:E7:4B:A5,2020-09-17 09:40:01,abdae1fd-ebb9-472d-aee6-9293cac892e6,out/09-17-02-39/bit1_samples87,,No
