GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start
09-22-14-58-63,1,63,91077785-c50b-4630-ac66-27c7b1a3f28b,2020-09-22 21:59:08,11cacb5b-bba5-41c4-a959-8db3ec3ffe54,2020-09-22 21:58:09,3,63,63,63,out/09-22-14-58/log,out/09-22-14-58/base_samples63,,out/09-22-14-58/bit1_samples63,out/09-22-14-58/bit0_samples63,0,,0.538944046263233,C2:E4:86:8B:97:8C,No
09-22-14-58-17,1,17,29e9bbdd-13e3-4459-981b-3ba0ffd745e2,2020-09-22 21:59:08,258ab767-8f5b-4ba6-ac95-56c2be0adbc2,2020-09-22 21:58:09,3,17,17,17,out/09-22-14-58/log,out/09-22-14-58/base_samples17,,out/09-22-14-58/bit1_samples17,out/09-22-14-58/bit0_samples17,0,,0.237194339749658,AA:D2:A8:B5:F5:0A,No
09-22-14-58-48,1,48,aad0881c-31ca-4886-87f4-74ee4a019c36,2020-09-22 21:59:08,7c0839ad-7669-4386-82d1-2955fa099634,2020-09-22 21:58:09,3,67,67,67,out/09-22-14-58/log,out/09-22-14-58/base_samples48,,out/09-22-14-58/bit1_samples48,out/09-22-14-58/bit0_samples48,5.6686581154484,,0.134968207607844,1E:F1:01:BE:DA:E7,No
09-22-14-58-9,1,9,accb4949-4aac-4a8a-85e7-2bea7e14c679,2020-09-22 21:59:08,7727bed7-8ef3-4fff-af90-6f8790558a42,2020-09-22 21:58:09,3,9,9,9,out/09-22-14-58/log,out/09-22-14-58/base_samples9,,out/09-22-14-58/bit1_samples9,out/09-22-14-58/bit0_samples9,0,,0.192698549473235,72:08:63:F1:E3:05,No
09-22-14-58-10,1,10,74c99672-fd96-4bfa-9cbb-ef7b71c2872e,2020-09-22 21:59:08,f3279798-3e59-4f1d-9c2a-5183e8c47654,2020-09-22 21:58:09,3,47,47,47,out/09-22-14-58/log,out/09-22-14-58/base_samples10,,out/09-22-14-58/bit1_samples10,out/09-22-14-58/bit0_samples10,6.42298237047484,,0.195946636868307,02:A5:44:A5:4E:C6,No
09-22-14-58-49,1,49,8ac086ad-413e-4668-a607-09f4a2107d6d,2020-09-22 21:59:08,98de040a-1dde-42a9-8744-06887b9b97ca,2020-09-22 21:58:09,3,49,49,49,out/09-22-14-58/log,out/09-22-14-58/base_samples49,,out/09-22-14-58/bit1_samples49,out/09-22-14-58/bit0_samples49,0,,0.139714104687831,36:26:65:2D:DD:59,No
09-22-14-58-82,1,82,f756e4bd-cd48-4874-aca5-e70b77fafbd1,2020-09-22 21:59:08,2827e5a3-c3de-4ab0-ac8c-a80db16dc669,2020-09-22 21:58:09,3,82,82,82,out/09-22-14-58/log,out/09-22-14-58/base_samples82,,out/09-22-14-58/bit1_samples82,out/09-22-14-58/bit0_samples82,0,,0.260093234240005,B2:8C:81:29:86:A0,No
09-22-14-58-85,1,85,79f7d2bf-4120-49bb-9aa9-332bedc46cd8,2020-09-22 21:59:08,b84d9dbe-dd78-44e3-8256-08db1f9f4eed,2020-09-22 21:58:09,3,85,85,85,out/09-22-14-58/log,out/09-22-14-58/base_samples85,,out/09-22-14-58/bit1_samples85,out/09-22-14-58/bit0_samples85,0,,0.330759175231769,D6:15:54:2C:B0:2C,No
09-22-14-58-18,1,18,d0347a87-d8a4-4def-b42a-87d8fc17c30d,2020-09-22 21:59:08,5e8fc895-d28a-44e4-ac79-6e7d4891674c,2020-09-22 21:58:09,3,18,18,18,out/09-22-14-58/log,out/09-22-14-58/base_samples18,,out/09-22-14-58/bit1_samples18,out/09-22-14-58/bit0_samples18,0,,0.115448189678314,FA:80:10:50:94:E1,No
09-22-14-58-40,1,40,816c87ad-1d05-47a6-bcdf-d105693714e8,2020-09-22 21:59:08,4a6ab3ea-e0bb-4e40-809a-7711ea22eb56,2020-09-22 21:58:09,3,40,40,40,out/09-22-14-58/log,out/09-22-14-58/base_samples40,,out/09-22-14-58/bit1_samples40,out/09-22-14-58/bit0_samples40,0,,0.14453592214838,92:5E:69:FD:76:3E,No
