Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 3,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start
out/09-22-22-34/log,09-22-22-34-19,,b65a36ff-7895-48af-919b-a92895e0524a,1E:A2:33:E9:E4:8F,86,86,86,3,2020-09-23 05:34:57,2020-09-23 05:37:13,19,01985bc7-ff62-4777-a6dd-c48900cef471,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-56,,6820e180-6308-4e30-9915-2dc2e8d654bc,92:E3:E2:01:45:EF,82,82,82,3,2020-09-23 05:35:23,2020-09-23 05:37:13,56,ba95f9ef-3f94-4cd3-b0fc-f5fd26f9a51a,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-17,,f749d2ba-af8d-4f47-84f9-01ca1f47751f,36:25:31:58:F5:29,23,23,23,3,2020-09-23 05:34:55,2020-09-23 05:37:13,17,818fc6b0-ca90-44c5-9309-fcc0b2422e02,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-4,,c00a79b7-26c0-4cfa-bc5c-55a378203d9f,42:E9:C2:EE:40:69,92,92,92,3,2020-09-23 05:34:46,2020-09-23 05:37:13,4,168ff803-463f-4c35-9272-601d0312e98c,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-32,,4e74a752-a279-44d1-a731-530103f4841a,0A:9D:78:74:9C:9D,57,57,57,3,2020-09-23 05:35:06,2020-09-23 05:37:13,32,d3d3d74f-a456-43bc-8440-6097cb074e1e,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-31,,cdacd4c9-1c8c-40a4-b46d-30ffbb2d47ee,3A:55:C4:57:A2:68,79,79,79,3,2020-09-23 05:35:05,2020-09-23 05:37:13,31,c1569abf-4cb0-4d7a-af15-680a0d318539,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-8,,5027a10e-a302-4161-87c2-2d152999d289,42:99:B1:57:F7:0B,8,8,8,3,2020-09-23 05:34:49,2020-09-23 05:37:13,8,8ce66ad0-b176-4838-a595-8cefb3d0be6a,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-88,,880be8f7-508d-4039-ab0a-ef3600ab95ca,EE:A5:41:BA:88:E7,88,88,88,3,2020-09-23 05:35:46,2020-09-23 05:37:13,88,93c77460-785e-4306-8b51-2253a0db64d7,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-12,,2a8761b0-9ba1-4557-bfdd-4bde5756bb1d,4A:24:0F:01:47:EE,12,12,12,3,2020-09-23 05:34:51,2020-09-23 05:37:13,12,7b4caeeb-2e20-47d0-8081-0cdc8ae26f0f,1,,-,-,-,No
out/09-22-22-34/log,09-22-22-34-68,,6e8287e3-a918-4193-ad6b-4fc3b7f310b5,36:BE:A2:E4:0E:22,68,68,68,3,2020-09-23 05:35:31,2020-09-23 05:37:13,68,5214183b-d92d-4ee6-a0ea-942a6a3ff908,1,,-,-,-,No
