GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start,Account
10-10-12-03-559,1,559,71d3e514-f39a-4f4e-8daf-3cdd3f9feabb,2020-10-10 19:05:34,cddd1e74-08bd-4d9f-9b4d-a1b7d32e0cb1,2020-10-10 19:03:43,3,817,817,817,out/10-10-12-03/log,out/10-10-12-03/base_samples559,,out/10-10-12-03/bit1_samples559,out/10-10-12-03/bit0_samples559,7.71605162516069,,0.252123499758381,5A:7B:1E:FD:5E:0A,No,017371402075
10-10-12-03-869,1,869,f109baa1-94a2-48d3-a448-e81c6b08b650,2020-10-10 19:05:34,80d6e25e-15cf-44b5-8f0f-20aefefc05ea,2020-10-10 19:03:41,3,910,910,910,out/10-10-12-03/log,out/10-10-12-03/base_samples869,,out/10-10-12-03/bit1_samples869,out/10-10-12-03/bit0_samples869,5.82709175195352,,0.659605516913109,9E:87:6C:0D:E5:9E,No,017371402075
10-10-12-03-894,1,894,ddd26639-3032-4492-8a07-0b7898be6bfc,2020-10-10 19:05:34,f00df23c-d89e-40aa-a511-eaa118d40cc9,2020-10-10 19:03:41,3,988,988,988,out/10-10-12-03/log,out/10-10-12-03/base_samples894,,out/10-10-12-03/bit1_samples894,out/10-10-12-03/bit0_samples894,6.00293690877968,,0.115595612197212,DE:52:7E:F4:49:D1,No,017371402075
10-10-12-03-705,1,705,4650aac0-6a14-401a-b34b-474526784b55,2020-10-10 19:05:34,901e97bc-8814-4b51-9012-c3fb27a75ea5,2020-10-10 19:03:43,3,968,968,968,out/10-10-12-03/log,out/10-10-12-03/base_samples705,,out/10-10-12-03/bit1_samples705,out/10-10-12-03/bit0_samples705,5.99956217060393,,0.752724832843447,5A:63:B9:81:89:4F,No,017371402075
10-10-12-03-886,1,886,b0e21b22-a3d2-4aca-a677-a53ee98106fd,2020-10-10 19:05:34,2783f982-c235-41f6-80e3-9bea313485c8,2020-10-10 19:03:43,3,918,918,918,out/10-10-12-03/log,out/10-10-12-03/base_samples886,,out/10-10-12-03/bit1_samples886,out/10-10-12-03/bit0_samples886,6.17364905359241,,0.328075893658769,B6:89:27:86:F2:EC,No,017371402075
10-10-12-03-344,1,344,941d5ee3-d384-4dc7-995a-dfdb447307fd,2020-10-10 19:05:34,297b907d-8121-45cc-a9cb-7f9cb819fd5d,2020-10-10 19:03:36,3,883,883,883,out/10-10-12-03/log,out/10-10-12-03/base_samples344,,out/10-10-12-03/bit1_samples344,out/10-10-12-03/bit0_samples344,8.13494884669722,,0.268064546547108,FE:0C:98:4E:5A:8E,No,017371402075
10-10-12-03-514,1,514,a4605e6d-ca5a-4f56-95c3-96e5db036c93,2020-10-10 19:05:34,c41e6316-f3d3-4ba9-8ab0-6380dac60c8d,2020-10-10 19:03:42,3,921,921,921,out/10-10-12-03/log,out/10-10-12-03/base_samples514,,out/10-10-12-03/bit1_samples514,out/10-10-12-03/bit0_samples514,6.09802570279923,,0.464387089012147,D6:BC:26:94:C4:48,No,017371402075
10-10-12-03-765,1,765,c0432426-b2e7-4ef5-a5b6-c290eea13e6e,2020-10-10 19:05:34,7728bad3-8ee1-44a4-94d9-509c02eb3d57,2020-10-10 19:03:40,3,765,765,765,out/10-10-12-03/log,out/10-10-12-03/base_samples765,,out/10-10-12-03/bit1_samples765,out/10-10-12-03/bit0_samples765,0,,0.297844729782334,EE:4F:F8:4D:A3:29,No,017371402075
10-10-12-03-388,1,388,7986e3cc-08df-4c38-acb5-88f9799ff2b7,2020-10-10 19:05:34,e2c93e2d-5d18-4b8a-a6da-be3f67061a88,2020-10-10 19:03:36,3,854,854,854,out/10-10-12-03/log,out/10-10-12-03/base_samples388,,out/10-10-12-03/bit1_samples388,out/10-10-12-03/bit0_samples388,8.10185486996225,,0.351431673610851,6A:BC:CD:8A:B2:D2,No,017371402075
10-10-12-03-775,1,775,eb81d8af-b924-4f3a-8e9f-acf0c1b06b19,2020-10-10 19:05:34,a9fed8b7-0815-49bf-8579-de6006788bbf,2020-10-10 19:03:44,3,775,775,775,out/10-10-12-03/log,out/10-10-12-03/base_samples775,,out/10-10-12-03/bit1_samples775,out/10-10-12-03/bit0_samples775,0,,0.643107083417337,02:BA:86:91:F2:51,No,017371402075
10-10-12-03-943,1,943,45b4d8d8-444a-4389-b6d4-3b81995e7470,2020-10-10 19:05:34,7e580ef2-3783-4523-8c4b-11e423d17501,2020-10-10 19:03:42,3,990,990,990,out/10-10-12-03/log,out/10-10-12-03/base_samples943,,out/10-10-12-03/bit1_samples943,out/10-10-12-03/bit0_samples943,6.52385343090374,,0.258173802745664,B6:B1:88:81:24:91,No,017371402075
10-10-12-03-183,1,183,5b959c55-5a05-496c-8839-9a4de5b6629b,2020-10-10 19:05:34,12a2fd27-7804-4687-9e9c-714ea82b44e7,2020-10-10 19:03:41,3,971,971,971,out/10-10-12-03/log,out/10-10-12-03/base_samples183,,out/10-10-12-03/bit1_samples183,out/10-10-12-03/bit0_samples183,8.50241454122614,,0.670579776558577,A6:4A:DF:CE:C7:9D,No,017371402075
