Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 3,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Account
out/10-13-23-28/log,10-13-23-28-54,10-13-23-26-82,18da5f87-a479-4c61-b914-c335c8e7670b,46:66:92:06:C5:A6,54,54,54,3,2020-10-14 06:28:09,2020-10-14 06:29:08,54,83f89755-279e-495c-b26f-669987264871,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-82,10-13-23-26-90,2ed5017a-fa21-4ec1-ad4a-776c1144603e,EA:FF:79:DB:A5:BC,82,82,82,3,2020-10-14 06:28:09,2020-10-14 06:29:08,82,4cba7740-a014-458d-b2a8-c08fffcdde37,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-71,10-13-23-26-31,46abae74-7d9e-4e38-8e9b-6a4c137252c8,7A:13:20:15:11:6D,71,71,71,3,2020-10-14 06:28:09,2020-10-14 06:29:08,71,3dc3b361-e8d6-424a-a198-f0c50db5f3fa,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-12,10-13-23-26-28,ed8063ad-27c6-4775-a726-bc1af6108703,9A:B4:9C:1F:6A:67,47,47,47,3,2020-10-14 06:28:09,2020-10-14 06:29:08,12,ae3cf52c-0efc-43ef-9ac8-b3819fef19ed,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-99,10-13-23-26-80,fe9a77f6-c5a8-49bc-927e-edfd53bb7f07,92:76:84:FF:9B:43,99,99,99,3,2020-10-14 06:28:09,2020-10-14 06:29:08,99,8e4b151c-6463-4235-a856-3a404fd99264,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-46,10-13-23-26-69,03892822-7121-4390-ad01-b697b476e83d,FE:17:0B:AA:72:B3,46,46,46,3,2020-10-14 06:28:09,2020-10-14 06:29:08,46,4e1f676e-8189-4dff-aee5-38df230a7933,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-36,10-13-23-26-55,51509593-0472-4f47-b93d-1e8592f324de,26:4B:06:8B:9E:E9,36,36,36,3,2020-10-14 06:28:09,2020-10-14 06:29:08,36,bd865a3f-9031-4f2b-ba92-478d127b9280,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-100,10-13-23-26-45,55d1f681-f15e-4328-9a89-f7ae4ffb78f9,AE:03:BA:2B:B5:3B,100,100,100,3,2020-10-14 06:28:09,2020-10-14 06:29:08,100,b1901a5d-aed6-425d-91bd-8984997cb363,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-48,10-13-23-26-94,2358c811-a0ef-430f-892f-0e167972ba07,B6:A4:85:30:01:AD,100,100,100,3,2020-10-14 06:28:09,2020-10-14 06:29:08,48,342b1c16-5d52-4e63-8144-5a9d40842104,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-5,10-13-23-26-18,4be0f1dd-d6b1-49ef-8457-5d99d2b8131b,1A:F0:74:4E:B8:86,92,92,92,3,2020-10-14 06:28:09,2020-10-14 06:29:08,5,770875aa-7935-465e-8421-bf0b2914afa9,1,,-,-,-,Yes,017371402075
