GUID,CPU CPI,Success,Id,Request ID,Start Time,Phases,Phase 1,Logs,Base Sample,Predecessors,Bit-1 Sample,IP Address,Bit-1 Pvalue,Bit-0 Sample,Error,Bit-0 Pvalue,MAC Address,End Time,Boot ID,Warm Start,Account
10-15-00-18-10,7.946899,1,10,893e8331-c7c6-4971-9830-cac812e11ee4,2020-10-15 07:18:23,1,10,out/10-15-00-18/log,out/10-15-00-18/base_samples10,,out/10-15-00-18/bit1_samples10,169.254.76.1,0,out/10-15-00-18/bit0_samples10,,0.253372077148654,06:72:71:5F:C6:89,2020-10-15 07:18:42,be734aae-19c6-4902-8fee-7fd46e8deade,No,017371402075
10-15-00-18-4,7.929375,1,4,9456328d-0530-4948-95df-a00be3ecd81a,2020-10-15 07:18:23,1,4,out/10-15-00-18/log,out/10-15-00-18/base_samples4,,out/10-15-00-18/bit1_samples4,169.254.76.1,0,out/10-15-00-18/bit0_samples4,,0.253181406325016,9A:8F:AF:42:16:E8,2020-10-15 07:18:42,b8c818a1-f16a-4a98-81ca-817927f740f3,No,017371402075
10-15-00-18-8,7.969202,1,8,e9331ec7-8b5c-4035-99c4-34b6104a2e30,2020-10-15 07:18:23,1,8,out/10-15-00-18/log,out/10-15-00-18/base_samples8,,out/10-15-00-18/bit1_samples8,169.254.76.1,0,out/10-15-00-18/bit0_samples8,,0.652281387867431,2E:8B:64:C2:A0:FD,2020-10-15 07:18:42,2e7e2a8e-f265-427b-96ac-4d40c3e49736,No,017371402075
10-15-00-18-6,7.902941,1,6,e224a8e0-046a-44c3-882a-3c9efb591e3e,2020-10-15 07:18:23,1,6,out/10-15-00-18/log,out/10-15-00-18/base_samples6,,out/10-15-00-18/bit1_samples6,169.254.76.1,0,out/10-15-00-18/bit0_samples6,,0.121627408265757,2E:79:04:89:52:FE,2020-10-15 07:18:42,50d20ac7-2456-4ad0-983c-aadac8068f55,No,017371402075
10-15-00-18-7,7.884473,1,7,541b1121-5e71-4074-88e7-d09a2b3b3d0d,2020-10-15 07:18:23,1,7,out/10-15-00-18/log,out/10-15-00-18/base_samples7,,out/10-15-00-18/bit1_samples7,169.254.76.1,0,out/10-15-00-18/bit0_samples7,,0.0958941838997514,66:E8:6B:A5:37:D1,2020-10-15 07:18:42,921c0a10-af67-4c68-8bfc-daeed7a736c8,No,017371402075
10-15-00-18-2,7.855005,1,2,29be7778-4de1-4d84-9771-f1b9b78c1910,2020-10-15 07:18:23,1,2,out/10-15-00-18/log,out/10-15-00-18/base_samples2,,out/10-15-00-18/bit1_samples2,169.254.76.1,0,out/10-15-00-18/bit0_samples2,,0.119160062520964,46:38:C7:01:7E:FB,2020-10-15 07:18:42,ac305138-0966-4def-9734-5fbffa5cb9f0,No,017371402075
10-15-00-18-9,7.987329,1,9,6807842d-deb9-44d9-bd22-7cfe22e54c35,2020-10-15 07:18:23,1,9,out/10-15-00-18/log,out/10-15-00-18/base_samples9,,out/10-15-00-18/bit1_samples9,169.254.76.1,0,out/10-15-00-18/bit0_samples9,,0.238573746339701,76:DE:BC:07:90:8F,2020-10-15 07:18:42,6d439184-7b68-4e06-b741-b5d8bd2a078c,No,017371402075
10-15-00-18-3,8.259278,1,3,a6159654-f25a-4a57-8d02-070d5061cbe9,2020-10-15 07:18:23,1,3,out/10-15-00-18/log,out/10-15-00-18/base_samples3,,out/10-15-00-18/bit1_samples3,169.254.76.1,0,out/10-15-00-18/bit0_samples3,,0.307447819894365,A6:21:6B:5E:54:E0,2020-10-15 07:18:42,a23047ac-f8ec-4f5e-bc3e-c1e78c646fca,No,017371402075
10-15-00-18-5,7.846883,1,5,ccee2657-6272-4bd6-88e6-e8b88aa85995,2020-10-15 07:18:23,1,5,out/10-15-00-18/log,out/10-15-00-18/base_samples5,,out/10-15-00-18/bit1_samples5,169.254.76.1,0,out/10-15-00-18/bit0_samples5,,0.240116902691542,DE:E3:92:1A:BD:CC,2020-10-15 07:18:42,9540a13a-b69a-46f6-b9a0-407e40905fa2,No,017371402075
10-15-00-18-1,7.872819,1,1,a40686bf-fece-4481-a721-5e46e9ec6e06,2020-10-15 07:18:23,1,1,out/10-15-00-18/log,out/10-15-00-18/base_samples1,,out/10-15-00-18/bit1_samples1,169.254.76.1,0,out/10-15-00-18/bit0_samples1,,0.227975318764454,66:15:F3:17:B0:20,2020-10-15 07:18:42,144f3045-4fc2-4086-a4f9-ab16945299fc,No,017371402075
