GUID,CPU CPI,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,IP Address,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start,Account
10-15-16-25-932,7.862174,1,932,e19ebbb9-d2f4-4d13-9765-e8ffbbad1cf4,2020-10-15 23:27:03,b7b95b28-8ae9-4733-8cd7-c04585f4f945,2020-10-15 23:25:05,3,932,932,932,out/10-15-16-25/log,out/10-15-16-25/base_samples932,,out/10-15-16-25/bit1_samples932,169.254.76.1,out/10-15-16-25/bit0_samples932,0,,0.65269803246317,1E:06:60:82:C1:CA,No,017371402075
10-15-16-25-308,8.386410,1,308,62ac87e8-bd3e-4a82-a833-804a924a8a06,2020-10-15 23:27:03,7f766c23-d67e-4f96-bc92-86e5f9f8494b,2020-10-15 23:25:04,3,869,869,869,out/10-15-16-25/log,out/10-15-16-25/base_samples308,,out/10-15-16-25/bit1_samples308,169.254.76.1,out/10-15-16-25/bit0_samples308,6.05447827893742,,0.386929202826564,56:BE:C3:26:70:38,No,017371402075
10-15-16-25-967,8.098640,1,967,9b57654d-069d-4483-8be0-a4e640de2679,2020-10-15 23:27:03,a3a15d71-fe87-43c3-84c4-b63dccaa1700,2020-10-15 23:25:05,3,967,967,967,out/10-15-16-25/log,out/10-15-16-25/base_samples967,,out/10-15-16-25/bit1_samples967,169.254.76.1,out/10-15-16-25/bit0_samples967,0,,0.601573855358453,4A:88:73:FD:70:AC,No,017371402075
10-15-16-25-945,7.979619,1,945,aea47dc3-ed99-40ea-a796-e3466814b305,2020-10-15 23:27:03,1c828a12-a91e-4768-a4ff-eff608b5c077,2020-10-15 23:25:05,3,965,965,965,out/10-15-16-25/log,out/10-15-16-25/base_samples945,,out/10-15-16-25/bit1_samples945,169.254.76.1,out/10-15-16-25/bit0_samples945,5.41255504613571,,0.550320275852604,32:D9:EF:35:B8:59,No,017371402075
10-15-16-25-977,8.192151,1,977,f17cf65a-392d-461f-be87-1dd2a2e58473,2020-10-15 23:27:03,75668ff8-3486-4c7a-8924-83fba115195d,2020-10-15 23:25:05,3,977,977,977,out/10-15-16-25/log,out/10-15-16-25/base_samples977,,out/10-15-16-25/bit1_samples977,169.254.76.1,out/10-15-16-25/bit0_samples977,0,,0.540646727794498,CE:07:E7:C6:20:97,No,017371402075
10-15-16-25-969,7.884642,1,969,60ec9cba-bc9e-44dc-94eb-a6e15624835d,2020-10-15 23:27:03,d4c95c8a-9a27-4e73-882a-e29af8bb30a6,2020-10-15 23:25:05,3,969,969,969,out/10-15-16-25/log,out/10-15-16-25/base_samples969,,out/10-15-16-25/bit1_samples969,169.254.76.1,out/10-15-16-25/bit0_samples969,0,,0.360211382293925,9A:BA:D1:DE:D9:AB,No,017371402075
10-15-16-25-957,8.174116,1,957,9155984e-93d5-426a-882e-c3df02cf4e07,2020-10-15 23:27:03,ba8905c4-f2ed-42a9-8d8f-60b8c0f8616a,2020-10-15 23:25:05,3,957,957,957,out/10-15-16-25/log,out/10-15-16-25/base_samples957,,out/10-15-16-25/bit1_samples957,169.254.76.1,out/10-15-16-25/bit0_samples957,0,,0.187195914285208,C2:71:93:5E:D5:D6,No,017371402075
10-15-16-25-931,8.155981,1,931,a62a6516-32df-4ac1-ac02-d7d88e9d8372,2020-10-15 23:27:03,e2d05c09-b61e-4e42-9dfe-34c3f157a33a,2020-10-15 23:25:05,3,931,931,931,out/10-15-16-25/log,out/10-15-16-25/base_samples931,,out/10-15-16-25/bit1_samples931,169.254.76.1,out/10-15-16-25/bit0_samples931,0,,0.337582217790178,5A:EB:1B:3F:1D:76,No,017371402075
10-15-16-25-951,7.852692,1,951,357381b7-e093-4c8a-81fd-24fd742437db,2020-10-15 23:27:03,34db67b7-2eaf-4be2-89c9-0f9b28236315,2020-10-15 23:25:05,3,951,951,951,out/10-15-16-25/log,out/10-15-16-25/base_samples951,,out/10-15-16-25/bit1_samples951,169.254.76.1,out/10-15-16-25/bit0_samples951,0,,0.208997930066952,C6:94:86:B9:7F:CB,No,017371402075
10-15-16-25-935,8.535808,1,935,18fc3935-906e-4045-bd4a-cd4d5f1ac3c5,2020-10-15 23:27:03,53babba6-4a9b-4514-be37-6482460650e5,2020-10-15 23:25:05,3,935,935,935,out/10-15-16-25/log,out/10-15-16-25/base_samples935,,out/10-15-16-25/bit1_samples935,169.254.76.1,out/10-15-16-25/bit0_samples935,0,,0.629125151751418,0E:73:FE:D5:13:85,No,017371402075
