GUID,CPU CPI,Success,Id,Request ID,Start Time,Phases,Phase 1,Logs,Base Sample,Predecessors,Bit-1 Sample,IP Address,Bit-1 Pvalue,Bit-0 Sample,Error,Bit-0 Pvalue,MAC Address,End Time,Boot ID,Warm Start,Tag
10-15-22-32-7,8.183969,1,7,55eaa4d4-bff6-4c61-9056-40b57e07d163,2020-10-16 05:32:15,1,7,out/10-15-22-32/log,out/10-15-22-32/base_samples7,10-15-22-30-5,out/10-15-22-32/bit1_samples7,169.254.76.1,0,out/10-15-22-32/bit0_samples7,,0.163640189886218,5E:F7:FE:6F:65:5B,2020-10-16 05:32:35,2829a94f-c9d1-401a-bbe1-86b81212974d,Yes,DEFAULT
10-15-22-32-6,7.793093,1,6,c2995e94-fca9-4ada-97f7-e6a331a4ebdf,2020-10-16 05:32:15,1,6,out/10-15-22-32/log,out/10-15-22-32/base_samples6,10-15-22-30-8,out/10-15-22-32/bit1_samples6,169.254.76.1,0,out/10-15-22-32/bit0_samples6,,0.531251956238789,FA:F6:59:96:D6:9A,2020-10-16 05:32:35,2849a73c-d2aa-4b73-8502-d0a52010b963,Yes,DEFAULT
10-15-22-32-2,7.758199,1,2,faa0446d-c0fc-412f-bb84-5dce16f9dc78,2020-10-16 05:32:15,1,2,out/10-15-22-32/log,out/10-15-22-32/base_samples2,10-15-22-30-4,out/10-15-22-32/bit1_samples2,169.254.76.1,0,out/10-15-22-32/bit0_samples2,,0.190239440123514,7A:3E:F8:92:C5:0A,2020-10-16 05:32:35,15952fd1-a1a9-4236-9bfb-b9a921edddaf,Yes,DEFAULT
10-15-22-32-4,7.748974,1,4,6562f343-30fc-4148-b06c-0c9f966183a6,2020-10-16 05:32:15,1,4,out/10-15-22-32/log,out/10-15-22-32/base_samples4,10-15-22-30-6,out/10-15-22-32/bit1_samples4,169.254.76.1,0,out/10-15-22-32/bit0_samples4,,0.375250525342956,62:2A:EE:74:D8:FF,2020-10-16 05:32:35,68378d2b-47f3-4742-990a-8af47325e11d,Yes,DEFAULT
10-15-22-32-8,7.890161,1,8,4bcdc1dd-3561-4bc5-b7af-19945f85a348,2020-10-16 05:32:15,1,8,out/10-15-22-32/log,out/10-15-22-32/base_samples8,10-15-22-30-2,out/10-15-22-32/bit1_samples8,169.254.76.1,0,out/10-15-22-32/bit0_samples8,,0.153563672952115,36:00:F9:1E:66:36,2020-10-16 05:32:35,d2869797-7932-4e64-be28-e9c5a6662438,Yes,DEFAULT
10-15-22-32-1,7.983858,1,1,1fa1e83d-70ec-4a28-8685-376a78c31cae,2020-10-16 05:32:15,1,1,out/10-15-22-32/log,out/10-15-22-32/base_samples1,10-15-22-30-1,out/10-15-22-32/bit1_samples1,169.254.76.1,0,out/10-15-22-32/bit0_samples1,,0.219816662528117,5A:69:F5:A1:9F:0F,2020-10-16 05:32:35,d29c7456-8f0c-42bc-a2cc-5393a06ca90d,Yes,DEFAULT
10-15-22-32-9,7.896657,1,9,6538836e-827f-446b-8d5d-3f5e6086b835,2020-10-16 05:32:15,1,9,out/10-15-22-32/log,out/10-15-22-32/base_samples9,10-15-22-30-7,out/10-15-22-32/bit1_samples9,169.254.76.1,0,out/10-15-22-32/bit0_samples9,,0.196452336419066,9E:E5:C1:4B:F2:AD,2020-10-16 05:32:35,dcff2e76-6c47-4c8e-b1d4-95b5f4182e23,Yes,DEFAULT
10-15-22-32-10,7.971944,1,10,381c92b5-7228-4997-b81f-1939ee13ac11,2020-10-16 05:32:15,1,10,out/10-15-22-32/log,out/10-15-22-32/base_samples10,10-15-22-30-9,out/10-15-22-32/bit1_samples10,169.254.76.1,0,out/10-15-22-32/bit0_samples10,,0.309146721817406,32:EA:A5:09:84:9E,2020-10-16 05:32:35,0570f8b7-53cd-46cb-8cba-a44ea0dc8d20,Yes,DEFAULT
10-15-22-32-3,7.853097,1,3,d259ffc4-23de-425d-8ac0-de4484b6f41a,2020-10-16 05:32:15,1,3,out/10-15-22-32/log,out/10-15-22-32/base_samples3,10-15-22-30-10,out/10-15-22-32/bit1_samples3,169.254.76.1,0,out/10-15-22-32/bit0_samples3,,0.404568698442279,BE:A6:BD:AA:51:39,2020-10-16 05:32:35,1b1287c0-9405-48f7-abed-e8bf07339cf9,Yes,DEFAULT
10-15-22-32-5,7.846554,1,5,1c538b9f-f0e0-480c-a7d0-80c8a086a4b5,2020-10-16 05:32:15,1,10,out/10-15-22-32/log,out/10-15-22-32/base_samples5,10-15-22-30-3,out/10-15-22-32/bit1_samples5,169.254.76.1,5.26427584694357,out/10-15-22-32/bit0_samples5,,0.165403748984282,C2:16:7F:BA:0F:17,2020-10-16 05:32:35,d99d8d00-cdeb-44f6-af85-11b9b50e01db,Yes,DEFAULT
