GUID,CPU CPI,MAC Address,Success,Id,Boot ID,End Time,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,IP Address,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,Warm Start,Tag
10-16-03-03-21,94.523598,8A:09:BF:D3:39:EB,1,21,7224caf1-a685-4afd-b6f4-02527313a7ac,2020-10-16 10:04:11,62501c32-e463-4db9-9185-b889512f2de1,2020-10-16 10:03:43,1,3,21,21,21,out/10-16-03-03/log,out/10-16-03-03/base_samples21,10-16-03-02-9,out/10-16-03-03/bit1_samples21,169.254.76.1,out/10-16-03-03/bit0_samples21,0,,0.343164809010449,Yes,DEFAULT
10-16-03-03-19,93.012788,5E:AD:0D:10:93:30,1,19,8300a933-1576-4bf7-b617-8ff831738818,2020-10-16 10:04:11,5358f5d4-66cd-4c69-81de-e56235a4eed7,2020-10-16 10:03:43,1,3,19,19,19,out/10-16-03-03/log,out/10-16-03-03/base_samples19,10-16-03-02-7,out/10-16-03-03/bit1_samples19,169.254.76.1,out/10-16-03-03/bit0_samples19,0,,0.572504896021537,Yes,DEFAULT
10-16-03-03-17,93.058255,B2:14:EC:F9:B3:F1,1,17,365803e0-713b-436e-8e36-9ae87726bf30,2020-10-16 10:04:11,a7d80e3f-aa78-4e53-8442-86b3cc316f2f,2020-10-16 10:03:43,1,3,17,17,17,out/10-16-03-03/log,out/10-16-03-03/base_samples17,10-16-03-02-3,out/10-16-03-03/bit1_samples17,169.254.76.1,out/10-16-03-03/bit0_samples17,0,,0.747577332652467,Yes,DEFAULT
10-16-03-03-15,94.562064,4A:28:3E:E3:5F:B4,1,15,4bdd34d4-87e0-46d1-ab44-02cf8473d59b,2020-10-16 10:04:10,e24d62ab-e073-491b-85bd-cefc63cde776,2020-10-16 10:03:43,1,3,15,15,15,out/10-16-03-03/log,out/10-16-03-03/base_samples15,10-16-03-02-5,out/10-16-03-03/bit1_samples15,169.254.76.1,out/10-16-03-03/bit0_samples15,0,,0.216710407716052,Yes,DEFAULT
10-16-03-03-9,94.553412,C2:D5:0A:89:1F:3F,1,9,e76f17c1-decf-458f-8369-6040f51385a3,2020-10-16 10:04:11,5b2e7222-cf49-43b1-87ed-34f576d62b0c,2020-10-16 10:03:43,1,3,9,9,9,out/10-16-03-03/log,out/10-16-03-03/base_samples9,,out/10-16-03-03/bit1_samples9,169.254.76.1,out/10-16-03-03/bit0_samples9,0,,0.676647366229324,No,DEFAULT
10-16-03-03-11,93.080353,9A:B8:14:66:E3:49,1,11,a430f2ab-6e31-466e-a6a0-2ed27e26ee43,2020-10-16 10:04:11,26210bc3-e459-42fb-a0a8-ff9d08518dbf,2020-10-16 10:03:44,1,3,11,11,11,out/10-16-03-03/log,out/10-16-03-03/base_samples11,,out/10-16-03-03/bit1_samples11,169.254.76.1,out/10-16-03-03/bit0_samples11,0,,0.705296862819851,No,DEFAULT
10-16-03-03-31,93.526386,36:91:57:B7:0D:A6,1,31,6b5f83c9-35ac-4e15-989b-3f10a826ff55,2020-10-16 10:04:11,48d2f907-cef2-44aa-b9b0-976e53f806da,2020-10-16 10:03:43,1,3,31,31,31,out/10-16-03-03/log,out/10-16-03-03/base_samples31,,out/10-16-03-03/bit1_samples31,169.254.76.1,out/10-16-03-03/bit0_samples31,0,,0.407901366144447,No,DEFAULT
10-16-03-03-20,93.071141,0A:51:65:5F:20:A5,1,20,e72ab245-9e96-444e-9067-d807b178e482,2020-10-16 10:04:10,5b411dfa-7e48-43ab-b7b8-13a329514508,2020-10-16 10:03:43,1,3,20,20,20,out/10-16-03-03/log,out/10-16-03-03/base_samples20,,out/10-16-03-03/bit1_samples20,169.254.76.1,out/10-16-03-03/bit0_samples20,0,,0.13992648561798,No,DEFAULT
10-16-03-03-27,93.070570,5E:B0:01:11:36:44,1,27,d1c83ed5-6e62-4d61-8923-dd0a683a7a5e,2020-10-16 10:04:11,78760837-de8e-4714-90b5-b66e60926ebd,2020-10-16 10:03:43,1,3,27,27,27,out/10-16-03-03/log,out/10-16-03-03/base_samples27,,out/10-16-03-03/bit1_samples27,169.254.76.1,out/10-16-03-03/bit0_samples27,0,,0.577488398049439,No,DEFAULT
10-16-03-03-50,93.557341,6E:10:7D:DA:0A:19,1,50,3553d613-f8da-4a72-a847-d8b5fe68d531,2020-10-16 10:04:10,5827f450-af8f-450d-b7c2-57bb757f18ea,2020-10-16 10:03:43,1,3,50,50,50,out/10-16-03-03/log,out/10-16-03-03/base_samples50,,out/10-16-03-03/bit1_samples50,169.254.76.1,out/10-16-03-03/bit0_samples50,0,,0.331214615192988,No,DEFAULT
10-16-03-03-24,94.004983,7A:D5:18:04:FA:A0,1,24,cd0366c5-a130-47ec-b517-483c973085f4,2020-10-16 10:04:11,7be29d1b-4b99-4314-90f2-db61ebd3aa4e,2020-10-16 10:03:44,1,3,24,24,24,out/10-16-03-03/log,out/10-16-03-03/base_samples24,,out/10-16-03-03/bit1_samples24,169.254.76.1,out/10-16-03-03/bit0_samples24,0,,0.374661162429154,No,DEFAULT
10-16-03-03-49,94.054556,16:08:A7:AF:6A:53,1,49,e95c4759-132c-4bef-8b09-dd806936d46a,2020-10-16 10:04:11,c930e5fa-9c55-49b3-b498-285f7a6748b1,2020-10-16 10:03:43,1,3,49,49,49,out/10-16-03-03/log,out/10-16-03-03/base_samples49,,out/10-16-03-03/bit1_samples49,169.254.76.1,out/10-16-03-03/bit0_samples49,0,,0.857517358429635,No,DEFAULT
