Cluster,Tag 0,Tag 1,Tag 0 %,Tag 1 %
1,0.6666666666666666,0.3333333333333333,66.66666666666666,33.33333333333333
2,1.0,1.0,50.0,50.0
3,1.5,1.5,50.0,50.0
4,1.0,3.0,25.0,75.0
5
6,4.0,2.0,66.66666666666667,33.333333333333336
7,2.0,5.0,28.571428571428573,71.42857142857143
8,3.5,4.5,43.75,56.25
9,5.666666666666667,3.3333333333333335,62.96296296296297,37.03703703703704
10,6.0,4.0,60.0,40.0
11,6.0,5.0,54.54545454545455,45.45454545454545
12
13,7.0,6.0,53.84615384615385,46.15384615384615
14,8.0,6.0,57.142857142857146,42.857142857142854
15,9.0,6.0,60.0,40.0
16,7.5,8.5,46.875,53.125
17,7.333333333333333,9.666666666666666,43.13725490196078,56.86274509803921
18,6.0,12.0,33.333333333333336,66.66666666666667
19,10.0,9.0,52.63157894736842,47.36842105263158
20,10.5,9.5,52.5,47.5
21,11.666666666666666,9.333333333333334,55.55555555555555,44.44444444444444
22,11.0,11.0,50.0,50.0
23,10.5,12.5,45.65217391304348,54.34782608695652
24,11.6,12.4,48.333333333333336,51.666666666666664
25
26,13.0,13.0,50.0,50.0
27,14.5,12.5,53.7037037037037,46.2962962962963
28,14.0,14.0,50.0,50.0
29
30,15.5,14.5,51.666666666666664,48.333333333333336
