Logs,Boot ID,MAC Address,Phase 3,Phase 2,Phase 5,Phase 1,Phases,Start Time,Phase 4,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/08-13-14-42/log,84efa53e-464d-4296-bb48-429119e7d9f9,D6:9D:19:98:34:99,3,3,16,3,5,2020-08-13 21:41:58,3,2020-08-13 21:42:41,3,30215df6-cdb9-4694-a205-f4b6348ca1f8,1,,-,-
out/08-13-14-42/log,d57772f1-2163-4366-8615-00fd4474b4bc,6E:81:28:C1:CF:23,4,4,4,4,5,2020-08-13 21:41:58,4,2020-08-13 21:42:40,4,3b00a2e9-223b-4197-ade0-5a1d5a6bea64,1,,-,-
out/08-13-14-42/log,9e4a5344-269e-4d2e-8080-52198469da9e,06:89:7F:E8:93:10,8,8,8,8,5,2020-08-13 21:41:58,8,2020-08-13 21:42:41,8,11202655-ac02-4a90-82e1-47d6dcf1230c,1,,-,-
out/08-13-14-42/log,2fc77702-7d92-400a-a97a-1fb67d2d1c06,12:D2:A3:B7:85:AA,6,6,6,6,5,2020-08-13 21:41:58,6,2020-08-13 21:42:41,6,e605b24d-dcb2-436f-8ab1-d1b3133ebb92,1,,-,-
out/08-13-14-42/log,0aeb8418-1442-40fd-9302-725733336b0c,A6:D4:5F:D2:C8:83,7,7,7,7,5,2020-08-13 21:41:57,7,2020-08-13 21:42:41,7,fbb2cd0f-4832-4ced-8f81-f01fd6fc9c5e,1,,-,-
out/08-13-14-42/log,9189dbd9-923a-438f-bce1-6fe0d1dc6b61,76:D0:36:E8:3B:34,1,1,1,1,5,2020-08-13 21:41:58,1,2020-08-13 21:42:41,1,3f362a44-7bff-43fd-92ab-aba9201f237d,1,,-,-
out/08-13-14-42/log,aa5d89ad-69bf-4484-9259-d9319f36cc08,16:EE:78:3B:74:93,10,12,10,12,5,2020-08-13 21:41:58,10,2020-08-13 21:42:41,10,7a1de48d-f5e5-4f5f-b7a5-316cae366347,1,,-,-
out/08-13-14-42/log,fc072233-9452-4f91-aacd-d57568766a32,E2:C8:E9:59:68:4C,2,16,2,2,5,2020-08-13 21:41:58,2,2020-08-13 21:42:41,2,a8eae680-ab30-4e4e-8407-03b6a1cfd1e7,1,,-,-
out/08-13-14-42/log,83414de5-dcfb-40ca-aac8-475dfc6fa786,8A:06:57:97:5E:2E,5,5,5,5,5,2020-08-13 21:41:58,5,2020-08-13 21:42:41,5,3026a7cb-8752-42b1-8d55-24114e49ad34,1,,-,-
out/08-13-14-42/log,287040ac-efae-41fb-9c5f-f8a6bd920d2b,0E:47:51:30:9C:2A,9,9,9,9,5,2020-08-13 21:41:58,9,2020-08-13 21:42:41,9,fe0de9f6-969b-45e6-981a-bce153da6d7c,1,,-,-
