Logs,Boot ID,MAC Address,Base Sample,Phase 1,Phases,Bit Sample,Start Time,End Time,Id,Request ID,Success,Error
out/latrun-07-06-13-54-512/log,84a8abbb-889e-4754-92db-14a9b2b2644f,72:5A:2A:2F:C6:80,out/latrun-07-06-13-54-512/base_samples2,67,1,out/latrun-07-06-13-54-512/bit_samples2,2020-07-06 20:55:57,2020-07-06 20:56:08,2,89e71824-8751-4161-832c-8ebb485a956f,1,
out/latrun-07-06-13-54-512/log,a9ef1c61-4d38-43fc-99e2-f7c4a58c0b3b,B2:EA:48:F7:3F:6C,out/latrun-07-06-13-54-512/base_samples20,20,1,out/latrun-07-06-13-54-512/bit_samples20,2020-07-06 20:55:57,2020-07-06 20:56:08,20,f094bbee-f7ac-42f3-a196-b464eba3c254,1,
out/latrun-07-06-13-54-512/log,ab4781f1-6fb0-4323-a4e3-1191d97aa47b,2A:1B:43:80:B6:D8,out/latrun-07-06-13-54-512/base_samples18,19,1,out/latrun-07-06-13-54-512/bit_samples18,2020-07-06 20:55:57,2020-07-06 20:56:08,18,c3e8bd22-1552-482c-924f-91526828f9d2,1,
out/latrun-07-06-13-54-512/log,0631545c-6791-4b30-8b47-1ee1986364cf,EE:32:FE:52:B1:28,out/latrun-07-06-13-54-512/base_samples98,98,1,out/latrun-07-06-13-54-512/bit_samples98,2020-07-06 20:55:57,2020-07-06 20:56:08,98,ffbf9d65-ec4a-401b-aca4-0e5ba8cf817e,1,
out/latrun-07-06-13-54-512/log,e6936831-4c0e-4245-badd-e110d14f108f,1E:A3:C3:09:C4:5A,out/latrun-07-06-13-54-512/base_samples80,80,1,out/latrun-07-06-13-54-512/bit_samples80,2020-07-06 20:55:57,2020-07-06 20:56:08,80,90e373e0-ec29-4d2d-a302-e47e9968dea5,1,
out/latrun-07-06-13-54-512/log,e08d36a2-0a0a-44bd-8d30-201b2154bd32,3A:CE:D1:EB:E9:D4,out/latrun-07-06-13-54-512/base_samples68,68,1,out/latrun-07-06-13-54-512/bit_samples68,2020-07-06 20:55:57,2020-07-06 20:56:08,68,246f16a2-7f7e-4ad2-b307-3a13f80b6c7e,1,
out/latrun-07-06-13-54-512/log,2c035333-d0e9-449a-975a-96adc1d399be,FA:3C:D6:80:B1:59,out/latrun-07-06-13-54-512/base_samples16,20,1,out/latrun-07-06-13-54-512/bit_samples16,2020-07-06 20:55:57,2020-07-06 20:56:08,16,e9bc928a-a19a-4122-9393-6e8eb471752b,1,
out/latrun-07-06-13-54-512/log,6ac510c7-a433-4bd8-b1c8-deeb4f92b0dc,CE:97:32:7E:D2:2C,out/latrun-07-06-13-54-512/base_samples13,65,1,out/latrun-07-06-13-54-512/bit_samples13,2020-07-06 20:55:57,2020-07-06 20:56:08,13,790e38f0-65a8-4f4a-bcfb-53cf028ae804,1,
out/latrun-07-06-13-54-512/log,ab15f194-0524-43b7-bf55-43bb72a322e5,16:D6:73:BA:CB:EB,out/latrun-07-06-13-54-512/base_samples35,94,1,out/latrun-07-06-13-54-512/bit_samples35,2020-07-06 20:55:57,2020-07-06 20:56:08,35,f359dd9c-526a-4f7e-b897-e8db28d4b4e8,1,
out/latrun-07-06-13-54-512/log,5d7c0e83-44cd-4312-b64c-3c05ace09db3,6A:19:03:1F:0F:65,out/latrun-07-06-13-54-512/base_samples38,38,1,out/latrun-07-06-13-54-512/bit_samples38,2020-07-06 20:55:57,2020-07-06 20:56:08,38,23ea25f0-a1a4-47ce-98a1-7dd62c68c57a,1,
out/latrun-07-06-13-54-512/log,56e76be7-577a-458a-a8e8-9f28c36ece2a,CA:85:C2:0A:8C:AA,out/latrun-07-06-13-54-512/base_samples84,89,1,out/latrun-07-06-13-54-512/bit_samples84,2020-07-06 20:55:57,2020-07-06 20:56:08,84,5b9d71c5-6911-4ec0-afe0-a59b71110a0d,1,
out/latrun-07-06-13-54-512/log,01e870b2-c444-46c0-818c-4355837e9dcc,92:27:64:A2:EE:03,out/latrun-07-06-13-54-512/base_samples50,50,1,out/latrun-07-06-13-54-512/bit_samples50,2020-07-06 20:55:57,2020-07-06 20:56:08,50,c56bb4b3-3781-47ff-926b-c8a66b09bd1e,1,
out/latrun-07-06-13-54-512/log,4f00b9b0-c494-49cf-aff7-fe3daa56b745,D6:5A:BE:1E:9C:65,out/latrun-07-06-13-54-512/base_samples4,5,1,out/latrun-07-06-13-54-512/bit_samples4,2020-07-06 20:55:57,2020-07-06 20:56:08,4,a2c9952d-c2bb-4b8e-af67-c5fb0af8e4e1,1,
out/latrun-07-06-13-54-512/log,f11a34f0-6d72-4c8c-a72d-b4f6006fb587,0E:DD:55:0E:69:57,out/latrun-07-06-13-54-512/base_samples8,56,1,out/latrun-07-06-13-54-512/bit_samples8,2020-07-06 20:55:57,2020-07-06 20:56:08,8,ccf231d9-049c-47cb-9b75-fa71ba09e2cd,1,
out/latrun-07-06-13-54-512/log,21f8d1a7-071a-491d-b12e-c58fe40853f9,96:D9:33:86:79:37,out/latrun-07-06-13-54-512/base_samples92,92,1,out/latrun-07-06-13-54-512/bit_samples92,2020-07-06 20:55:57,2020-07-06 20:56:08,92,54cc6256-0328-4089-95ff-7064108477ac,1,
out/latrun-07-06-13-54-512/log,de331a29-763b-44a1-80a9-e619b8172a73,F2:1B:B0:FD:4E:79,out/latrun-07-06-13-54-512/base_samples40,40,1,out/latrun-07-06-13-54-512/bit_samples40,2020-07-06 20:55:57,2020-07-06 20:56:08,40,663fd283-1a87-4b9a-98ad-b82d75c0e8b2,1,
out/latrun-07-06-13-54-512/log,691d3491-31dc-483d-b366-762b4060b316,E6:E4:D9:5D:AB:B5,out/latrun-07-06-13-54-512/base_samples42,103,1,out/latrun-07-06-13-54-512/bit_samples42,2020-07-06 20:55:57,2020-07-06 20:56:08,42,ee1e7f4b-a85d-4b91-a033-2fe9a5e64779,1,
