Logs,Boot ID,MAC Address,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error
Yes,d438fa66-9bb9-454d-a0a3-e30d7ee0ac5c,1A:41:3E:40:58:9A,500,565,2,2020-04-03 19:54:26,2020-04-03 19:54:52,481,cb83e985-56de-406b-9806-42090640a405,1,
Yes,0775ba23-b447-4370-8864-b21c52be8684,A2:28:9B:16:EC:CC,384,371,2,2020-04-03 19:54:26,2020-04-03 19:54:52,371,2c0f4770-c11e-4b09-9e60-6a30fdbac7d8,1,
Yes,4b567829-ef1e-4173-9a46-fadef0c61f45,D6:69:76:12:68:8C,361,361,2,2020-04-03 19:54:26,2020-04-03 19:54:52,361,59656449-fba1-4423-8474-9a404e7af3ab,1,
Yes,a20fec37-b10e-4624-8fe1-45bd6c9b34b4,8A:3A:F7:9D:C7:71,121,258,2,2020-04-03 19:54:26,2020-04-03 19:54:52,121,71555f2c-5da8-4b08-83c2-21dc62a460a7,1,
Yes,6a468277-500c-4a1f-bb5a-8b7db228abe5,2E:22:90:27:34:F3,336,352,2,2020-04-03 19:54:26,2020-04-03 19:54:52,331,68956efb-9b3b-472c-a5c8-e487d2d0fe9e,1,
Yes,c2ca652e-92e6-418b-8ece-92c2997192b1,C6:ED:85:AD:D4:09,640,288,2,2020-04-03 19:54:26,2020-04-03 19:54:52,281,a8d8d7c8-9002-42a1-a578-77ba1b35538f,1,
Yes,6efb784b-75b6-4c56-8c47-b26171dac6bb,76:5E:39:8F:14:9D,291,291,2,2020-04-03 19:54:26,2020-04-03 19:54:52,291,df7de411-be47-437e-9fc1-61eda56f4338,1,
Yes,5f7b35ae-8e12-4488-bd4f-1706f7e4459d,96:9B:EB:7D:EB:4E,271,320,2,2020-04-03 19:54:26,2020-04-03 19:54:52,271,cc13718d-b05c-40a8-b815-f18ee063800f,1,
Yes,a025bbdc-a514-4970-97d4-0653aff5fb49,B6:73:F4:51:C7:69,421,421,2,2020-04-03 19:54:26,2020-04-03 19:54:52,421,efc729d1-55aa-49cd-8df8-f76127db5c6b,1,
Yes,92181203-827a-495e-aca0-d273521917b7,C6:7F:E4:6E:D1:FD,81,256,2,2020-04-03 19:54:26,2020-04-03 19:54:52,81,e2879135-f0e1-49f3-882a-fd365f010d4d,1,
