Logs,Boot ID,MAC Address,Base Sample,Phase 1,Phases,Bit Sample,Start Time,End Time,Id,Request ID,Success,Error
out/run_1024m_1bit/log,085c2132-1fc4-4b29-a1ec-1e1caa5cd05a,BA:BC:B4:6C:CB:2B,out/run_1024m_1bit/base_samples241,251,1,out/run_1024m_1bit/bit_samples241,2020-05-14 20:28:29,2020-05-14 20:28:43,241,c350ccdb-0f37-47bf-b7c0-22460d75ca4e,1,
out/run_1024m_1bit/log,027b80ae-3ac4-4641-a256-92fa82e49f82,D6:1F:B3:29:30:AF,out/run_1024m_1bit/base_samples151,481,1,out/run_1024m_1bit/bit_samples151,2020-05-14 20:28:29,2020-05-14 20:28:43,151,8e106207-f49b-4b34-b1d3-a0c4f7391a90,1,
out/run_1024m_1bit/log,5fbfd96e-e085-45ef-a07a-cd2136791722,86:87:A8:8B:A4:54,out/run_1024m_1bit/base_samples111,427,1,out/run_1024m_1bit/bit_samples111,2020-05-14 20:28:29,2020-05-14 20:28:44,111,7f3fa507-3399-4452-afbd-9257be0d8a5a,1,
out/run_1024m_1bit/log,c347602e-370b-49f6-94cf-5186ad762bb0,E6:D8:8F:7D:4B:4F,out/run_1024m_1bit/base_samples91,270,1,out/run_1024m_1bit/bit_samples91,2020-05-14 20:28:29,2020-05-14 20:28:44,91,9fd3fa8d-26bd-4f98-be3e-42a3b2214887,1,
out/run_1024m_1bit/log,9f197467-8f9f-4b22-a259-884074be53cc,8A:94:1C:84:C3:0B,out/run_1024m_1bit/base_samples211,211,1,out/run_1024m_1bit/bit_samples211,2020-05-14 20:28:29,2020-05-14 20:28:44,211,195090cb-1093-4e84-b231-f8b487ed7bfd,1,
out/run_1024m_1bit/log,0aee320f-6dea-4fac-8fa1-c7abb399e489,82:1A:04:8E:99:22,out/run_1024m_1bit/base_samples441,441,1,out/run_1024m_1bit/bit_samples441,2020-05-14 20:28:29,2020-05-14 20:28:44,441,ade7ea63-5613-45c1-aec1-154ad059be2f,1,
out/run_1024m_1bit/log,6418548d-915b-4a11-a457-68c197326c81,D6:E3:60:82:DF:B5,out/run_1024m_1bit/base_samples61,61,1,out/run_1024m_1bit/bit_samples61,2020-05-14 20:28:29,2020-05-14 20:28:44,61,e8cebeb4-4c1c-4822-beb1-c6a2b050247f,1,
out/run_1024m_1bit/log,723b2028-f924-4565-9301-66cfc7f2ad81,56:B0:97:06:7C:14,out/run_1024m_1bit/base_samples171,171,1,out/run_1024m_1bit/bit_samples171,2020-05-14 20:28:29,2020-05-14 20:28:44,171,77923e86-53e1-46d1-88ca-74501e9a7a00,1,
out/run_1024m_1bit/log,9527ce9c-d416-41de-a5aa-c9f3329398c0,FE:76:D4:CF:79:F9,out/run_1024m_1bit/base_samples101,101,1,out/run_1024m_1bit/bit_samples101,2020-05-14 20:28:29,2020-05-14 20:28:44,101,5089a2cd-130a-4227-8216-c0741ea05c93,1,
out/run_1024m_1bit/log,ccc365d7-d560-46c6-ba52-29c630721a98,B2:61:7C:E3:F7:6F,out/run_1024m_1bit/base_samples181,181,1,out/run_1024m_1bit/bit_samples181,2020-05-14 20:28:29,2020-05-14 20:28:44,181,de43e5df-a98b-4412-a3cb-aac8cbf8d47a,1,
