Id,RefDist,ClusterDist
84,2.33,4.0
85,6.0,4.67
23,5.0,4.0
69,3.67,4.0
975,2.33,3.33
57,5.0,2.67
62,8.67,2.0
5,3.67,5.33
70,4.67,2.67
11,5.33,6.67
7,6.0,2.67
74,6.0,4.67
99,4.67,2.0
90,1.67,3.33
55,5.33,3.33
893,2.33,4.67
272,4.33,4.0
225,0.67,1.33
41,1.67,3.33
29,5.0,5.33
97,3.0,3.33
457,0.0,0.0
96,4.0,4.0
2,2.67,4.0
61,3.33,4.67
224,3.67,5.33
66,4.33,1.33
89,5.0,4.0
474,6.33,2.67
98,4.67,4.0
6,3.67,3.33
736,1.33,2.0
402,3.33,4.67
278,5.67,2.0
361,3.0,3.33
194,5.33,2.67
79,5.67,5.33
128,4.67,3.33
876,2.33,2.67
368,5.33,4.0
808,1.33,2.67
13,0.0,0.0
208,6.33,5.33
17,7.33,3.33
620,4.0,4.67
68,5.0,3.33
592,1.0,2.0
655,5.33,4.0
40,3.0,2.0
848,0.33,0.67
195,4.33,1.33
807,1.33,2.0
28,5.0,2.0
919,0.0,0.0
650,4.33,3.33
322,3.33,4.0
123,6.33,2.67
247,2.0,4.0
95,2.0,4.0
741,6.0,4.0
37,4.67,5.33
207,6.0,2.67
429,4.67,6.0
485,4.67,5.33
48,5.33,4.0
605,0.67,1.33
590,4.67,4.67
246,0.0,0.0
571,1.67,3.33
853,4.33,4.0
119,4.67,4.67
915,3.33,2.67
267,0.0,0.0
608,1.33,2.67
833,3.33,5.33
456,6.0,5.33
153,5.0,6.0
171,4.67,6.0
164,4.33,4.67
478,6.0,3.33
9,0.0,0.0
273,5.33,4.67
357,0.0,0.0
439,6.67,2.67
884,3.33,5.33
674,3.33,3.33
179,0.0,0.0
594,4.67,2.67
952,0.33,0.67
166,4.67,4.0
918,3.33,4.0
653,5.0,1.33
104,4.67,4.67
909,5.0,3.33
776,5.33,4.0
422,3.33,4.67
500,2.33,0.67
116,3.67,4.67
397,3.67,6.0
178,3.67,4.67
25,2.0,3.33
305,3.67,4.67
516,1.33,2.67
240,3.33,2.67
165,4.67,2.0
234,5.67,4.0
248,6.0,5.33
124,5.0,6.0
851,3.67,4.67
528,0.0,0.0
20,6.0,3.33
745,3.67,4.67
416,2.67,1.33
850,2.0,4.0
556,1.67,3.33
269,4.67,2.0
340,2.0,2.67
375,0.0,0.0
898,2.33,3.33
332,5.0,2.67
205,5.0,6.0
624,1.67,3.33
642,0.0,0.0
218,4.67,5.33
279,3.33,4.67
558,4.0,6.0
483,2.67,3.33
200,0.0,0.0
237,5.67,4.67
251,3.33,4.0
530,0.0,0.0
549,1.33,2.67
130,3.67,4.0
938,3.67,4.0
768,2.67,2.0
610,2.67,4.67
83,3.67,4.67
795,3.0,4.0
928,3.33,3.33
232,5.33,2.0
684,1.67,3.33
584,2.67,2.67
501,1.0,2.0
359,0.0,0.0
973,1.0,1.33
400,1.0,2.0
942,3.33,4.67
607,3.0,4.0
122,5.0,4.0
469,4.67,4.67
264,4.33,5.33
949,0.0,0.0
615,1.0,2.0
190,5.67,4.67
403,0.0,0.0
759,3.0,4.67
230,4.67,6.0
881,1.33,2.0
527,1.67,3.33
172,5.33,3.33
685,6.33,2.67
467,4.33,6.0
339,0.0,0.0
661,4.67,4.67
523,6.0,4.0
414,5.0,4.67
841,0.0,0.0
663,4.0,3.33
16,5.33,5.33
377,2.0,4.0
30,6.67,4.0
261,0.0,0.0
618,3.0,3.33
60,6.33,2.0
747,0.0,0.0
637,0.0,0.0
662,0.0,0.0
399,6.0,3.33
593,5.33,4.0
675,1.67,3.33
379,7.33,2.0
760,2.0,4.0
632,0.33,0.67
499,4.67,4.67
35,5.67,2.0
525,4.0,2.0
480,3.33,4.0
929,3.67,4.0
492,4.67,4.0
395,6.33,4.0
692,0.0,0.0
141,5.33,4.0
723,5.67,6.0
697,4.33,2.67
550,0.0,0.0
849,1.33,2.67
442,4.67,5.33
887,5.0,3.33
365,5.0,5.33
345,4.67,6.0
180,5.67,4.0
967,1.67,3.33
388,0.0,0.0
192,5.0,3.33
953,0.67,1.33
351,5.67,4.0
215,0.0,0.0
739,3.67,4.67
405,3.33,4.0
346,5.67,6.0
569,4.67,3.33
65,4.67,4.0
784,0.67,1.33
71,6.67,4.67
933,1.0,2.0
24,2.67,4.0
336,5.0,5.33
652,5.0,4.67
355,3.67,5.33
108,5.0,6.67
514,4.33,2.67
577,0.0,0.0
433,5.67,4.67
27,4.67,2.67
242,6.67,3.33
419,6.67,3.33
641,4.33,3.33
725,5.67,5.33
174,2.0,4.0
39,4.67,2.0
376,5.33,2.67
211,6.0,4.67
541,4.0,3.33
249,3.0,4.67
449,6.67,4.67
954,1.67,3.33
202,5.0,5.33
454,4.0,4.67
175,0.0,0.0
129,2.0,3.33
847,5.33,3.33
678,4.33,5.33
990,0.33,0.67
711,4.33,4.0
288,4.0,4.67
231,6.33,4.67
241,0.67,1.33
243,6.0,5.33
189,3.0,5.33
21,6.67,4.67
138,3.67,2.0
294,4.0,4.0
314,1.67,2.67
254,3.33,4.67
115,1.0,2.0
262,0.0,0.0
214,4.0,5.33
177,5.0,4.0
865,2.33,3.33
420,6.67,4.0
113,3.0,3.33
955,1.67,2.67
343,5.33,6.0
905,3.0,2.67
63,0.0,0.0
871,2.33,4.67
726,4.33,4.0
552,0.67,1.33
856,0.0,0.0
924,0.0,0.0
555,0.0,0.0
455,0.0,0.0
463,5.33,4.67
306,4.67,4.67
756,1.67,3.33
307,0.0,0.0
462,0.0,0.0
51,5.67,4.0
390,5.67,4.0
488,3.0,4.0
270,2.67,4.0
630,4.33,4.67
695,0.0,0.0
704,4.33,6.0
233,4.0,5.33
964,1.33,1.33
513,0.0,0.0
872,0.33,0.67
387,2.0,4.0
560,2.33,4.0
916,0.0,0.0
191,0.0,0.0
353,5.0,5.33
391,6.67,0.67
757,3.0,3.33
840,3.67,3.33
103,7.33,4.0
337,3.33,2.67
599,5.0,4.0
859,2.67,4.0
812,3.0,4.0
144,3.0,2.0
598,6.0,4.0
253,2.0,4.0
651,2.33,4.0
740,0.0,0.0
559,6.33,2.0
370,4.67,3.33
796,5.0,4.67
209,4.67,4.0
181,2.67,4.67
168,2.33,2.67
874,0.0,0.0
319,6.33,2.67
411,3.33,4.0
861,2.0,4.0
127,6.67,2.67
210,5.0,2.67
496,2.67,5.33
667,5.33,4.67
935,0.0,0.0
710,2.67,4.0
136,3.0,2.67
557,3.33,3.33
105,3.67,4.0
111,5.0,4.67
338,3.0,4.67
798,0.0,0.0
619,4.33,4.67
908,0.0,0.0
546,3.33,2.0
163,6.0,3.33
283,5.0,2.67
835,0.0,0.0
640,4.0,2.0
135,4.33,5.33
647,1.33,2.67
155,2.0,2.67
157,4.33,5.33
289,4.67,4.0
282,5.33,4.67
364,5.33,5.33
199,2.67,2.67
36,4.67,5.33
358,4.0,4.67
426,4.0,4.0
502,3.67,4.0
564,0.33,0.67
354,0.0,0.0
913,0.0,0.0
606,5.67,4.0
184,5.33,3.33
444,4.0,5.33
321,4.67,2.67
394,3.67,5.33
479,0.0,0.0
160,2.67,4.0
961,2.0,3.33
786,3.67,3.33
109,6.33,4.0
371,6.0,4.67
94,3.67,4.67
226,0.0,0.0
170,0.0,0.0
150,5.33,6.0
238,5.0,5.33
154,4.0,6.0
476,4.0,5.33
260,4.0,4.67
946,0.0,0.0
378,1.33,2.67
475,0.0,0.0
265,4.33,2.67
754,3.67,5.33
738,0.0,0.0
491,0.0,0.0
169,5.33,3.33
920,0.67,0.67
333,5.67,4.67
152,2.0,2.67
781,3.33,4.0
304,3.0,5.33
683,5.33,2.67
777,0.0,0.0
125,6.67,4.0
145,2.0,3.33
91,6.67,1.33
682,4.0,5.33
126,6.33,4.67
631,5.0,5.33
568,0.0,0.0
517,6.0,2.67
19,4.33,4.67
196,3.0,2.67
147,3.33,4.67
780,2.67,4.0
553,2.67,4.0
219,0.0,0.0
869,3.33,4.67
300,3.67,2.67
102,5.33,6.0
412,2.0,4.0
436,2.0,4.0
506,4.67,5.33
529,3.0,2.67
255,0.0,0.0
503,1.67,2.0
634,4.33,3.33
137,4.33,2.0
256,0.0,0.0
286,6.33,4.0
212,3.67,4.67
452,4.33,3.33
120,4.0,5.33
325,5.0,4.0
201,6.0,4.67
276,4.33,3.33
771,3.0,2.67
382,5.0,6.67
772,5.33,2.67
473,5.33,3.33
334,5.0,2.0
235,0.0,0.0
846,3.67,2.0
968,0.67,1.33
767,0.0,0.0
543,5.67,3.33
977,2.0,3.33
716,4.0,5.33
404,3.67,4.67
664,1.33,2.67
182,0.0,0.0
134,4.0,4.0
548,2.33,2.67
118,3.67,6.0
287,3.33,4.67
508,4.33,6.0
542,5.33,4.0
900,2.67,4.0
902,4.0,4.0
868,4.33,4.67
814,6.33,3.33
635,0.0,0.0
950,2.67,4.0
583,3.33,4.0
77,7.0,4.0
940,1.0,2.0
709,2.67,4.67
657,5.0,4.0
398,3.67,4.67
735,0.0,0.0
547,0.0,0.0
578,0.0,0.0
673,3.67,4.67
427,5.67,4.67
151,5.0,4.67
236,4.0,4.67
64,5.67,3.33
349,3.0,4.67
818,3.67,4.0
782,4.0,4.0
121,4.0,4.67
409,4.33,2.0
945,1.33,2.67
418,4.0,4.67
622,1.33,2.0
666,2.67,3.33
326,3.67,5.33
907,1.33,2.0
188,5.67,2.67
862,0.0,0.0
765,6.33,2.67
565,0.0,0.0
