Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 23:16:16,2020-02-13 23:16:31,3920,78271,3788,124411,132,1198,5cd9577c-17ab-4d6e-818e-14cd03988f78,96:79:E8:05:E3:FD,67f6ee9b-3c4b-4e0d-b27f-112ac22a506e
sampler,2020-02-13 23:16:16,2020-02-13 23:16:31,4104,44828,3901,60785,203,1198,e6b4f5a2-3a96-4723-99ca-efbf515bf812,06:B1:99:B4:D8:51,2f43506d-bc59-464c-a2cb-758a9a510f38
sampler,2020-02-13 23:16:16,2020-02-13 23:16:31,4054,53970,4558,45804,504,1198,35865ac7-3170-402d-b05c-31d883463c30,FA:52:B5:51:CE:3A,249a3a08-efdb-434f-82be-bb6c0a76b120
sampler,2020-02-13 23:16:16,2020-02-13 23:16:31,4479,111572,4738,69726,259,1198,37731e7f-cadd-44a0-aad1-cdaabc450ece,E6:DD:4A:44:56:BD,543444bf-276a-4716-a12e-65433b11b66a
sampler,2020-02-13 23:16:16,2020-02-13 23:16:31,4304,136531,3949,33078,355,1198,da6fb48b-6a93-4e55-9fb7-f1761a71d167,CA:BB:A9:E7:BE:BD,a7191037-8750-4719-b220-de782fd078b4
sampler,2020-02-13 23:16:16,2020-02-13 23:16:31,4306,91992,5783,902044,1477,1198,6c13b645-ac7c-4bf4-af90-65e4d0f1e0f1,76:DD:85:B6:A2:3E,571c722a-8f96-4d43-9376-3b47545fbdc7
sampler,2020-02-13 23:16:16,2020-02-13 23:16:31,3924,56598,4127,116380,203,1198,78fc3bb8-a21a-4b2d-ba7e-d5bedb46fcd2,92:EE:9D:94:67:84,20801ab0-98db-44d6-8682-c79ce4a36648
sampler,2020-02-13 23:16:16,2020-02-13 23:16:31,4325,72150,4985,165886,660,1198,7b528ecc-8c99-440d-9dc7-c7e1b8817a59,B2:37:7B:91:3C:7F,9e0f6962-1a09-42b8-b080-7e8295cc07d6
sampler,2020-02-13 23:16:16,2020-02-13 23:16:31,4329,111542,4446,84742,117,1198,6270303a-bf0e-4ad9-8019-fb5a15f5b508,F6:6B:32:87:CA:70,982a4ec5-feb8-40e4-ba31-2f2f06055e76
sampler,2020-02-13 23:16:16,2020-02-13 23:16:31,4187,118720,5742,958010,1555,1198,3aa50cea-8b31-4909-a6e9-16b888975ff0,AA:07:F8:3F:04:D8,35c15c83-a36e-4a65-9806-b28ae6063624
