Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4318,64762,4034,53722,284,1198,414c5a04-6a63-4128-b976-6c51a965dbb4,06:B0:2B:86:19:04,edb14581-c399-44d3-9c97-cd35662c46f1
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4422,98692,4031,43636,391,1198,5f159b58-78ba-488f-b8f3-9f2f249962ca,CA:99:78:23:32:AC,846410c3-6fab-4d39-808d-896c0fe2ef41
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4118,57230,4230,87962,112,1198,79ed96a7-c12c-4ef3-bd49-e78bf39ad119,72:BC:7F:AC:DE:02,b76c1540-6a9d-484d-a2e4-b808e58742e4
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4313,126568,4317,108040,4,1198,5fff5c21-b635-4c12-82ed-aae8525a5d83,8A:E9:85:56:3B:79,51d2fbb7-47f7-4a05-8f9d-6c6f3baade0a
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4189,52672,4104,79898,85,1198,55a4c515-7ca3-4029-821b-b530b8f46d6e,3A:0E:D3:15:6C:39,dc6e9256-0937-4c36-be9a-ae25fcb7fc65
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4219,42156,4157,71682,62,1198,6fa654a6-9fb0-4458-80fc-65219eaaa4ec,96:0F:66:BE:45:CA,1542602d-b935-4c31-87f2-82ca89940122
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4013,50234,4131,49496,118,1198,fb742536-411c-40fa-9b10-3577e2740e35,FE:DD:67:46:CA:7B,6d8c8c71-7b1f-45c3-aa84-3392ab12febc
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4147,87268,4173,76448,26,1198,0cfd2800-987c-4f07-a47e-94341f41a55e,AA:AB:B1:6C:84:C3,84d0789f-c56f-463c-929f-0227d3b6efbe
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4820,468038,4350,83998,470,1198,bd713508-9722-485a-81cb-7606c8b82571,76:38:A4:87:67:72,3fe50c83-2900-4673-a269-9d6db4922360
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4569,297118,4382,85484,187,1198,18107441-3886-4195-9c40-063c92345e0f,DA:38:4C:43:0B:34,2714030b-1d2f-4c24-8b1f-01335a30a8d6
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4256,61540,4801,452406,545,1198,07253b4f-1ba3-43e9-a834-4c2cc75275d1,5A:09:C6:F3:72:9C,50129516-4267-4376-8008-478eb5f4b534
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4578,332332,4614,297942,36,1198,1f768699-aa22-4a00-b229-b31f31f0b765,02:55:41:35:79:7F,54c7d3c6-ce3e-4207-a773-dd53778376e6
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4436,54902,4442,88094,6,1198,5058a927-d5c3-4825-bf01-4e2b54377b84,96:3F:59:7A:A2:9D,d276bcfd-9a79-4e5f-8e18-ab066bdd8195
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4309,52434,4501,54170,192,1198,ffe59072-e50c-433b-9205-710e6f14c4d9,E6:DD:4A:44:56:BD,543444bf-276a-4716-a12e-65433b11b66a
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4412,74900,4437,67068,25,1198,b4dc96dd-52b2-42bd-89f2-d0ed86896673,2E:3B:97:4F:20:12,faf1beb1-92b0-4832-acfe-30d1266a9771
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4112,62190,4057,54268,55,1198,c6ce439e-f59c-437e-b5a2-97444dbfaf0b,C6:0E:60:50:FF:2C,d47f2aac-f653-4920-89db-758d56b82b37
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4564,377468,4107,40662,457,1198,a70b6dfc-af2b-4a7c-8f9a-6999c26f020c,76:DD:85:B6:A2:3E,571c722a-8f96-4d43-9376-3b47545fbdc7
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4352,95130,4253,53524,99,1198,4a01859b-0ac7-4449-a96d-20604e4188e4,EA:A6:AB:3C:55:7F,732157d4-e80f-4179-a51d-78929605a158
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4535,116366,4436,70128,99,1198,8722315e-48af-496d-a72b-124eb7c8b649,8A:AB:FD:76:00:F8,841bf7fa-46cc-4565-8dec-f96d4ee9b186
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4106,70092,4188,256882,82,1198,aa847fa5-b7e0-4886-8030-6fc916214153,EA:C6:E0:CF:F0:6B,50e018c0-afb9-45a7-adc1-210c23d3cec3
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4111,74250,4000,40332,111,1198,d08914a1-cbb4-43de-bde9-6fb0ac0d30ca,C2:B4:F1:43:DD:6B,2fcaa293-1c5d-4e66-a889-435ec7003506
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4110,60128,4388,291120,278,1198,7a3375d8-fd8e-4b6d-abbe-e65bbddcda01,BE:FB:8F:84:7D:C0,a2cec002-7350-48b9-b2c0-b49067bc2a92
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4430,241800,4282,54674,148,1198,efdbe2ba-485a-48ac-b119-bbf5b630605d,CA:F9:4F:21:74:E9,13e9e59b-3794-47a2-a9ce-b23078828d91
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4292,367923,3964,93665,328,1198,b2397a48-82de-4b28-b116-f3a0f453fe51,9A:3D:E5:B5:A0:BA,66c3a67a-3d51-436b-bf4a-1c4112d36b6c
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4347,90940,4528,94144,181,1198,5b1b07b9-be8c-41fb-ac03-fce9813b023f,DA:7C:28:65:A9:64,9f0591bc-c94b-4ee3-bc9c-686594758b83
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,3965,48490,4239,51698,274,1198,acc337dd-8911-4deb-a7bb-46e2a91ef542,5A:75:D5:42:72:38,c825633d-a81f-42e3-a786-312923516d92
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4116,48046,4504,323050,388,1198,115edff3-78a0-4a2e-a31c-68fe7ced3464,02:A9:51:2B:20:CC,1f881507-5e9c-4e09-8211-8fc806301c97
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4777,419506,4138,88024,639,1198,4f061e97-e6d7-4aaa-9dc4-d1571b937f2e,EE:18:25:ED:CF:1C,84c5aee4-cc09-457d-b4d3-f3c5d4779aab
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4378,96764,4495,76934,117,1198,3e34a295-8659-4c9b-9174-c4444e8fae4d,4E:45:4B:21:36:DB,541babf6-acb8-4c6f-a8ed-b9289701ecaa
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4344,101298,4066,84792,278,1198,f171ab9c-7c1a-4011-b8a4-6549a34871ca,92:E8:01:89:B4:F5,0ccf321c-3b59-4318-827c-94d9d4659580
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4106,62864,4325,66574,219,1198,d7b8edb4-1f81-41cb-b07f-cd1fc03619b8,BA:84:CB:DD:36:30,79bd048d-9f52-4163-aca6-bb877830a779
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,3939,67008,4012,71641,73,1198,72ed7a6c-3c8e-4bd2-b65b-4c0880cb4e21,42:5D:3D:89:31:CB,85a95658-6408-4822-b0a6-7926314306e1
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4142,57556,4331,104468,189,1198,5121e7ac-7099-49fb-87c1-2147caaf602f,AE:5C:77:11:66:63,bb2cfbaf-76f2-40af-9095-379eff3efbbd
sampler,2020-02-13 23:08:24,2020-02-13 23:08:39,4139,41102,4305,38644,166,1198,15240234-3ee3-400b-aa62-e7190f63d3d9,B6:BC:47:9C:9A:20,8630fc1e-9d36-44d5-8a87-f5f3a3a3266d
