Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,3880,46822,4547,64024,667,1198,2990a757-2fd0-4496-9a28-c6a90338bfc2,9E:0F:67:A5:83:2A,fe90a700-de71-4bc3-a3fa-1c0071d7df1d
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4200,100616,4319,57416,119,1198,8a8b3341-aca0-4d35-9e30-204fd6231d4a,96:57:53:22:0F:CC,48656ca9-9e55-4361-a8e7-904f6b2888b8
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4300,55580,5893,595092,1593,1198,faff6310-a082-4401-8f99-3a8f89ed4436,0A:07:C9:9F:30:97,d1293e01-5641-4075-8e59-7958dacb2dd0
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4142,64484,4160,52558,18,1198,63d20f52-a5ee-4765-9bba-9c8157fa4186,D2:40:92:A7:37:97,69fa0bf8-7e4e-4c0f-aeae-fd9f2665f13d
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4408,94720,5107,699092,699,1198,044f9faf-c968-4fd8-a1b2-670209e6dc0f,EE:25:A6:4F:71:78,7c6cba1f-f832-46ce-a445-d01385dee2b2
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4256,62858,4859,113370,603,1198,2a8562ac-fd54-446f-b8c7-fef3d436d98f,22:BB:3E:F8:92:BE,d4c7dc90-8096-458a-a3a1-f013bb59191e
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4300,87642,4131,89656,169,1198,76867e65-fb21-464a-b576-151ca4f98cfa,7A:A1:42:E1:3C:55,9f826ebf-f8e6-439d-8632-b28b2ac4a71c
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,3669,83835,3994,54312,325,1198,426c7d5a-e8ae-4880-8c8f-2b022fdf527f,D2:E9:12:80:FD:40,d2b9d5b7-6bb1-4fb2-85ae-d3d7018c22cc
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,21915,21147722,4731,125082,17184,1198,94d10ae5-6c9f-4573-a632-2046203d45ed,CA:49:1D:3F:D1:6C,96ec65eb-1be1-4917-b04e-7cded0d2e126
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4301,78838,5531,311436,1230,1198,4fd05f20-22db-4512-8539-0b661f4b477e,FA:66:50:A3:B2:4B,937dabb7-5777-4832-b261-f906dc806c06
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4227,51856,4516,88279,289,1198,28392480-2050-46ac-8668-99cd533a9abf,BA:21:FD:B3:D4:62,3f56f0d6-fa1f-4339-8d99-59fea627f391
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4319,225680,5341,182744,1022,1198,86ba3351-37a1-4620-b977-813dd0724582,1A:AC:58:0A:25:62,656f6824-40e4-48ae-9c51-c112eb09f164
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4030,39448,5796,86286,1766,1198,1f737117-404d-4411-9f25-9f8cee4aa880,06:2C:C4:22:09:6B,0ce3ed07-2361-4690-850e-300d1462ce9f
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4377,62534,4893,88146,516,1198,99a34327-2fb4-49c1-9176-92a8b2a705ec,EE:8B:A5:9F:A0:E9,acc713b8-13a0-42b6-a283-88ff8f084a84
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4306,91822,4156,86656,150,1198,747962a5-cf56-48b9-9649-3f1f50878fe3,9E:B0:15:24:17:85,a1828bd6-608a-400e-9ad9-4908bf7d12b8
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,3861,53882,4228,95858,367,1198,75cbc51f-f83e-4b6c-8c78-9f31da692f0f,CE:6C:A9:22:4C:3A,73962285-b0ac-4db2-baf3-772813b34e42
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4432,295278,5779,663646,1347,1198,db5ce95e-9a61-4492-aafc-fc0a0d68cdd7,36:B7:E1:6F:FD:76,d923d284-ca2f-4eef-a40a-57b8616e4741
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4173,69042,4278,59790,105,1198,726c5f60-94ff-4ee2-a4cd-f040f20bdad0,D6:A2:80:88:CD:70,1d0c46e0-b4b1-4039-987c-c653213f6e7e
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4264,54634,5306,426244,1042,1198,c4bbe716-b838-4ccc-9333-5b09ac741a29,B6:83:3F:F4:9A:A6,44b41a1b-7bda-4c3b-b54f-9ac0b4fd5597
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4512,53600,5072,144618,560,1198,99a8789f-829d-48d5-bce4-cbf5996e6c5f,36:FA:98:2C:00:A1,1613d0ac-4474-43c1-ba46-aef510abb54e
sampler,2020-02-13 08:01:19,2020-02-13 08:01:34,4124,41506,5202,123176,1078,1198,e7902cf4-349c-47e3-b241-de4b59204986,0A:95:13:41:9B:3C,56297fa9-29af-47b6-8629-8b6865eeb0fa
sampler,2020-02-13 08:01:20,2020-02-13 08:01:35,4765,398458,4743,55432,22,1198,5700c243-41d4-4b73-bcb1-0f769dbbe742,A6:73:9E:D6:5C:0D,7b0aedf8-7082-42d2-bfdd-3edc064c2ee7
sampler,2020-02-13 08:01:20,2020-02-13 08:01:35,4372,66716,4996,314136,624,1198,9a6d862c-1a64-4160-9b1e-02f0af603849,5A:55:7F:AD:A2:98,7fb8e424-be97-42a1-957e-69def3e5050e
sampler,2020-02-13 08:01:20,2020-02-13 08:01:35,4645,90018,4596,50272,49,1198,38ca472b-dec2-4340-819f-a1e0edae57a2,E2:2C:B5:03:C4:30,a6b51fcb-15cc-4423-9163-db91b0fd9d69
sampler,2020-02-13 08:01:20,2020-02-13 08:01:35,4521,438232,4616,75474,95,1198,da98fec4-42ef-4c39-8c1e-3e7a9dd9f6c8,DA:94:E9:44:7D:E3,5b6dccf2-dc05-4b20-b8a4-36146a0fe645
sampler,2020-02-13 08:01:20,2020-02-13 08:01:35,4219,50520,5573,132102,1354,1198,179dbdd8-c006-4029-a141-58764187008b,3E:17:98:E9:E4:2B,d90b8200-c076-4a8e-966a-d96991032a61
sampler,2020-02-13 08:01:20,2020-02-13 08:01:35,4418,106524,4058,88400,360,1198,e9b9a15a-ecbe-4e42-a55f-d26adb56b314,56:84:76:A2:3C:29,48d5dc33-3a6b-4f97-8162-6983d6c305ef
sampler,2020-02-13 08:01:20,2020-02-13 08:01:35,3994,55908,4716,54704,722,1198,bb25bb90-c65b-4a18-b45f-f6ce17e01753,76:19:99:45:D7:F4,690c2004-5ccd-4873-8671-43fe38ec9b2a
sampler,2020-02-13 08:01:20,2020-02-13 08:01:35,3589,64958,4437,76450,848,1198,93106a2d-4c9b-42f4-82d0-87c66a143420,D6:7A:AF:78:33:46,7b59bfa8-144f-43d0-af14-3ea29592559c
sampler,2020-02-13 08:01:20,2020-02-13 08:01:35,4158,71910,5487,386234,1329,1198,bf0e5194-4743-4ccb-9b05-904e5908a6c5,8A:73:DB:CF:07:73,53c1c8fb-51db-47dc-9b83-912cb87f06a3
sampler,2020-02-13 08:01:20,2020-02-13 08:01:35,4616,66154,5831,329732,1215,1198,4b7c4634-7541-497f-a761-5d939fbf6a52,EE:04:8A:91:DF:C1,f35c2db1-ccc5-4c23-9e2d-a2a926754e2d
sampler,2020-02-13 08:01:20,2020-02-13 08:01:35,4160,53762,4127,69722,33,1198,7fe76b01-19b1-4310-a314-4e7ec10670ec,86:66:E4:66:A7:95,686e376a-59fe-4843-84f0-9e62054bdb06
sampler,2020-02-13 08:01:20,2020-02-13 08:01:35,4160,39294,4774,53728,614,1198,5ec49a09-4270-4730-bfca-b6d2eb74add5,C2:3F:F5:60:23:A4,485fd8de-90fa-496f-9f09-c64775efd928
sampler,2020-02-13 08:01:20,2020-02-13 08:01:36,4261,54224,4336,97490,75,1198,b3229cba-70c4-4876-bd5f-2ebb9a959de2,9A:E0:02:81:49:8B,43bb873b-de81-4fac-b68f-6955e4d729ad
sampler,2020-02-13 08:01:20,2020-02-13 08:01:36,4109,38370,4179,83850,70,1198,e2b13120-a6f3-4c74-b8ad-74e085c46f85,7E:D9:53:39:44:0C,969a1447-b6e7-4808-bbc0-954221017de7
sampler,2020-02-13 08:01:20,2020-02-13 08:01:36,4108,44762,4344,63582,236,1198,e9892105-6aa5-416c-b3b2-290c42895775,2E:15:72:62:1C:BE,d4fd9ca8-0167-4e08-b776-5667412b7f2f
sampler,2020-02-13 08:01:20,2020-02-13 08:01:36,4089,39140,5507,385048,1418,1198,aa664f0a-0ec1-46ac-ac12-2cc13e9034a1,BA:15:AD:9C:21:2C,46338a45-1e89-4532-9abe-f982694f76a4
sampler,2020-02-13 08:01:20,2020-02-13 08:01:36,4190,56052,4910,291256,720,1198,71505507-a0bc-42a5-9861-e86fe9c56713,3A:57:DF:49:32:39,ee4c545c-272e-4af5-8327-65ed0bf365a9
sampler,2020-02-13 08:01:20,2020-02-13 08:01:36,3868,43504,4147,43324,279,1198,2c1d9b52-8ef3-46c6-87f5-91260f071f49,5A:9F:CE:C5:23:A7,48e38bd0-1a2e-4fda-a57f-2ccbce251188
sampler,2020-02-13 08:01:20,2020-02-13 08:01:36,4439,252033,4503,137258,64,1198,660fedc7-6c22-47e3-8f9a-53d219a6f798,9A:DC:15:62:92:F6,ebd3fdf1-7207-4218-990f-82f23ee1d747
sampler,2020-02-13 08:01:20,2020-02-13 08:01:36,4011,506341,3938,96942,73,1198,c930f3cb-97a0-4962-b6d9-ed34cb86130c,8A:D3:22:AE:F0:32,8b89ae8c-6836-47e8-8cce-d7547a6f5512
sampler,2020-02-13 08:01:20,2020-02-13 08:01:36,4217,53087,4339,48897,122,1198,7c69d78c-f184-4e29-ae92-dd817e4410a4,CE:98:BE:E1:4B:8F,160de12e-b9a5-4c47-aa40-be561a3f3129
sampler,2020-02-13 08:01:20,2020-02-13 08:01:36,4719,105920,4594,92684,125,1198,1c295f82-d909-4d6f-a920-90d4892380b6,16:E3:01:D7:E3:D9,ee964efa-da67-4968-8f3a-69229b1b66c2
sampler,2020-02-13 08:01:20,2020-02-13 08:01:36,4476,83772,4669,118720,193,1198,e4286059-de70-4cc7-8e87-ce19f1397410,16:01:F9:BF:9D:79,99cb6de3-d90d-4be6-b765-2a294d15ce02
sampler,2020-02-13 08:01:20,2020-02-13 08:01:36,4335,463198,4307,88198,28,1198,fdcae45d-a571-48bd-91c4-ea81a81a3140,6A:7C:9D:30:88:4B,bdc40fcf-b28e-466e-9378-588bbf331628
sampler,2020-02-13 08:01:21,2020-02-13 08:01:36,4196,106808,4280,87680,84,1198,3d507a60-27ad-457f-b987-343f90a39917,92:11:EE:C4:BB:12,625bb457-ce58-41e0-b018-bcadf2749f66
sampler,2020-02-13 08:01:21,2020-02-13 08:01:36,4225,92850,4659,62224,434,1198,feb47dac-a005-46f7-aa5d-1f71c02d6d2e,FE:94:70:90:B3:A5,13ccd90a-ea8f-4d60-a0cb-f3961ce54b0e
sampler,2020-02-13 08:01:21,2020-02-13 08:01:36,4279,64904,4581,64660,302,1198,72288486-cf99-4cf6-b930-81cc06d66df4,9A:1B:F4:1D:76:B7,79999e14-db95-4ae5-a1bb-207295b8e71f
sampler,2020-02-13 08:01:21,2020-02-13 08:01:36,4291,516461,3750,48258,541,1198,80d652bd-5dd5-4ae9-81af-3f1b04ab9dbc,66:0E:59:CD:A8:85,5c987208-5152-41ad-b194-67e222dd5b61
sampler,2020-02-13 08:01:21,2020-02-13 08:01:36,4081,53345,4532,68163,451,1198,89c3fe61-33e1-4bc2-97a0-7c46df6f733d,B2:84:18:89:BD:02,a8d6dc22-bdd7-4ad8-ae22-01826a94a086
