Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 09:13:22,2020-02-13 09:13:37,3991,41140,4116,89314,125,1198,7a42945d-ece8-4e52-8fae-fc6bed1dbd03,5A:43:C5:09:0F:F0,f801c479-efae-4b4f-9982-2d67b6dc90dd
sampler,2020-02-13 09:13:22,2020-02-13 09:13:37,4531,67066,4618,206076,87,1198,35badb40-8d83-4eb1-886b-3dc09758c23d,6E:61:7A:A8:F8:31,6558faaf-0a9b-4ad0-b937-79c18ec0c2d2
sampler,2020-02-13 09:13:22,2020-02-13 09:13:37,4215,42274,4141,54210,74,1198,f0b676d6-004c-4a84-8e62-3d03262ae8ea,BE:28:5B:DE:4C:0B,abf6a63f-0f5b-4f28-ace8-1528b5684a4f
sampler,2020-02-13 09:13:22,2020-02-13 09:13:37,4364,81604,4277,73092,87,1198,8d68aa71-8851-4079-9f06-0ff558be2783,06:63:5A:BB:63:74,ff2a6daa-6225-44c4-8597-2ebb28b2ab2e
sampler,2020-02-13 09:13:22,2020-02-13 09:13:37,4184,54218,4754,259760,570,1198,33272c47-5026-45e4-a6fb-b72ae6a2658c,66:5B:53:63:5B:B2,ddfc15d4-78eb-4d66-bb63-cbacd82037d4
sampler,2020-02-13 09:13:22,2020-02-13 09:13:37,4256,44806,4441,86076,185,1198,19b822d4-e84a-436b-969c-5ef5e4951c82,CE:A7:B4:96:55:FF,fe395c70-b613-4976-bb61-49add06f186a
sampler,2020-02-13 09:13:22,2020-02-13 09:13:37,4524,87986,4251,55874,273,1198,beec34f9-be9d-4b38-accb-341f115dd0aa,46:DD:7D:F3:16:7D,a7dd02e3-eff8-4783-8ce8-14b1e3064466
sampler,2020-02-13 09:13:22,2020-02-13 09:13:37,4855,363024,4475,198080,380,1198,3bd5ef6e-0b2c-4dbf-b8d0-f5a510b00902,72:61:71:A7:67:CE,d0300292-bcdd-4e50-a8f6-09e02dbeb9d3
sampler,2020-02-13 09:13:22,2020-02-13 09:13:37,4346,42648,4361,172008,15,1198,33d4c9c8-0736-4b6c-985a-bb9f67b2abd4,DE:FA:CB:0A:63:60,6901a834-cff7-4bb1-b0b7-3080bd251fae
sampler,2020-02-13 09:13:22,2020-02-13 09:13:37,4457,189106,4761,391782,304,1198,4a16a665-3525-4594-bfea-ec7fd4c465f0,2E:28:AC:5B:26:5D,fc05a5da-9360-4198-b682-bb7df3003991
