Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 09:12:41,2020-02-13 09:12:56,4233,79684,4113,59492,120,1198,7462d07b-5c2c-4619-bab8-6e80c14567fe,E6:BC:ED:94:58:5A,5449ff3d-7f2a-43e7-aabc-1e0e0c4d878b
sampler,2020-02-13 09:12:41,2020-02-13 09:12:56,3991,73460,4539,109662,548,1198,15e6ba18-0978-46a4-9803-510544d0ca52,AE:91:BB:B4:52:73,a995fa9f-a399-4b5c-975a-bfb1df8fb828
sampler,2020-02-13 09:12:41,2020-02-13 09:12:56,4323,57640,4590,80324,267,1198,516ef210-4a53-4230-a089-789a015a7431,16:D4:72:71:01:8C,f633eed2-68e6-48e9-b872-f2908920e2e6
sampler,2020-02-13 09:12:41,2020-02-13 09:12:56,4169,62546,4729,59662,560,1198,c7a03c4f-16f8-4318-84f9-b073f7bd89fa,2A:9B:28:A0:31:A2,fe0eec7e-ef00-46ec-82ca-c7b99b279229
sampler,2020-02-13 09:12:41,2020-02-13 09:12:56,4075,69366,5218,292784,1143,1198,82eb0922-6279-4af6-b8d4-7535ef98ea73,8E:C5:7C:E9:B1:40,4dc943c8-1cc3-48fb-a2bd-816fcab7bd82
sampler,2020-02-13 09:12:41,2020-02-13 09:12:56,4367,47622,5937,83302,1570,1198,dec91f32-cda6-42f1-9692-08a7c2d66ec7,C2:66:A9:6C:72:66,e52bd48e-c3f3-4221-90d8-7d26762ca328
sampler,2020-02-13 09:12:41,2020-02-13 09:12:56,4332,82290,6693,1323512,2361,1198,5284adaa-35b6-48d8-a8c3-c7f165dc8b75,CE:01:DE:3F:7C:AC,1e6ba353-8aa2-43be-8d6d-7585f312e6e5
sampler,2020-02-13 09:12:41,2020-02-13 09:12:56,4031,41934,5121,55146,1090,1198,b6d49dff-5e8a-41aa-914c-55a9b666c774,92:77:17:E1:F4:0C,b34d1be7-965c-4ef1-9676-03a6c8b17e7a
sampler,2020-02-13 09:12:41,2020-02-13 09:12:56,4508,317356,4596,70868,88,1198,35093fc7-f32e-4990-844e-084eb1ec352a,B2:65:C5:42:FD:48,1a5205fb-8fe2-4b1d-836b-28c0876d82b7
sampler,2020-02-13 09:12:41,2020-02-13 09:12:56,4113,39476,5788,444578,1675,1198,3d5d55e9-21d4-4940-9d30-5100be3499f5,DA:E8:E9:14:E7:8F,97595a2c-f18e-4a2b-98aa-166a700e525b
sampler,2020-02-13 09:12:41,2020-02-13 09:12:56,4578,55678,6034,106122,1456,1198,256b4e37-5617-4349-94d1-099b699eb6f4,BA:7C:DB:1C:2B:93,b97d247c-bc2f-4097-9ea1-0501e0d2a72c
sampler,2020-02-13 09:12:41,2020-02-13 09:12:56,4223,63592,4672,472490,449,1198,0df57d5b-cd9b-46fe-8829-f9738f6fad54,02:95:7A:81:BD:1B,18071b68-abf0-4cca-8a00-0d34fc6f405f
sampler,2020-02-13 09:12:41,2020-02-13 09:12:56,3904,53912,5144,150624,1240,1198,a513147c-e9b7-44b9-95e6-f1201276722e,96:1E:69:B9:DC:09,9f4bf5fc-2374-46ad-bd62-70905465e16d
