Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3792,29716,4343,749264,551,1198,875b06e3-dca6-436a-9195-6ecf549c6ae7,16:11:03:53:65:AE,64786278-e2bb-4a99-8541-c2b406bf19ba
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3734,31400,3638,37680,96,1198,8c905b72-f02d-4c52-9554-097f63f534e2,32:D0:A2:05:03:73,282d8605-f00e-407d-8b5e-aed9f14423fd
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3737,36774,3766,34460,29,1198,9f0cdeaa-1697-4bea-b6df-eec037f9eaca,3E:64:94:89:88:A5,c8655b66-42e2-4834-9403-bf414c38601e
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3724,203684,3648,37926,76,1198,e0838a1f-52ca-493e-bc56-947191b933de,66:92:31:08:DE:D3,c0251649-f6ec-4853-ba6b-51632355b441
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3876,45344,3736,61804,140,1198,096b3d61-89c2-4ab1-a96a-da2bd3905a84,6A:53:4B:2C:93:2A,322947c8-01f4-4c3e-b87f-beb361f40a8e
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,4070,54004,4297,205228,227,1198,c63d6227-ffcb-4e44-80e0-9ccef3b63d24,96:BA:90:1C:8F:19,257a7c58-4e23-4fe8-be14-93a7b8b89b68
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3585,35038,4550,899976,965,1198,2fa0d432-b72b-4e8f-970b-2194344e3941,2A:17:DE:7A:58:31,1364732d-dcc1-4d9a-badf-96adfb1e6bd5
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3770,56498,14663,13110822,10893,1198,51e64952-5ae8-410d-a69d-f4be0c0f7c52,02:21:E2:66:16:26,a818085b-7789-48be-b5bd-e0451efd3b54
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3637,53882,3637,43818,0,1198,eea95a21-6a1d-4653-ac25-7ac8b95837c4,96:6E:DB:8A:6C:9B,c895ecdf-7c73-496c-a032-075c653bdeac
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3737,54616,3784,58808,47,1198,0bc80787-5832-40d1-bd89-b54c6e834066,22:DA:67:CB:87:22,4e0f6130-1b0b-4691-a10d-a969a2444347
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,5521,2284942,3610,55374,1911,1198,503181c5-c864-463b-97ca-cfa468bdca7d,EA:A8:C4:5D:75:C5,c8c04be1-6507-4f7c-87a0-59f77fd9917e
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,4073,92038,3987,53972,86,1198,c503214e-62bf-435f-98ea-ea760a45b3d2,76:0E:D2:26:D7:11,dc4bc80a-ffdc-4125-bf15-b64aace46cac
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3697,37278,3858,107402,161,1198,af7ddc1e-bbe9-48ed-bfef-1a22f568c50f,CA:2F:73:CD:A5:26,807bb37f-488f-4478-b43d-ef509efa55dc
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,4365,63804,4523,88946,158,1198,477c7103-b15a-4e92-ae12-5234542e43b5,E2:46:31:E0:97:DF,650f8620-f041-4b41-86b6-d3cc3e386067
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3543,34742,3561,43706,18,1198,bff4dadb-2c17-4e3d-9a36-c496d07f36bb,DA:55:DC:5E:F5:D8,aebba29b-a035-4366-93de-741b35a54739
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3898,92058,3843,206830,55,1198,aac69079-4ec2-4ec2-a44a-a08028a6fd91,B6:2E:6F:A9:01:37,e817e0b7-cf46-427f-8677-7d6efb989c2f
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3446,29482,3519,69106,73,1198,66a39e50-c6b3-49fc-8c15-7b4ff39adb5d,8A:D0:80:9F:91:78,dfaa02e3-8913-46da-9518-c3d33d616586
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3754,36212,3740,35776,14,1198,3ee176f8-50de-4190-b1b0-1e47d0bd0562,82:C8:EC:BF:B5:6B,3ba847e6-dae9-4ad7-9390-a70c9b6c9ce3
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3724,64986,3578,36736,146,1198,b588cf92-2015-4d7e-9741-d6ff2e615b4c,EE:6C:19:D0:09:17,8c8260e2-25a3-4016-ba6a-5827df6b1c7d
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,15601,14152774,3562,39972,12039,1198,f8d9cc5a-e83f-4c25-b2ec-225c74c05c15,FE:24:04:01:C5:C3,adae029a-0ca5-4392-8c0f-955cd346f951
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3758,90622,3667,80558,91,1198,f2fbad6b-28be-418d-9f8e-0b81279bf33c,4A:20:6E:D6:95:61,b882d946-6745-4b96-8383-be5dfc2a45de
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3597,48974,3609,48824,12,1198,53ee71ab-1723-4237-816f-bb04994a5cbe,7E:4F:4B:EA:1A:67,7fd1ba06-7f60-4894-8020-8111e25e32b8
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,4713,76060,4919,102436,206,1198,0c8a3cf4-e057-4598-b2ae-de95a288b38c,72:BC:27:90:A0:B2,58eb2fbc-f78e-4040-a50d-ac0033437135
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3879,154404,3685,33428,194,1198,7c08749d-81f1-4c35-a622-13ee6082f753,86:14:78:BF:1C:32,0ebb4a12-566e-4fc9-84f3-3341d79ef573
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3524,28084,5361,1809520,1837,1198,39a63243-b56d-4fdd-a502-6c1603f9c175,82:7F:7E:10:3E:94,72309b75-d6d9-4b5a-ad4c-3241618a952c
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,4267,484744,4097,436050,170,1198,c53b4a06-36b4-41b5-8cd0-bce61d85fa29,36:05:02:C5:17:08,143db016-89a8-4f15-86b8-de11b3f94f6e
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3682,37458,3813,85730,131,1198,16cb74e3-6f66-47f8-a4a6-cce9934f3f5a,46:14:11:59:92:D8,bab0f075-8eee-47b1-a251-5505a47f5e47
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,4670,1060368,18354,17539502,13684,1198,aa40061e-85eb-47a7-a6b7-ce801672132c,62:A1:E4:74:36:B9,929ac554-3313-4571-9f54-0c66b4ac4bb3
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3554,32030,3678,68774,124,1198,ef3f138f-580d-41c0-b030-caafd6daba01,CA:18:FC:4D:E5:CF,23794047-e49c-4024-ab6d-00fca3f69ed8
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3594,43138,3679,143478,85,1198,24930fe0-c5f0-4c9e-9f52-b939c54f64bc,5A:CC:01:10:DE:0F,a9933cf8-9be5-4a44-946a-bfa3a9802ee4
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3553,43910,3572,38528,19,1198,ae68c716-d045-4777-b54a-36249a7efbe3,1E:FE:08:1A:C7:95,8c2adfc5-7f5b-4b46-be43-dd54185305dd
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3654,31870,3536,25384,118,1198,ee83a787-de67-44fb-b4d3-58c53c4bca81,D2:DD:A0:78:C9:66,dcb9fb5f-df89-47cf-9b79-e2ed4742c79a
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,4282,55026,4336,101108,54,1198,ba1bdf7a-132a-486b-99b4-0c0b077649ed,62:1A:F8:AC:DF:A4,65255a5a-3d38-4ad3-bd93-f56989ecbae8
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3665,60290,3741,65146,76,1198,8fd4e6e3-5640-4866-b7c9-7313611ab36b,66:AD:51:AC:29:AE,6ab3035d-bcea-4277-ab97-2f3ff9de6ce5
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3761,33626,4619,990400,858,1198,4fcce361-4d10-4ce1-9bb9-ca1dc994c92b,16:D7:B7:0B:F9:F5,501a0c3d-f055-47a9-b9ea-f66957a6c069
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3509,28912,3753,99386,244,1198,3d91c915-ebfa-4604-9a80-bee1b15479da,AE:E1:18:EC:24:60,2de585f3-9e5e-494e-a69a-ff9313ef02cc
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,4055,547992,3687,93682,368,1198,09b0e992-07fc-48a4-a17e-be64e622ade8,B6:F2:32:BB:5B:4C,630778dd-03ab-4149-9d9f-af0f602fda0a
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3899,333260,3856,91794,43,1198,549d825f-abcf-41f3-8f6d-f980cbfbe6e3,DA:19:06:29:ED:94,6d52aa28-68cf-49b8-a06f-65a62bc74cb3
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3632,38044,3733,40332,101,1198,57591b3d-53d2-4745-8cdb-f68bc57e2586,3A:3B:36:35:6A:72,e8d48023-1a47-44a7-b126-505a022fba9a
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3635,32256,3684,34720,49,1198,612000a1-d262-4e6d-8d0e-7e93df02eba5,A2:C2:64:C1:9B:D6,2174853b-2581-4a2f-b67a-041fbb08c2db
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3623,75376,3506,33410,117,1198,2b6b0516-a523-4776-b2d8-28d0aab5ac69,2A:5D:5A:B9:FC:11,f0b2e8d9-4218-46de-a55b-98509b3d2548
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3820,91730,4093,535618,273,1198,f117ebea-3a69-4c74-a593-2e12fcebd219,3E:57:7E:67:04:59,75595b2d-8e17-4ee3-8b1e-b410933331aa
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3594,42666,3704,52410,110,1198,6257a567-c1df-4c79-8036-d1ff481575d6,16:11:EF:52:BA:54,e453d110-9634-42c5-83c1-e6a722c65b61
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3843,37928,3680,29392,163,1198,1c7cbd35-58a7-4215-a583-1e95971541df,1A:B6:DC:5F:63:12,324e8c93-db5b-4988-94eb-55c82461758f
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3964,129482,3901,55634,63,1198,11cd9cac-13ef-4a73-a22f-724527cdb1b7,02:40:F7:22:4E:08,df643a1a-476a-420f-bada-4874b376695f
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3739,36840,3888,57298,149,1198,35f777b5-ef38-4642-899c-99d97ddc63af,3E:42:29:BA:EF:6F,8de92806-7548-4654-b242-ff98f829e4b4
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3853,80328,3651,63386,202,1198,9bcc61fd-25cb-4861-a6c6-427ce15c7ed4,56:D0:DC:44:90:12,72bbfae9-55aa-4ff4-be76-7de36fcfe6f1
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3718,76434,3749,90780,31,1198,2372d257-c304-4705-8039-6fc64ec1d77f,86:E2:7A:9B:6C:EB,3220c7ee-0745-482a-974c-43c89826e8eb
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3740,117948,3644,95100,96,1198,7a434e5b-d65f-4f76-8967-e9e02097d08e,0E:2D:F9:50:3F:34,63ba261a-2175-4608-b6c5-22357a5bbeba
sampler,2020-02-13 22:12:37,2020-02-13 22:12:52,3621,25090,3741,94934,120,1198,30b339ef-000c-4e60-a49a-6784669d8d92,96:B4:D2:82:BF:40,aeb14d16-7d93-4e13-8590-cb70c829b775
