Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4264,54250,4149,89678,115,1198,1a8d5c8e-60e4-4ce1-b87e-de139da8cfe0,36:CD:94:7E:CB:BB,daf92737-1549-4253-94a8-5cc3161fbae4
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4282,55722,4557,83726,275,1198,4194550e-cfec-40c8-983c-e4ecc60a5b03,9E:EA:DC:7F:7C:9F,248ebee2-b462-4c3a-9e96-73b964493f3e
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4173,49308,4250,93892,77,1198,ffe2ab9e-4f97-416f-ac1a-4daec464e07d,6A:BA:8C:27:11:E6,a45cc818-dd5a-4ef7-b140-c7f444d33f36
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4175,52536,4778,296540,603,1198,f6a1c97f-96cd-4654-b3c5-7138a3da3d1c,0A:A2:B8:DA:14:48,a2cc21a8-1438-4322-851c-0586bdd6b803
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4338,407660,3881,278858,457,1198,3773d981-45a5-4c16-85a1-d8e070bd746c,B6:8E:40:72:52:DE,4c8e5c0d-90b9-4877-b1c3-4f805c149bae
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4102,79498,4280,40036,178,1198,57070de2-7a11-4bf8-acb9-abe5b8f0e203,2A:45:73:5C:5F:50,7fc0b5f8-6af5-4a56-8803-e900975d8285
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4169,41716,3986,42662,183,1198,cdd6005b-3329-429b-b6ae-8b6a0dd03164,0E:B2:C9:5D:8C:B2,3f522a60-7f7b-4f0a-91f3-8a24c29eb4cb
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4266,91690,4041,39184,225,1198,47b476b8-267d-4c20-8952-ef80f0d36b94,12:3D:73:C2:3F:BB,91ee5c8a-af0e-4de6-9be1-ec3e3493dedc
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4172,82520,4044,86672,128,1198,e40e2be0-f5a2-4be0-9b46-333b6bd692d6,1E:50:81:60:CE:9B,149058c6-d201-48e4-8cbd-4dfe0ff6f785
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4344,69160,3888,85740,456,1198,4f888018-54ae-45cb-a7a5-7c9c501aefa1,EA:73:13:89:F8:B5,15005796-1443-41d1-bd9d-13d94ed31f71
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4202,119192,4025,45586,177,1198,7fb25ac0-bdef-4ded-8aa3-55fa4db7492f,A2:93:27:70:DD:3F,548075c4-afa0-4a46-8659-0a53d095c7da
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4466,58878,4026,37026,440,1198,dfe88b3c-5f14-401b-a2e6-fe870aa23412,C2:E5:3B:7F:1F:59,65188a15-674a-46d8-ab7f-2eaf6ecdb880
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4189,62276,3817,36488,372,1198,df042834-1a45-444f-978c-165da3dc1b4c,26:AF:8C:BE:1C:2D,7a8d66b3-d9bd-41b3-b3ef-c945f2258af0
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4389,92084,4265,51068,124,1198,0d5988a7-2d59-4912-8a57-caa68ef955e0,46:3F:72:AE:EA:79,60a9c063-3a4a-42d5-8f37-38a7c252a1d1
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4095,38528,13949,11402116,9854,1198,faf9f7d5-e06b-4d4b-b523-86390d1ceaae,7A:C6:07:D0:6D:C2,a6580d8f-b11a-4bd4-b13e-29e8969776ef
sampler,2020-02-13 08:58:59,2020-02-13 08:59:14,4262,97906,4638,260356,376,1198,505ba94c-0664-4b8a-bb85-fdbf20105626,F2:A7:ED:9A:1A:8B,40fbea7d-a049-4232-9220-f05cbd493f6e
