Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2020-02-13 08:51:00,2020-02-13 08:51:15,4517,59500,4786,93334,269,1198,79173c2f-01b5-4afa-94c3-e8b188dce010,72:CF:0D:9A:3B:43,f868431f-c6cf-43d0-88c5-91ef7b324fdc
sampler,2020-02-13 08:51:00,2020-02-13 08:51:15,4092,76118,4313,186810,221,1198,ea2b90da-9e10-43c7-bb50-7bf4c2b6317d,22:B1:16:31:83:1A,c2241509-b819-4a7e-99d8-49eda3e4e5d7
sampler,2020-02-13 08:51:00,2020-02-13 08:51:15,4526,50012,5111,110124,585,1198,b252d5c4-e90d-4a74-8eb0-d04c924459f8,7A:15:6E:88:67:63,6b92eb0d-a0f6-491a-814d-464ae181dc12
sampler,2020-02-13 08:51:00,2020-02-13 08:51:15,4532,269890,4661,81364,129,1198,e22ca294-a30c-403b-ba67-3199df64833b,C6:B2:D9:B0:7C:FD,ce366944-e3ad-4ebf-b169-6d026d9ee968
sampler,2020-02-13 08:51:00,2020-02-13 08:51:15,4154,53542,4883,278236,729,1198,46adb585-c140-4035-b404-9617925e2357,F2:63:85:9C:AE:88,090fa711-4e9f-4aea-9ac4-6bbd777359d1
sampler,2020-02-13 08:51:00,2020-02-13 08:51:15,4046,55804,4567,49146,521,1198,52f40c3b-11aa-4a88-ae30-bfa175f290ff,8E:BA:35:CA:3E:B3,1a64f49f-5c95-4276-8a49-d05aa73747dd
sampler,2020-02-13 08:51:00,2020-02-13 08:51:15,4023,37950,5011,160692,988,1198,f50e0153-98ef-4331-848a-761f632b755a,AE:8D:0D:5F:2C:7D,94563496-6e29-40bf-bac6-6d78a49050cb
sampler,2020-02-13 08:51:00,2020-02-13 08:51:15,4057,43718,4554,134978,497,1198,dbe1d4d4-9817-42a9-860b-e58fb9614a4d,B6:22:72:02:80:75,e9e40b7a-1cb8-4abc-a144-a35b334886df
sampler,2020-02-13 08:51:00,2020-02-13 08:51:15,4714,273552,5087,122454,373,1198,07a02620-299f-4a79-99ed-62ac5a523ca4,32:69:00:B1:02:68,53e38a64-26bc-42da-98cb-a963955e3064
sampler,2020-02-13 08:51:00,2020-02-13 08:51:15,3910,126368,5049,82566,1139,1198,9f44351b-59dc-4dc3-b326-7f032c194067,32:49:21:76:A6:62,20347475-bc93-4816-b710-87e4742f2cf2
sampler,2020-02-13 08:51:00,2020-02-13 08:51:15,4217,44712,4589,158376,372,1198,fef7d882-788c-4f61-b8d2-662dcac80c4e,42:6D:D6:9C:8F:D4,842fce7d-d308-4e71-b7ac-da2bb3dcdaeb
sampler,2020-02-13 08:51:00,2020-02-13 08:51:15,3859,49380,5028,173142,1169,1198,50a2f6f9-1697-4313-a418-f0a73af9d3bb,7E:30:B3:92:B4:0F,7b0813c6-ee23-4c15-adc0-d30fa99ec083
sampler,2020-02-13 08:51:00,2020-02-13 08:51:15,4967,614102,5850,300966,883,1198,4bac6ea4-1b9d-4e6b-a0c1-d3bb764dd43c,12:0B:25:09:71:9A,44f6980f-1544-4391-8c49-4138e322749b
sampler,2020-02-13 08:51:00,2020-02-13 08:51:15,4104,75534,5686,83220,1582,1198,fb8b1c73-ed7b-41e4-9f0f-44007599aaaf,AE:C0:E7:06:FF:FC,c2c8b776-c428-479e-8bd7-9f4e2bc24d79
sampler,2020-02-13 08:51:00,2020-02-13 08:51:16,3905,53380,4870,63980,965,1198,3ace926f-9c1c-43a7-86eb-bff35ece9175,2E:B2:4B:FD:68:FE,a115c711-b6d6-4674-8acf-55ab361e3840
sampler,2020-02-13 08:51:00,2020-02-13 08:51:16,4122,61090,4381,55252,259,1198,d4ba7c53-de6f-4be9-bde2-88924495530f,F6:9E:71:E7:24:9A,1ff4f501-190a-4f45-94ed-833ded90dd8d
sampler,2020-02-13 08:51:00,2020-02-13 08:51:16,4369,53694,5180,130570,811,1198,618ae56c-f67e-486b-a0a6-29b1b7f4276b,0E:B4:C2:49:CE:07,b2abd781-9d1f-48c8-9535-3101d9d1f633
sampler,2020-02-13 08:51:00,2020-02-13 08:51:16,4150,47300,4247,51945,97,1198,8e0d1076-c32f-4f24-a8b9-6124472daafc,1A:84:EF:88:80:54,6cb25254-e9e0-4124-992c-e91426a78f73
sampler,2020-02-13 08:51:00,2020-02-13 08:51:16,3917,53852,6073,588596,2156,1198,4fc79480-65fa-4333-8bb9-8126984d26d3,36:F9:79:FA:13:1E,7266b4d7-7257-4502-a230-2ede80cbffae
sampler,2020-02-13 08:51:00,2020-02-13 08:51:16,4043,336004,5553,572284,1510,1198,175ad418-9b43-45bf-aafa-4fbd160bb106,A6:AE:99:D5:0C:5D,f89fb2a4-d7fc-406f-87f3-56b6fce755b9
