Start Time,Frequency,entropy_avail_1,MAC Address,Random Time,entropy_avail_2,Elapsed Time
1581492251323,2500.002,"3093
",fe:4b:43:57:43:00,0.027057170867919922,"3090
",1564311842
1581492251350,2500.0,"3095
",8a:59:bb:f7:6c:90,0.00543665885925293,"1236
",1564307768
1581492251348,2500.002,"3090
",02:99:6c:d5:4b:80,0.004947662353515625,"685
",1564308781
1581492251350,2500.014,"3108
",86:d2:9a:54:85:73,0.005761861801147461,"2089
",1564309604
1581492251337,2500.008,"3096
",ce:3c:07:b4:ad:dc,0.02744150161743164,"3084
",1564310402
1581492251338,2500.012,"3102
",d6:20:72:ab:7f:35,0.027978897094726562,"3093
",1564307403
1581492251357,2500.014,"3092
",fe:e2:34:95:f5:8a,0.004974842071533203,"1235
",1564307962
1581492251362,2500.012,"3097
",0a:11:5e:2f:ed:af,0.005227804183959961,"756
",1564311645
1581492251360,2500.002,"3098
",f2:91:26:77:89:50,0.005307197570800781,"2984
",1564310327
1581492251344,2500.008,"3102
",96:2e:e0:bf:86:77,0.02700328826904297,"3078
",1564307158
1581492251345,2500.002,"3104
",62:e4:53:ed:e5:2b,0.027302980422973633,"3089
",1564311232
1581492251345,2500.016,"3113
",fe:ba:8b:ac:7d:44,0.027197837829589844,"3093
",1564306581
1581492251366,2500.0,"3101
",f2:2c:0c:fb:8d:e0,0.004891633987426758,"2881
",1564310070
1581492251367,2500.004,"3107
",6a:ba:bf:31:d0:5c,0.005093574523925781,"596
",1564308368
1581492251364,2500.002,"3105
",ee:3e:ad:83:1d:b6,0.02702188491821289,"3085
",1564311233
1581492251348,2500.012,"3097
",b2:4b:fe:b1:29:6c,0.02649521827697754,"3101
",1564307685
1581492251358,2500.006,"3095
",4e:03:07:1d:8f:e5,0.027181148529052734,"3090
",1564307819
1581492251356,2500.012,"3095
",c6:83:c1:e0:ac:a5,0.02782583236694336,"3091
",1564307704
1581492251358,2500.012,"3079
",42:3e:0c:0d:0e:fa,0.027370214462280273,"3095
",1564306446
1581492251368,2500.008,"3148
",32:3a:1b:66:af:eb,0.027681589126586914,"3093
",1564306952
1581492251365,2500.012,"3096
",26:41:59:38:ea:0a,0.027919530868530273,"3075
",1564307664
1581492251369,2500.012,"3093
",fa:bd:a6:9a:e6:82,0.005433559417724609,"611
",1564307404
1581492251347,2500.014,"3097
",72:60:08:a3:30:a0,0.028920412063598633,"3103
",1564307663
1581492251366,2499.998,"3099
",e2:b2:71:59:16:7c,0.005347490310668945,"1544
",1564308991
1581492251378,2499.998,"3093
",96:b7:80:08:a3:2c,0.02741265296936035,"3075
",1564307924
1581492251401,2499.998,"3086
",26:e2:21:1b:71:73,0.005612373352050781,"46
",1564308117
1581492251359,2499.998,"3092
",e2:fb:46:64:7f:29,0.0276944637298584,"3100
",1564307917
1581492251402,2500.0,"3083
",42:c2:46:2d:06:85,0.005147457122802734,"1366
",1564307769
1581492251379,2500.004,"3100
",7a:61:4a:79:a5:5a,0.0267331600189209,"3087
",1564307569
1581492251346,2500.008,"3148
",ca:8a:d9:a3:4c:52,0.02716517448425293,"3086
",1564306915
1581492251385,2500.01,"3102
",ba:3c:70:0d:f2:12,0.005032539367675781,"464
",1564308673
1581492251390,2500.002,"3082
",76:ea:c0:3a:20:81,0.005026340484619141,"1550
",1564312272
1581492251376,2500.008,"3103
",ce:83:c0:53:8e:9f,0.005334615707397461,"2597
",1564309957
1581492251418,2500.002,"3100
",e2:3d:85:8c:61:28,0.004989147186279297,"2769
",1564310115
1581492251368,2500.012,"3102
",a2:20:51:6e:7a:ef,0.005543708801269531,"2294
",1564308826
1581492251410,2500.014,"3083
",2a:3d:9b:58:fb:13,0.005040407180786133,"2414
",1564309628
1581492251406,2500.01,"3149
",0a:4c:d9:ba:54:e6,0.02906656265258789,"3102
",1564306886
1581492251420,2499.998,"3092
",5a:35:e4:02:67:33,0.005182027816772461,"1632
",1564307985
1581492251387,2500.002,"3105
",72:15:b3:f3:2b:db,0.026815414428710938,"3096
",1564311205
1581492251379,2499.996,"3097
",76:d9:5e:f3:2e:14,0.026936054229736328,"3073
",1564311614
1581492251407,2500.014,"3101
",ba:3c:b8:b0:0a:46,0.005434274673461914,"1585
",1564308896
1581492251426,2500.01,"3098
",12:1e:4e:5b:54:0a,0.028687238693237305,"3088
",1564307647
1581492251394,2500.002,"3082
",0e:bc:a6:41:ca:91,0.026623964309692383,"3096
",1564312272
1581492251415,2500.012,"3148
",32:22:b1:51:60:2f,0.027844667434692383,"3084
",1564306852
1581492251412,2500.014,"3084
",6e:d1:ed:7b:ee:3e,0.02820420265197754,"3100
",1564310913
1581492251395,2500.016,"3087
",36:8b:1f:cc:bb:49,0.005571842193603516,"1532
",1564309357
1581492251383,2500.014,"3105
",fa:d7:ab:cf:76:80,0.02774333953857422,"3088
",1564311206
1581492251427,2500.01,"3103
",0e:d9:a4:5c:43:fd,0.0055370330810546875,"2197
",1564308422
1581492251415,2500.0,"3102
",96:09:73:2a:cf:53,0.02833700180053711,"3099
",1564307402
1581492251436,2500.012,"3110
",c6:af:e5:55:0e:b8,0.02727365493774414,"3092
",1564306601
1581492251367,2500.01,"3097
",02:e8:7e:74:7d:92,0.027333736419677734,"3095
",1564307638
1581492251424,2500.002,"3084
",d6:fc:ae:16:02:09,0.005054950714111328,"2051
",1564309596
1581492251409,2500.012,"3101
",62:6b:4b:7e:ab:ca,0.00576472282409668,"1237
",1564308834
1581492251436,2500.01,"3096
",b2:87:0c:b3:0f:a0,0.027900218963623047,"3095
",1564307647
1581492251416,2500.012,"3095
",86:c3:1a:02:fd:ee,0.02767348289489746,"3077
",1564310443
1581492251367,2500.002,"3101
",5a:22:91:de:47:03,0.0054090023040771484,"3069
",1564308755
1581492251425,2500.004,"3099
",06:70:3e:ee:af:92,0.005173683166503906,"613
",1564307645
1581492251422,2500.01,"3100
",a2:08:93:5f:93:61,0.005381345748901367,"955
",1564308856
1581492251387,2500.002,"3100
",9e:43:8f:6c:b9:7b,0.005124568939208984,"1545
",1564308818
1581492251417,2499.998,"3095
",46:1c:06:58:6c:71,0.00520634651184082,"1675
",1564309039
1581492251419,2500.002,"3103
",da:3e:bf:f2:53:62,0.02768540382385254,"3072
",1564311234
1581492251413,2500.01,"3098
",26:2c:19:ff:45:6d,0.027434110641479492,"3079
",1564307644
1581492251401,2500.012,"3097
",fe:15:94:1b:fe:c8,0.005654335021972656,"3095
",1564310416
1581492251450,2500.014,"3092
",8a:01:58:33:66:a9,0.005207061767578125,"563
",1564307465
1581492251427,2499.998,"3099
",a2:b4:aa:e1:cf:a6,0.027372360229492188,"3092
",1564307635
1581492251399,2500.002,"3099
",12:6f:20:5f:bd:8c,0.005554676055908203,"3081
",1564310110
