Start Time,Frequency,entropy_avail_1,MAC Address,entropy_avail_2,Elapsed Time
1581555716344,2500.002,"3098
",d6:98:32:84:6c:ac,"3098
",1564372440
1581555716347,2500.004,"3094
",8a:8a:af:4b:6b:0d,"3094
",1564372621
1581555716358,2500.012,"3101
",da:b7:10:f7:47:7c,"3102
",1564374903
1581555716363,2500.002,"3091
",0a:17:ef:aa:e6:8e,"3092
",1564372727
1581555716363,2500.002,"3095
",52:7d:a9:94:7d:b5,"3096
",1564372629
1581555716363,2500.01,"3095
",26:0c:0c:7c:2e:ed,"3095
",1564372632
1581555716368,2500.01,"3104
",22:04:68:41:d3:fe,"3105
",1564373341
1581555716377,2500.012,"3100
",f6:8e:86:6f:c4:09,"3100
",1564374903
1581555716381,2500.01,"3083
",ea:17:92:b5:b3:16,"3083
",1564372599
1581555716380,2500.004,"3102
",a6:35:79:5f:d3:24,"3102
",1564374852
