In,Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
2500,1575670172169,2500.012,5e:e2:c6:65:de:e6,90.00B,90.00B,23.349057912826538,17.342407941818237
2500,1575670172182,2500.012,c2:c8:45:05:ed:df,176.00B,90.00B,23.37389612197876,17.367242097854614
2500,1575670172164,2500.01,82:6d:7d:c1:b4:31,90.00B,90.00B,23.702632188796997,17.695979118347168
2500,1575670172165,2500.01,96:bb:0f:2a:2c:c4,90.00B,90.00B,23.705304384231567,17.69857907295227
2500,1575670172165,2500.01,f6:fa:1f:cb:63:4d,90.00B,180.00B,23.71326518058777,17.706599473953247
2500,1575670172173,2500.012,f6:d2:d1:65:c7:89,90.00B,90.00B,23.752391815185547,17.745649337768555
2500,1575670172179,2500.006,5e:f5:8c:64:be:db,90.00B,90.00B,23.766422033309937,17.7597713470459
2500,1575670172173,2500.006,ae:ff:8c:f8:c8:39,90.00B,90.00B,23.77687120437622,17.770211935043335
2500,1575670172177,2500.006,3e:13:42:8d:d3:cd,90.00B,90.00B,23.80310583114624,17.79645276069641
2500,1575670172191,2500.006,da:fa:18:cb:69:91,90.00B,90.00B,23.895823001861572,17.889158010482788
2500,1575670172175,2500.01,16:15:12:b8:79:96,90.00B,176.00B,24.075424671173096,18.068527936935425
2500,1575670172179,2500.01,d6:09:db:2b:d7:b9,180.00B,90.00B,24.077476263046265,18.070741415023804
2500,1575670172174,2500.01,32:27:49:9c:67:56,90.00B,90.00B,24.08542275428772,18.07873558998108
2500,1575670172176,2500.012,c2:fc:af:4b:22:df,90.00B,90.00B,24.090686798095703,18.083909273147583
2500,1575670172165,2500.006,42:dc:78:e2:50:42,90.00B,90.00B,24.200489044189453,18.193851709365845
2500,1575670172176,2500.012,8e:d3:ab:7a:ee:86,90.00B,90.00B,24.18531584739685,18.17822027206421
2500,1575670172190,2500.006,52:3d:71:5c:11:f9,90.00B,90.00B,24.14904475212097,18.142374753952026
2500,1575670172172,2500.006,ba:68:5f:6b:36:b5,90.00B,90.00B,24.206881999969482,18.200073719024658
2500,1575670172172,2500.006,1e:db:bb:dc:03:ff,90.00B,90.00B,24.20387840270996,18.19722819328308
2500,1575670172170,2500.006,4e:c3:e4:41:dd:8d,90.00B,90.00B,24.20590877532959,18.199113368988037
2500,1575670172167,2500.006,f6:37:cf:b5:84:f2,90.00B,90.00B,24.201069355010986,18.19428062438965
2500,1575670172190,2500.002,12:8b:27:85:ff:9b,90.00B,90.00B,24.199731588363647,18.192949056625366
2500,1575670172184,2500.002,a2:31:a2:25:7b:48,90.00B,90.00B,24.200848817825317,18.19420313835144
2500,1575670172180,2500.0,a6:ca:36:1c:0e:ae,90.00B,180.00B,24.217111587524414,18.210453510284424
2500,1575670172184,2500.006,42:34:2d:fc:e7:67,90.00B,90.00B,24.241165161132812,18.23446249961853
2500,1575670172182,2500.0,aa:a8:87:71:67:1d,176.00B,90.00B,24.225377321243286,18.218708276748657
2500,1575670172170,2500.012,ae:a4:32:2f:5a:99,90.00B,90.00B,24.261275053024292,18.254568338394165
2500,1575670172182,2500.0,c6:2c:f7:60:c7:d5,90.00B,90.00B,24.233399391174316,18.22674822807312
2500,1575670172195,2500.012,66:8e:09:86:64:17,176.00B,90.00B,24.217121839523315,18.210374116897583
2500,1575670172186,2500.006,62:af:55:0a:2e:d5,90.00B,90.00B,24.227365493774414,18.22070026397705
2500,1575670172177,2500.004,b6:b5:cd:c0:54:ef,90.00B,90.00B,24.231916427612305,18.225127458572388
2500,1575670172177,2500.004,3a:e1:df:30:3f:a6,90.00B,90.00B,24.23098587989807,18.22397541999817
2500,1575670172180,2500.004,d2:ed:22:5e:53:9e,90.00B,90.00B,24.248525142669678,18.241721630096436
2500,1575670172180,2500.004,1e:51:26:0b:8c:0b,90.00B,90.00B,24.260956287384033,18.25431513786316
2500,1575670172186,2500.006,26:3d:47:76:4f:23,90.00B,90.00B,24.26516079902649,18.258518934249878
2500,1575670172194,2500.012,ae:89:f8:5e:20:ed,90.00B,90.00B,24.253888368606567,18.24718451499939
2500,1575670172181,2500.0,72:73:1b:d2:de:5f,90.00B,90.00B,24.2621111869812,18.2554349899292
2500,1575670172175,2500.004,d6:c4:27:e0:f3:28,90.00B,90.00B,24.265965461730957,18.259320735931396
2500,1575670172184,2500.002,46:26:a1:58:8e:86,176.00B,90.00B,24.27436327934265,18.267722129821777
2500,1575670172194,2500.012,6a:f4:27:9e:d1:d0,90.00B,180.00B,24.28191614151001,18.274841785430908
2500,1575670172165,2500.0,22:48:15:36:e3:02,176.00B,90.00B,24.39805507659912,18.391406059265137
2500,1575670172165,2500.0,6e:1e:b9:36:d7:cb,90.00B,90.00B,24.404235363006592,18.397589206695557
2500,1575670172161,2500.0,0a:e6:5e:72:a0:36,90.00B,90.00B,24.477506399154663,18.470839023590088
2500,1575670172164,2500.0,9a:4c:b3:bf:42:9c,90.00B,90.00B,24.488568782806396,18.481897830963135
2500,1575670172164,2500.0,9a:8c:e3:d0:6c:b4,90.00B,176.00B,24.51566243171692,18.50899887084961
2500,1575670172161,2500.004,2e:e8:0f:a2:5c:a7,90.00B,90.00B,24.56136703491211,18.55463480949402
2500,1575670172161,2500.004,1a:ff:a4:fb:03:6e,90.00B,90.00B,24.554673194885254,18.54799461364746
2500,1575670172161,2500.004,0a:65:5b:a4:5a:73,90.00B,176.00B,24.567484378814697,18.560752868652344
2500,1575670172162,2500.004,aa:93:bd:ae:d3:32,90.00B,90.00B,24.565266370773315,18.558525562286377
2500,1575670172162,2500.004,de:5a:c5:73:58:46,90.00B,180.00B,24.577293157577515,18.57054376602173
2500,1575670172162,2500.004,ae:7e:98:bb:87:4b,90.00B,90.00B,24.588806629180908,18.582094430923462
2500,1575670172143,2500.008,2e:6c:ea:ff:7b:0f,90.00B,90.00B,25.673778533935547,19.66704559326172
2500,1575670172155,2500.0,72:b8:e4:1a:c2:8a,90.00B,90.00B,25.655701398849487,19.649049043655396
2500,1575670172151,2500.0,8e:bd:c1:00:c2:67,90.00B,90.00B,25.675170183181763,19.66839289665222
2500,1575670172146,2500.008,5e:14:e7:01:9a:7a,90.00B,90.00B,25.6635320186615,19.656851053237915
2500,1575670172154,2500.006,f6:9e:4a:78:65:d1,90.00B,90.00B,25.71978211402893,19.712876319885254
2500,1575670172151,2500.002,86:7c:aa:39:ca:25,90.00B,90.00B,25.672568321228027,19.665891647338867
2500,1575670172148,2500.006,c2:c5:be:87:a4:e4,90.00B,90.00B,25.72010374069214,19.713460206985474
2500,1575670172152,2500.002,3a:17:b2:28:8e:03,90.00B,90.00B,25.641857385635376,19.63518452644348
2500,1575670172146,2500.006,a6:69:e1:98:0c:be,90.00B,90.00B,25.70705008506775,19.700393676757812
2500,1575670172147,2500.008,06:85:9f:04:99:98,90.00B,90.00B,25.673683404922485,19.666991233825684
2500,1575670172147,2500.002,5e:26:eb:23:57:a1,90.00B,90.00B,25.679110288619995,19.672375679016113
2500,1575670172147,2500.008,e2:ee:ff:d8:2c:a0,90.00B,176.00B,25.65780472755432,19.651070594787598
2500,1575670172156,2500.002,a6:93:2c:ce:4b:c2,176.00B,90.00B,25.690505266189575,19.683831691741943
2500,1575670172143,2500.002,06:96:96:0d:74:f9,90.00B,90.00B,25.672380447387695,19.665695190429688
2500,1575670172147,2500.008,d6:a7:ac:92:95:c0,90.00B,90.00B,25.68051791191101,19.67380118370056
2500,1575670172158,2500.002,1a:da:3e:3c:21:d1,90.00B,90.00B,25.693151473999023,19.686501502990723
2500,1575670172147,2500.006,9a:6c:80:9c:43:0a,90.00B,90.00B,25.719486474990845,19.71281909942627
2500,1575670172156,2500.0,5a:f6:e1:a8:82:01,90.00B,90.00B,25.70676064491272,19.69993019104004
2500,1575670172154,2500.002,1e:46:b9:63:4a:e9,90.00B,90.00B,25.710607290267944,19.70385718345642
2500,1575670172152,2500.002,e2:1d:28:9c:f3:7a,90.00B,90.00B,25.678831577301025,19.672117948532104
2500,1575670172147,2500.008,92:3f:32:84:64:62,90.00B,90.00B,25.667057991027832,19.660369634628296
2500,1575670172160,2500.002,c6:48:b6:aa:7e:d4,176.00B,90.00B,25.690739154815674,19.684083938598633
2500,1575670172154,2500.006,3a:18:7a:3d:2b:d5,90.00B,90.00B,25.725282430648804,19.718615531921387
2500,1575670172148,2500.008,d6:97:67:ca:c5:86,90.00B,90.00B,25.66700005531311,19.660301446914673
2500,1575670172156,2500.0,36:d5:26:ec:4b:e1,90.00B,90.00B,25.634464263916016,19.62778091430664
2500,1575670172160,2500.002,de:6d:0d:22:1e:74,90.00B,90.00B,25.676859378814697,19.67258620262146
2500,1575670172141,2500.008,2a:ac:b0:cd:e2:e4,90.00B,90.00B,27.329389333724976,21.32271122932434
2500,1575670172139,2500.01,52:de:c7:26:19:05,90.00B,90.00B,27.355098962783813,21.348427295684814
2500,1575670172140,2500.01,9e:9e:81:f9:65:2a,90.00B,90.00B,27.354316234588623,21.347644329071045
2500,1575670172141,2500.01,fe:50:b7:2f:39:be,90.00B,90.00B,27.357624769210815,21.350924491882324
2500,1575670172142,2500.01,4e:a3:28:b7:b8:2b,90.00B,90.00B,27.353336334228516,21.346595287322998
