In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575687095234,2500.002,d2:43:ce:77:fd:0d,180.00B,90.00B,23.008517503738403,17.00183892250061
Both,1575687095198,2500.012,36:6d:a8:28:01:dc,90.00B,90.00B,23.090116262435913,17.08335781097412
Both,1575687095166,2500.01,86:00:0c:6f:23:e9,90.00B,90.00B,23.15638566017151,17.149661779403687
Both,1575687095168,2500.002,6a:9c:22:83:93:e2,90.00B,90.00B,23.168713092803955,17.162586212158203
Both,1575687095218,2500.004,da:41:53:d3:c4:21,90.00B,90.00B,23.147791385650635,17.141022443771362
Both,1575687095265,2500.01,de:68:d4:fd:bc:ec,90.00B,90.00B,23.178143739700317,17.171376943588257
Both,1575687095293,2499.992,d2:f4:64:e6:55:3f,90.00B,90.00B,23.18909192085266,17.18236517906189
Both,1575687095156,2500.004,72:eb:5a:16:ca:76,90.00B,90.00B,23.334823608398438,17.328083276748657
Both,1575687095270,2499.994,ee:b8:87:2c:21:6a,90.00B,90.00B,23.216036319732666,17.209614753723145
Both,1575687095216,2500.012,0e:42:8c:69:1f:89,90.00B,90.00B,23.27680778503418,17.268823385238647
Both,1575687095127,2500.002,5e:ad:f3:80:16:7b,90.00B,90.00B,23.42856001853943,17.421838998794556
Both,1575687095124,2500.004,f2:3c:57:8b:54:2d,90.00B,90.00B,23.444818258285522,17.438099145889282
Both,1575687095245,2500.012,02:88:f8:eb:2a:51,90.00B,90.00B,23.328726768493652,17.322007656097412
Both,1575687095157,2500.004,f6:6c:10:2a:d7:7a,90.00B,90.00B,23.47200584411621,17.46517562866211
Both,1575687095258,2500.008,8a:5a:ec:08:c4:40,90.00B,90.00B,23.381899118423462,17.375065565109253
Both,1575687095254,2500.004,c6:6a:ff:00:09:13,90.00B,180.00B,23.40634799003601,17.39920973777771
Both,1575687095154,2500.004,16:64:88:f4:68:fb,90.00B,176.00B,23.52227544784546,17.515499591827393
Both,1575687095171,2500.008,1e:8d:9e:04:cb:5e,90.00B,90.00B,23.505879878997803,17.49915099143982
Both,1575687095277,2500.002,ba:31:f7:3d:bf:60,176.00B,90.00B,23.407860040664673,17.401087522506714
Both,1575687095194,2500.004,2a:9b:a5:90:67:e8,90.00B,176.00B,23.495235919952393,17.488386392593384
Both,1575687095141,2500.008,b2:ea:5c:f1:57:0a,90.00B,90.00B,23.573376178741455,17.56663203239441
Both,1575687095210,2500.0,c6:39:4c:18:28:38,90.00B,90.00B,23.51828169822693,17.51150107383728
Both,1575687095166,2500.008,2a:5c:cb:ff:7a:55,90.00B,90.00B,23.564318656921387,17.557483673095703
Both,1575687095267,2500.01,b2:78:1f:37:71:bf,90.00B,90.00B,23.46614956855774,17.460969924926758
Both,1575687094843,2500.008,52:e3:74:7c:fc:ae,180.00B,90.00B,23.897262573242188,17.890595197677612
Both,1575687095120,2500.008,2e:0b:cc:30:de:29,90.00B,90.00B,23.62540864944458,17.618364334106445
Both,1575687095255,2500.052,16:38:cc:c7:67:0b,180.00B,90.00B,23.49454617500305,17.4861319065094
Both,1575687095224,2500.01,d6:69:d8:08:16:34,90.00B,90.00B,23.536733150482178,17.530014038085938
Both,1575687095205,2500.008,ae:52:28:ff:83:ae,90.00B,90.00B,23.575918674468994,17.568854570388794
Both,1575687095257,2500.004,86:2f:43:1c:72:a5,90.00B,90.00B,23.531570196151733,17.524327754974365
Both,1575687095140,2500.01,62:2b:2c:80:29:a8,90.00B,90.00B,23.65756845474243,17.650736808776855
Both,1575687095163,2500.012,72:fc:cb:a0:a6:9f,90.00B,90.00B,23.63760495185852,17.630859375
Both,1575687095233,2500.002,06:d5:49:e3:d0:60,180.00B,180.00B,23.57812190055847,17.571508407592773
Both,1575687095258,2500.008,ae:3a:af:da:7c:a2,90.00B,176.00B,23.572402715682983,17.565240144729614
Both,1575687095157,2500.01,4a:53:da:0c:02:b8,90.00B,90.00B,23.673194408416748,17.66667151451111
Both,1575687095258,2500.002,c6:ca:70:8a:f1:f1,90.00B,90.00B,23.580071210861206,17.57337760925293
Both,1575687095141,2500.006,0e:1e:f7:bd:32:00,176.00B,180.00B,23.702848196029663,17.69606375694275
Both,1575687095219,2500.002,d2:d9:36:f6:5e:d9,90.00B,90.00B,23.628308296203613,17.621694564819336
Both,1575687095164,2500.008,36:46:b9:cd:90:f3,90.00B,90.00B,23.687272548675537,17.68602442741394
Both,1575687095160,2500.012,be:f7:91:d3:b3:69,90.00B,90.00B,23.721585273742676,17.714834451675415
Both,1575687095229,2500.01,2a:20:dd:04:7a:b4,90.00B,90.00B,23.662522315979004,17.655789375305176
Both,1575687095189,2500.008,3a:6a:a0:79:64:cc,90.00B,90.00B,23.70215392112732,17.695393562316895
Both,1575687095274,2500.008,b6:ea:7f:ca:ec:9e,90.00B,90.00B,23.630637168884277,17.623894691467285
Both,1575687095282,2500.01,de:3f:8f:66:50:8c,90.00B,90.00B,23.624707221984863,17.617950677871704
Both,1575687095281,2500.01,16:cc:81:a4:59:40,176.00B,90.00B,23.62755560874939,17.62071967124939
Both,1575687095232,2500.008,fa:0b:02:9a:f1:f0,90.00B,90.00B,23.667665719985962,17.660948514938354
Both,1575687095249,2500.002,82:e1:2a:e0:b9:d1,90.00B,90.00B,23.662076950073242,17.655353307724
Both,1575687095232,2500.008,4a:16:84:7f:7c:76,90.00B,90.00B,23.683078289031982,17.676364421844482
Both,1575687095215,2500.002,9a:a6:a6:6e:b8:e8,90.00B,90.00B,23.702030181884766,17.695317268371582
Both,1575687095144,2500.002,5a:b2:28:7b:68:2f,90.00B,90.00B,23.767279386520386,17.76053237915039
Both,1575687095218,2500.006,ae:6b:ee:4c:06:e2,90.00B,90.00B,23.701406955718994,17.69468355178833
Both,1575687095145,2500.002,aa:cd:ff:b2:01:bb,90.00B,90.00B,23.784521341323853,17.777782440185547
Both,1575687095281,2500.01,3a:90:fb:04:7b:64,90.00B,180.00B,23.669209480285645,17.6625018119812
Both,1575687095224,2500.002,d6:44:d7:24:2e:5f,90.00B,176.00B,23.71985101699829,17.71309781074524
Both,1575687095142,2500.01,f6:64:57:a7:e0:4b,90.00B,176.00B,23.821550130844116,17.814833641052246
Both,1575687095132,2500.012,6e:f7:85:2f:e1:6e,90.00B,90.00B,23.849747896194458,17.842928171157837
Both,1575687095140,2500.002,d6:f8:68:a6:e7:e2,90.00B,90.00B,23.861388206481934,17.854601860046387
Both,1575687095146,2500.008,fe:f3:81:52:bb:1c,90.00B,90.00B,23.870784044265747,17.863945960998535
Both,1575687095223,2500.01,9a:13:ca:54:98:b5,90.00B,90.00B,23.71628451347351,17.709566354751587
Both,1575687095134,2500.012,32:04:9a:b1:68:fd,90.00B,90.00B,23.802459239959717,17.795703411102295
Both,1575687095191,2500.02,4a:ac:ac:7c:31:c6,176.00B,90.00B,23.80525302886963,17.79853582382202
Both,1575687095228,2500.002,a6:21:40:42:0a:37,90.00B,90.00B,23.715167760849,17.708422422409058
Both,1575687095231,2500.002,8e:b8:bd:d4:70:80,90.00B,90.00B,23.708245992660522,17.700986862182617
Both,1575687095184,2500.008,c2:e9:d7:18:dd:40,90.00B,90.00B,23.826679468154907,17.8199245929718
Both,1575687095230,2500.01,5a:ab:30:08:0b:6a,90.00B,90.00B,23.751937866210938,17.74511170387268
Both,1575687095174,2500.006,8e:67:8c:c3:e4:9d,90.00B,90.00B,23.808837890625,17.802082777023315
Both,1575687095292,2500.012,6e:01:5c:07:08:39,90.00B,90.00B,23.64404559135437,17.637271881103516
Both,1575687095261,2500.002,6a:0e:fa:b9:cf:ab,90.00B,180.00B,23.72078824043274,17.714025735855103
Both,1575687095286,2500.008,e2:48:d8:89:bb:ac,90.00B,90.00B,23.755548238754272,17.74879026412964
Both,1575687095216,2500.006,aa:0b:e1:93:09:21,90.00B,90.00B,23.802818536758423,17.796085119247437
Both,1575687095166,2500.01,fe:2c:d0:7b:a9:33,90.00B,176.00B,23.88356328010559,17.876817226409912
Both,1575687095225,2500.012,ae:e3:c2:9b:91:6f,90.00B,90.00B,23.8276948928833,17.82073712348938
Both,1575687095267,2500.002,e2:da:cc:bd:82:79,90.00B,90.00B,23.7112033367157,17.7044198513031
Both,1575687095229,2500.01,ae:17:2d:41:88:74,90.00B,90.00B,23.7666072845459,17.759827613830566
Both,1575687095138,2500.002,e6:11:58:85:59:2e,90.00B,90.00B,23.90751004219055,17.90087127685547
