In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575687264457,2500.002,6a:9c:22:83:93:e2,90.00B,90.00B,23.040263891220093,17.033576726913452
Both,1575687264550,2500.012,f6:85:7a:72:4c:2b,90.00B,90.00B,23.036699533462524,17.030129432678223
Both,1575687264400,2500.01,a2:bd:67:43:12:4b,90.00B,90.00B,23.206093311309814,17.19940996170044
Both,1575687264430,2500.01,36:64:12:72:a3:ab,90.00B,90.00B,23.204673528671265,17.197929620742798
Both,1575687264469,2500.01,ee:26:59:9e:5c:b4,90.00B,90.00B,23.17498254776001,17.16791844367981
Both,1575687264475,2500.002,7a:a3:6b:14:fe:f1,90.00B,90.00B,23.188849210739136,17.182047843933105
Both,1575687264469,2500.01,0a:04:1c:be:65:2b,90.00B,90.00B,23.198492765426636,17.191814184188843
Both,1575687264456,2500.01,6a:ba:59:a4:f9:ca,90.00B,90.00B,23.23496413230896,17.22825574874878
Both,1575687264506,2500.012,76:96:37:1b:26:25,90.00B,90.00B,23.185020208358765,17.178085565567017
Both,1575687264442,2500.008,a2:52:21:94:81:a0,90.00B,90.00B,23.25155758857727,17.244871854782104
Both,1575687264432,2500.008,ae:3a:af:da:7c:a2,90.00B,176.00B,23.270838022232056,17.264175415039062
Both,1575687264510,2500.012,ee:fe:8d:e5:3f:85,90.00B,90.00B,23.19102454185486,17.18438696861267
Both,1575687264514,2500.012,9e:0a:09:32:7d:60,90.00B,90.00B,23.196566343307495,17.189903497695923
Both,1575687264522,2500.01,72:91:35:54:f5:20,90.00B,90.00B,23.201908349990845,17.19527268409729
Both,1575687264522,2500.006,8e:67:8c:c3:e4:9d,90.00B,90.00B,23.209248781204224,17.20241928100586
Both,1575687264404,2500.012,66:ad:65:06:87:1c,180.00B,90.00B,23.33707857131958,17.330397844314575
Both,1575687264541,2500.01,1e:a9:cf:ad:b8:c0,180.00B,90.00B,23.197511196136475,17.190839052200317
Both,1575687264424,2500.004,56:ef:b8:2c:3f:e2,90.00B,90.00B,23.35000705718994,17.34319567680359
Both,1575687264566,2499.998,f2:00:6b:8b:e5:c6,90.00B,90.00B,23.21463632583618,17.207892894744873
Both,1575687264402,2500.008,8a:5a:ec:08:c4:40,90.00B,90.00B,23.387107610702515,17.380399703979492
Both,1575687264469,2500.002,ba:31:f7:3d:bf:60,176.00B,90.00B,23.33727717399597,17.330570697784424
Both,1575687264567,2500.01,4a:43:17:11:2f:a1,176.00B,90.00B,23.24102473258972,17.234346866607666
Both,1575687264394,2500.004,ca:9f:c1:48:09:53,90.00B,90.00B,23.44157600402832,17.434927940368652
Both,1575687264505,2500.01,2a:51:32:7f:a5:5d,90.00B,90.00B,23.33367085456848,17.32702398300171
Both,1575687264482,2500.01,4a:43:09:35:79:7e,90.00B,90.00B,23.364962577819824,17.358314275741577
Both,1575687264433,2500.008,12:de:23:0c:62:15,90.00B,90.00B,23.41677737236023,17.410189628601074
Both,1575687264522,2500.01,66:27:9c:39:cb:d7,90.00B,90.00B,23.342528104782104,17.33583092689514
Both,1575687264412,2500.008,5e:7d:29:be:6b:5b,90.00B,90.00B,23.47420048713684,17.467501401901245
Both,1575687264418,2500.0,fa:c4:6f:7b:6b:6b,90.00B,90.00B,23.478735208511353,17.472050189971924
Both,1575687264476,2500.008,f2:27:63:ff:c4:73,180.00B,90.00B,23.427729845046997,17.421031951904297
Both,1575687264436,2500.01,42:3b:8e:2c:8f:9e,90.00B,90.00B,23.468531131744385,17.461755752563477
Both,1575687264511,2500.002,f6:9a:83:fa:d1:05,90.00B,90.00B,23.411954402923584,17.40533208847046
Both,1575687264502,2500.012,f6:52:72:c5:d5:7b,90.00B,90.00B,23.432501316070557,17.427452087402344
Both,1575687264458,2499.998,d2:18:9d:d4:64:0f,180.00B,176.00B,23.48589324951172,17.47902822494507
Both,1575687264404,2500.012,aa:38:dd:a6:cc:d4,90.00B,90.00B,23.56117272377014,17.554016828536987
Both,1575687264387,2500.008,2a:5c:cb:ff:7a:55,90.00B,90.00B,23.58907675743103,17.582396030426025
Both,1575687264559,2500.01,36:4b:2f:16:04:95,90.00B,90.00B,23.431925773620605,17.425177097320557
Both,1575687264434,2500.004,ca:f2:55:34:82:50,90.00B,90.00B,23.56478452682495,17.558123111724854
Both,1575687264425,2500.014,b2:e4:c5:bd:de:87,90.00B,90.00B,23.592051029205322,17.585407495498657
Both,1575687264477,2500.012,6e:01:5c:07:08:39,90.00B,90.00B,23.539402961730957,17.532860040664673
Both,1575687264512,2500.002,ca:f7:e3:fa:ca:5a,90.00B,90.00B,23.51457166671753,17.50787615776062
Both,1575687264412,2500.012,02:88:f8:eb:2a:51,90.00B,90.00B,23.62334156036377,17.61601710319519
