Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575684150627,2499.998,5a:bb:bb:ed:78:d0,176.00B,90.00B,4.308986663818359e-06,3.976678848266602e-06,-3.3230781555175753e-07
1575684150626,2499.998,e6:d9:8c:cc:0d:c9,90.00B,90.00B,4.670619964599609e-06,4.810237884521484e-06,1.3961791992187487e-07
1575684150680,2499.998,de:2c:3e:be:20:4c,90.00B,90.00B,4.201316833496094e-06,3.982973098754883e-06,-2.1834373474121114e-07
1575684150608,2500.008,2a:b9:8f:56:a0:db,90.00B,176.00B,5.214118957519531e-06,4.995298385620117e-06,-2.18820571899414e-07
1575684150598,2500.002,2a:79:3e:30:b4:f0,90.00B,90.00B,5.167150497436523e-06,4.869842529296875e-06,-2.973079681396484e-07
1575684150641,2499.998,ae:9e:c8:5a:b6:dc,180.00B,90.00B,4.6167373657226564e-06,4.680585861206054e-06,6.384849548339786e-08
1575684150588,2500.0,52:f0:62:f4:3f:7d,90.00B,90.00B,5.512666702270508e-06,4.99873161315918e-06,-5.139350891113281e-07
1575684150609,2499.998,82:2b:4c:85:34:78,90.00B,90.00B,4.665613174438476e-06,4.8095226287841795e-06,1.4390945434570316e-07
1575684150596,2499.998,42:08:ef:9e:bf:47,176.00B,90.00B,4.097414016723633e-06,3.835725784301758e-06,-2.61688232421875e-07
1575684150598,2500.0,8a:bb:7e:8a:48:26,90.00B,90.00B,5.42755126953125e-06,4.760408401489258e-06,-6.671428680419925e-07
1575684150612,2500.008,86:f9:4a:8b:03:24,90.00B,90.00B,5.222320556640625e-06,4.921483993530273e-06,-3.008365631103518e-07
1575684150600,2500.008,e2:4d:24:21:4b:67,90.00B,90.00B,5.291461944580078e-06,4.911470413208008e-06,-3.7999153137206986e-07
1575684150666,2499.998,7e:d3:22:0e:7d:ff,176.00B,90.00B,4.615354537963867e-06,4.865598678588868e-06,2.502441406250004e-07
1575684150591,2500.006,2a:9d:01:b5:bb:c9,90.00B,90.00B,5.330038070678711e-06,4.604816436767578e-06,-7.252216339111325e-07
1575684150624,2499.998,c2:dc:10:ec:5e:67,90.00B,90.00B,4.674673080444336e-06,4.816675186157227e-06,1.4200210571289087e-07
1575684150613,2500.006,ce:36:10:77:06:38,90.00B,90.00B,5.318307876586914e-06,4.8161029815673825e-06,-5.022048950195314e-07
1575684150651,2499.998,96:ad:20:71:72:03,90.00B,90.00B,4.586362838745117e-06,4.7816753387451175e-06,1.953125000000005e-07
1575684150637,2500.008,32:91:50:36:f8:56,90.00B,90.00B,5.2618980407714844e-06,4.928922653198242e-06,-3.3297538757324204e-07
1575684150606,2500.012,92:6f:96:9b:25:d2,90.00B,90.00B,5.410051345825196e-06,5.031919479370117e-06,-3.781318664550786e-07
1575684150600,2499.998,02:5e:a8:7a:3c:7a,90.00B,90.00B,5.484771728515625e-06,5.407428741455078e-06,-7.734298706054704e-08
