Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575687095236,2500.002,ee:f7:1c:6c:d8:6e,176.00B,90.00B,4.548311233520508e-06,4.573535919189453e-06,2.522468566894497e-08
1575687095245,2500.008,52:f9:93:41:5f:a9,176.00B,90.00B,4.902935028076172e-06,5.126762390136719e-06,2.23827362060547e-07
1575687095238,2500.002,f6:91:34:7f:f1:f8,90.00B,90.00B,5.096912384033203e-06,4.711771011352539e-06,-3.851413726806643e-07
1575687095238,2500.002,9e:2a:1f:3b:ae:ea,176.00B,90.00B,5.089187622070313e-06,4.859304428100586e-06,-2.2988319396972697e-07
1575687095285,2500.004,4e:f6:6b:2e:de:bc,90.00B,90.00B,4.501152038574219e-06,4.825639724731446e-06,3.244876861572267e-07
1575687095342,2500.002,e2:60:b4:22:a3:a9,90.00B,90.00B,4.1772842407226566e-06,3.967857360839843e-06,-2.0942687988281315e-07
1575687095288,2500.01,e6:da:06:de:4a:0b,90.00B,90.00B,4.933214187622071e-06,4.815149307250977e-06,-1.1806488037109388e-07
1575687095262,2500.002,ea:63:81:ab:31:f5,90.00B,90.00B,5.329322814941406e-06,5.235815048217773e-06,-9.350776672363257e-08
1575687095254,2499.996,3a:39:95:1b:97:b4,90.00B,90.00B,5.141496658325196e-06,4.921627044677735e-06,-2.1986961364746097e-07
1575687095344,2500.002,02:59:4e:90:5a:95,90.00B,90.00B,4.231929779052734e-06,3.9452552795410154e-06,-2.8667449951171894e-07
1575687095244,2500.002,fe:d2:bb:66:f0:6b,90.00B,90.00B,4.999303817749023e-06,4.996299743652344e-06,-3.0040740966794625e-09
1575687095341,2500.002,ba:d9:d4:5f:08:72,90.00B,90.00B,4.558706283569336e-06,3.931808471679687e-06,-6.268978118896485e-07
1575687095236,2500.006,72:47:ef:e6:7a:75,90.00B,90.00B,4.740667343139649e-06,4.921340942382813e-06,1.8067359924316396e-07
1575687095345,2500.012,fa:46:ff:01:70:42,90.00B,180.00B,4.481410980224609e-06,3.8990020751953125e-06,-5.824089050292965e-07
1575687095275,2500.002,c2:b7:a6:4d:59:7f,90.00B,90.00B,5.1214694976806645e-06,4.924297332763672e-06,-1.971721649169926e-07
