Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575686162634,2500.014,02:a9:b2:84:f0:bf,90.00B,90.00B,4.2537689208984374e-06,4.323863983154297e-06,7.009506225585949e-08
1575686162648,2500.0,fa:04:fb:8a:e9:8c,90.00B,90.00B,4.6059608459472655e-06,4.541826248168946e-06,-6.413459777831992e-08
1575686162607,2500.002,e6:af:17:19:f0:1e,90.00B,90.00B,4.386234283447266e-06,4.332876205444336e-06,-5.3358078002929846e-08
1575686162632,2500.01,9a:5c:22:ad:84:aa,90.00B,90.00B,4.302549362182617e-06,4.421567916870117e-06,1.1901855468750044e-07
1575686162630,2500.008,52:72:d4:2e:a2:86,90.00B,90.00B,4.581546783447266e-06,4.607725143432617e-06,2.6178359985351538e-08
1575686162631,2499.998,c6:11:3c:ae:4d:9e,90.00B,90.00B,4.6990394592285154e-06,4.775381088256836e-06,7.634162902832027e-08
1575686162665,2500.01,6e:5f:04:99:20:bb,90.00B,90.00B,4.324913024902344e-06,4.298019409179688e-06,-2.6893615722656253e-08
1575686162621,2500.002,0e:24:a5:13:d4:dc,90.00B,90.00B,4.699897766113282e-06,4.836320877075195e-06,1.3642311096191375e-07
1575686162640,2500.0,12:24:5f:ba:5b:a1,90.00B,90.00B,4.5704841613769535e-06,4.342269897460938e-06,-2.282142639160157e-07
1575686162606,2500.002,9e:26:21:a8:81:e3,90.00B,90.00B,4.343557357788086e-06,4.3005943298339844e-06,-4.2963027954101384e-08
1575686162641,2500.0,4a:73:d3:8b:97:1d,90.00B,90.00B,4.910326004028321e-06,4.6072959899902345e-06,-3.0303001403808613e-07
1575686162628,2499.996,6a:7e:fa:54:77:80,176.00B,90.00B,5.09185791015625e-06,4.920816421508789e-06,-1.7104148864746126e-07
1575686162703,2500.0,82:f2:44:91:cf:bd,90.00B,90.00B,4.563188552856445e-06,4.303121566772461e-06,-2.600669860839839e-07
1575686162593,2500.01,a2:86:fd:2f:8f:68,176.00B,90.00B,5.8867931365966794e-06,5.68389892578125e-06,-2.0289421081542947e-07
1575686162626,2500.014,ba:dc:b5:92:9b:db,90.00B,90.00B,5.709600448608399e-06,5.63969612121582e-06,-6.990432739257868e-08
1575686162591,2500.012,3e:66:36:1a:a5:c1,90.00B,90.00B,5.7924270629882815e-06,5.837059020996093e-06,4.463195800781182e-08
1575686162599,2500.01,f6:67:18:8b:f5:86,90.00B,90.00B,5.79824447631836e-06,5.761289596557617e-06,-3.695487976074246e-08
1575686162620,2500.008,e2:48:24:a3:25:7b,90.00B,90.00B,5.452108383178711e-06,5.550765991210938e-06,9.865760803222703e-08
