Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,First Iteration Latency,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575671070258,2300.016,da:e9:b9:e7:ca:95,90.00B,90.00B,5.634149789810181,6.243419647216797e-06,6.818580627441406e-06,5.751609802246089e-07
1575671070256,2300.014,26:44:a6:e5:d5:15,90.00B,90.00B,5.627577781677246,5.9780597686767575e-06,6.504583358764648e-06,5.265235900878909e-07
1575671070256,2300.014,8e:f0:b5:94:08:0d,90.00B,90.00B,5.630375146865845,6.141996383666992e-06,6.234931945800781e-06,9.293556213378931e-08
1575671070257,2300.016,9a:ca:73:a6:4e:be,90.00B,90.00B,5.606359958648682,5.838632583618164e-06,7.267332077026367e-06,1.4286994934082031e-06
1575671070380,2300.016,56:21:fb:ff:45:f1,90.00B,90.00B,5.626657247543335,5.890274047851563e-06,6.632900238037109e-06,7.426261901855466e-07
1575671070391,2300.016,7e:7d:bc:4e:57:94,90.00B,90.00B,5.628556489944458,6.854057312011719e-06,6.697845458984375e-06,-1.562118530273439e-07
1575671070380,2300.016,be:64:bf:f7:f7:27,90.00B,90.00B,5.5970683097839355,6.025552749633789e-06,7.301473617553711e-06,1.2759208679199222e-06
1575671070383,2300.016,46:e1:fc:bd:4a:0f,90.00B,90.00B,5.60623025894165,6.2258243560791015e-06,7.307767868041992e-06,1.0819435119628907e-06
1575671070375,2300.014,3a:24:98:69:aa:ce,90.00B,90.00B,5.630181789398193,6.206083297729492e-06,6.694126129150391e-06,4.880428314208986e-07
1575671070380,2300.016,5a:1b:49:03:48:95,90.00B,90.00B,5.600059747695923,6.1119556427001955e-06,7.2129249572753905e-06,1.100969314575195e-06
1575671070382,2300.016,82:fd:2b:50:2e:31,90.00B,90.00B,5.614307641983032,6.070470809936524e-06,7.203912734985351e-06,1.1334419250488276e-06
1575671070381,2300.014,fe:0f:fa:a2:4d:2f,90.00B,90.00B,5.63992977142334,6.439542770385742e-06,7.088470458984375e-06,6.489276885986332e-07
1575671070390,2300.016,be:03:b6:1d:2a:40,90.00B,90.00B,5.611233234405518,6.031036376953125e-06,7.1079730987548825e-06,1.0769367218017577e-06
1575671070257,2300.014,4e:21:a1:b7:1e:47,90.00B,90.00B,5.612760066986084,6.364536285400391e-06,8.271551132202148e-06,1.907014846801757e-06
