Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Initial Iteration Latency,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575667171970,2500.008,a6:78:e6:a5:3f:d7,90.00B,180.00B,5.445492267608643,5.3408145904541015e-06,4.807758331298828e-06,-5.330562591552737e-07
1575667171966,2500.012,72:ca:16:93:7c:e4,90.00B,90.00B,5.433872699737549,4.907608032226562e-06,5.293560028076172e-06,3.8595199584960943e-07
1575667171955,2500.01,d6:9e:ab:8a:b5:7c,90.00B,90.00B,5.439929008483887,5.0593852996826174e-06,5.562305450439453e-06,5.029201507568353e-07
1575667172001,2500.0,f6:5e:39:92:90:0b,90.00B,90.00B,5.472002267837524,5.100202560424805e-06,4.687547683715821e-06,-4.1265487670898403e-07
1575667171966,2500.006,82:9c:88:b6:05:95,176.00B,90.00B,5.4309844970703125,6.757068634033203e-06,4.712295532226563e-06,-2.0447731018066405e-06
1575667171992,2500.01,ea:19:09:1b:da:0f,90.00B,90.00B,5.447526454925537,5.112218856811523e-06,7.698869705200196e-06,2.5866508483886727e-06
1575667171979,2500.012,42:59:03:63:6f:b4,90.00B,90.00B,5.432877540588379,5.364799499511719e-06,5.720281600952148e-06,3.554821014404296e-07
1575667171969,2500.0,1a:8e:15:5b:af:db,90.00B,90.00B,5.469865560531616,5.212259292602539e-06,5.718040466308594e-06,5.05781173706055e-07
1575667171992,2500.01,b6:62:1c:aa:64:57,90.00B,176.00B,5.444063901901245,5.21697998046875e-06,5.428504943847656e-06,2.1152496337890625e-07
1575667171967,2500.012,9e:53:dc:38:5f:ff,176.00B,90.00B,5.444091320037842,5.299758911132812e-06,5.149126052856446e-06,-1.506328582763668e-07
1575667171987,2500.006,0a:4c:5d:e5:f3:1a,90.00B,90.00B,5.453548192977905,5.279970169067383e-06,5.499505996704102e-06,2.195358276367187e-07
1575667171977,2500.002,9e:f8:60:a6:74:90,90.00B,90.00B,5.437921047210693,4.6525001525878905e-06,5.380153656005859e-06,7.276535034179687e-07
1575667172017,2500.006,c2:cc:32:b4:d2:f7,90.00B,176.00B,5.452735662460327,5.324602127075195e-06,5.546140670776367e-06,2.2153854370117225e-07
1575667171952,2500.002,aa:59:eb:d4:53:cb,180.00B,90.00B,5.468899250030518,6.280136108398438e-06,4.789113998413086e-06,-1.491022109985352e-06
1575667171997,2500.006,32:ed:5a:a8:44:63,90.00B,90.00B,5.457532167434692,5.169534683227539e-06,5.259943008422852e-06,9.040832519531271e-08
1575667171965,2500.006,5e:d9:2a:d6:87:4e,90.00B,180.00B,5.466134786605835,5.264854431152344e-06,5.384349822998047e-06,1.194953918457033e-07
1575667171970,2500.004,5a:d6:12:8a:81:83,90.00B,90.00B,5.462782859802246,5.563879013061524e-06,7.174348831176758e-06,1.6104698181152342e-06
1575667171977,2500.012,9a:5f:94:38:a5:41,90.00B,90.00B,5.43245792388916,4.935836791992188e-06,5.328607559204101e-06,3.927707672119135e-07
1575667172017,2500.006,d6:7d:a8:da:f7:06,90.00B,90.00B,5.456666707992554,5.341291427612304e-06,5.4975509643554685e-06,1.562595367431641e-07
1575667171979,2500.008,4e:e1:77:93:73:23,176.00B,90.00B,5.457324504852295,5.401134490966797e-06,4.805707931518555e-06,-5.954265594482419e-07
1575667171962,2500.002,36:61:82:e7:ee:16,90.00B,90.00B,5.443236589431763,4.801845550537109e-06,4.617643356323242e-06,-1.8420219421386734e-07
