In,Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Rdseed Enabled,Total Time,Exec Time
Both,1575692141636,7.23,2019-12-07 04:15:39,2300.0,eth1,169.254.8.130,17:3b:7e:e7:a9:54,0,22.340996742248535,16.3388831615448
Both,1575692142208,6.88,2019-12-07 04:15:40,2300.0,eth1,169.254.8.130,17:4f:ee:95:e1:33,0,22.31058931350708,16.308340549468994
Both,1575692141933,7.58,2019-12-07 04:15:40,2299.999,eth2,169.254.8.1,8f:d3:5b:d2:ea:27,0,22.85889959335327,16.857020616531372
Both,1575692141729,7.47,2019-12-07 04:15:40,2300.0,lo,127.0.0.1,f5:43:e3:24:f9:6e,0,23.197418928146362,17.195474863052368
Both,1575692141722,7.39,2019-12-07 04:15:40,2300.0,eth2,169.254.8.1,2b:14:0e:54:a7:c3,0,24.13426637649536,18.132320165634155
Both,1575692142849,7.28,2019-12-07 04:15:40,2300.0,eth2,169.254.8.1,13:00:44:4e:87:df,0,23.209022521972656,17.206599712371826
Both,1575692141803,7.38,2019-12-07 04:15:40,2300.0,eth2,169.254.8.1,c5:92:44:68:13:ff,0,24.306601762771606,18.304333448410034
Both,1575692141803,7.40,2019-12-07 04:15:40,2300.0,eth1,169.254.8.130,af:9f:9c:61:3d:ca,0,24.72144389152527,18.719627857208252
Both,1575692142381,7.10,2019-12-07 04:15:40,2300.0,eth2,169.254.8.1,67:9c:84:92:4f:bf,0,24.71020483970642,18.708311796188354
Both,1575692142037,7.79,2019-12-07 04:15:40,2300.0,eth0,192.168.1.1,53:85:5a:6c:37:68,0,25.20080327987671,19.197778940200806
Both,1575692142153,7.42,2019-12-07 04:15:40,2300.0,eth2,169.254.8.1,6b:39:ec:af:6b:52,0,25.57746458053589,19.574445724487305
Both,1575692142113,7.05,2019-12-07 04:15:40,2300.0,lo,127.0.0.1,75:c2:54:62:7c:16,0,25.720362663269043,19.71776533126831
Both,1575692142279,7.02,2019-12-07 04:15:41,2499.999,eth2,169.254.8.1,2f:c5:44:71:1a:ce,0,25.68908953666687,19.68664526939392
