In,Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Rdseed Enabled,Total Time,Exec Time
Both,1575693715226,242.47,2019-12-07 04:37:58,2300.0,lo,127.0.0.1,a5:3e:c8:32:dc:35,0,7.881044864654541,1.8798573017120361
Both,1575693715282,242.73,2019-12-07 04:37:58,2300.0,eth0,192.168.1.1,d3:a6:43:29:36:1c,0,8.017369031906128,2.015972852706909
Both,1575693717445,7.34,2019-12-07 04:41:55,2299.999,eth0,192.168.1.1,11:41:1f:5d:e2:f6,0,7.637096881866455,1.635230302810669
Both,1575693717618,7.15,2019-12-07 04:41:55,2300.0,eth2,169.254.8.1,87:74:23:32:bd:60,0,7.856539249420166,1.8546409606933594
Both,1575693717508,7.27,2019-12-07 04:41:55,2299.999,eth2,169.254.8.1,6b:37:3e:f5:40:0c,0,8.382699728012085,2.380952835083008
Both,1575693717912,7.52,2019-12-07 04:41:56,2499.999,eth0,192.168.1.1,eb:1f:38:cc:f7:65,0,7.963218450546265,1.9611456394195557
Both,1575693717755,6.98,2019-12-07 04:41:56,2299.999,eth2,169.254.8.1,e1:f7:6c:7d:a2:a3,0,8.210057735443115,2.208275318145752
Both,1575693717939,7.52,2019-12-07 04:41:56,2299.999,eth0,192.168.1.1,63:50:40:b4:16:07,0,8.082568645477295,2.0807883739471436
Both,1575693718253,7.74,2019-12-07 04:41:56,2299.999,eth1,169.254.8.130,33:19:ab:3e:00:97,0,7.812523126602173,1.8106858730316162
Both,1575693718366,7.20,2019-12-07 04:41:56,2300.0,lo,127.0.0.1,c1:f1:30:8c:93:00,0,7.74195122718811,1.739945650100708
Both,1575693717920,7.60,2019-12-07 04:41:56,2499.999,eth0,192.168.1.1,e9:c7:ed:a4:a6:2f,0,8.197383642196655,2.195138454437256
Both,1575693717914,7.53,2019-12-07 04:41:56,2299.999,eth2,169.254.8.1,7f:0e:f5:fd:c3:f1,0,8.246117353439331,2.244074583053589
Both,1575693717986,7.94,2019-12-07 04:41:55,2299.999,eth2,169.254.8.1,4b:a4:c0:44:19:68,0,8.371635675430298,2.3698339462280273
Both,1575693718109,7.10,2019-12-07 04:41:56,2499.999,eth2,169.254.8.1,c9:e1:a7:fb:a7:eb,0,8.268457174301147,2.265756607055664
Both,1575693718542,7.03,2019-12-07 04:41:57,2300.0,lo,127.0.0.1,77:54:d5:a1:d0:f4,0,7.867043733596802,1.8653664588928223
Both,1575693718318,7.71,2019-12-07 04:41:56,2300.0,eth1,169.254.8.130,51:61:89:60:43:0d,0,8.090217590332031,2.088327646255493
