In,Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Rdseed Enabled,Total Time,Exec Time
Both,1575694732095,204.29,2019-12-07 04:55:33,2300.0,eth0,192.168.1.1,45:f2:29:59:71:c0,0,8.583395004272461,2.5809173583984375
Both,1575694732098,205.32,2019-12-07 04:55:32,2300.0,lo,127.0.0.1,23:64:98:34:e0:3b,0,8.76747751235962,2.7658331394195557
Both,1575694734363,7.31,2019-12-07 04:58:52,2300.0,lo,127.0.0.1,0d:44:68:bd:00:4d,0,8.347644805908203,2.345533847808838
Both,1575694734750,7.41,2019-12-07 04:58:53,2300.0,eth1,169.254.8.130,0d:93:15:9c:3a:ac,0,8.245940685272217,2.2434356212615967
Both,1575694734844,7.36,2019-12-07 04:58:53,2300.0,eth2,169.254.8.1,6b:1d:aa:56:f5:64,0,8.415862560272217,2.4133691787719727
Both,1575694735497,7.85,2019-12-07 04:58:53,2300.0,eth0,192.168.1.1,f3:07:2d:d8:60:80,0,8.886191606521606,2.884303569793701
Both,1575694735563,8.27,2019-12-07 04:58:52,2300.0,eth2,169.254.8.1,87:37:e3:1c:6b:7c,0,8.857041358947754,2.854978084564209
Both,1575694735863,7.58,2019-12-07 04:58:53,2300.0,lo,127.0.0.1,f1:35:0c:48:00:04,0,8.733572483062744,2.731318950653076
Both,1575694735759,7.82,2019-12-07 04:58:53,2300.0,eth0,192.168.1.1,cf:15:54:85:6e:45,0,8.94034457206726,2.93734073638916
Both,1575694735899,7.70,2019-12-07 04:58:54,2300.0,eth0,192.168.1.1,5f:2b:ff:62:1b:d9,0,9.017610311508179,3.0147500038146973
Both,1575694736361,8.11,2019-12-07 04:58:54,2299.999,eth2,169.254.8.1,1d:c6:68:4a:00:91,0,8.831997156143188,2.8294057846069336
Both,1575694736337,7.30,2019-12-07 04:58:54,2300.0,lo,127.0.0.1,f5:62:20:19:53:08,0,8.907575368881226,2.9042484760284424
Both,1575694736354,8.13,2019-12-07 04:58:54,2299.999,eth2,169.254.8.1,97:52:96:a0:4a:43,0,9.002082586288452,2.9993412494659424
Both,1575694736899,7.29,2019-12-07 04:58:54,2299.999,lo,127.0.0.1,63:16:82:fd:d6:10,0,8.72764778137207,2.721071481704712
Both,1575694736594,8.82,2019-12-07 04:58:53,2300.0,eth0,192.168.1.1,eb:5d:d2:0f:78:3a,0,9.871765851974487,3.858694553375244
Both,1575694736596,8.78,2019-12-07 04:58:53,2300.0,eth2,169.254.8.1,5d:35:94:29:32:19,0,9.864393711090088,3.8581879138946533
Both,1575694736949,7.86,2019-12-07 04:58:54,2300.0,eth2,169.254.8.1,7d:e9:dc:80:80:f5,0,9.714612007141113,3.7123122215270996
Both,1575694732019,205.70,2019-12-07 04:55:31,2000.133,eth2,169.254.8.1,9b:4e:a4:2e:06:b4,1,17.109652996063232,11.107733488082886
