Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-08 23:37:38,2019-12-08 23:37:54,4067,100876,4556,38126,489,1198,7b76fef1-3144-44b3-b56f-3fff09f89c3b,DE:48:CA:0E:81:7B,79f15184-19f5-424b-8970-ab43bd36fd50
sampler,2019-12-08 23:37:38,2019-12-08 23:37:54,4109,43172,5923,674036,1814,1198,41b51c55-5786-45a9-a7ec-8bd86501095f,AA:12:4D:D7:BA:17,6f42af6c-271c-43bb-83bc-de0aa056f670
sampler,2019-12-08 23:37:38,2019-12-08 23:37:54,4453,249554,4952,63642,499,1198,7e5e8241-487b-4f71-8396-9d3cdb3fb31d,DE:C9:31:B5:3D:80,43732b54-55f7-4137-8dee-14273767011b
sampler,2019-12-08 23:37:38,2019-12-08 23:37:54,4219,172940,4573,79914,354,1198,d450afed-01aa-485e-a312-d3f9baa7a695,2A:42:30:2C:48:F7,8cfd3363-1dea-4400-b27f-cf89c35f0e63
sampler,2019-12-08 23:37:38,2019-12-08 23:37:54,4121,79962,5512,101892,1391,1198,a1446a50-cdc1-4961-b7b1-11264d7f8de7,42:EC:1D:DD:1A:F8,903a5d10-d3ed-4883-990f-9900254bcba9
sampler,2019-12-08 23:37:38,2019-12-08 23:37:54,4237,54416,4506,78656,269,1198,8215e806-8465-4e6d-be58-41dded968b8f,AA:31:14:19:D9:7E,bb420465-681f-4956-9eee-baa821b04092
sampler,2019-12-08 23:37:38,2019-12-08 23:37:54,4405,259658,6264,129106,1859,1198,dd0b5521-4eec-4b69-b14d-1fef26945c8e,06:B6:E7:07:28:A1,02a90b0b-d954-49e7-8f42-17abdc47730a
sampler,2019-12-08 23:37:38,2019-12-08 23:37:54,3981,112608,5283,104606,1302,1198,d88b43ea-26d6-40be-8b15-0dfa8bc796a3,B2:B6:D6:AB:5B:57,ef8ba959-5fc4-4934-a19c-4e3d49bc5aae
sampler,2019-12-08 23:37:38,2019-12-08 23:37:54,3864,52200,5563,80180,1699,1198,46fabcd4-c3bc-422f-bf9e-6a19472d9588,7A:F2:82:4B:4B:DC,9cb384ca-a3b3-4d43-8a87-d8888b2de473
sampler,2019-12-08 23:37:38,2019-12-08 23:37:54,3893,78950,5284,286276,1391,1198,176b1c0a-2710-4b98-a5da-10d6fca71f60,72:2A:69:01:8C:43,f6dd88f6-9d46-44dc-8714-26ec65ee0abc
