Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-10 02:55:07,2019-12-10 02:55:22,4135,80730,6632,1657148,2497,1198,4ee09ef2-2653-4225-9a83-80c3c1653327,6A:49:ED:23:DD:D3,806742e8-4459-4823-809c-8c20987da1bb
sampler,2019-12-10 02:55:07,2019-12-10 02:55:22,4551,91236,6118,163320,1567,1198,bf266a8e-35c5-47d9-b2e9-fc0cdde562e2,6E:2F:A2:7E:AF:B3,bb810a3e-3ad3-40d0-b9a9-925b76481e1d
sampler,2019-12-10 02:55:07,2019-12-10 02:55:22,4462,89224,6169,177662,1707,1198,aa4e0157-18f7-4789-b909-3ce39ddf3826,46:F5:04:B2:B7:95,0687ef0b-8b3c-432e-bee2-764dbbdc7701
sampler,2019-12-10 02:55:07,2019-12-10 02:55:22,4331,65564,5986,63600,1655,1198,02f9c23c-9b40-46a2-85e8-090751b432f1,BA:2E:7A:E6:FB:EC,32bac7b4-4ab3-4afd-bd19-d71e41d63ae3
sampler,2019-12-10 02:55:07,2019-12-10 02:55:22,4443,80808,4314,46340,129,1198,d124a393-f0b4-4b53-a5d1-7acb0808f49d,02:F4:7C:17:44:A8,243fc584-91c9-4545-afcc-54412e428990
sampler,2019-12-10 02:55:07,2019-12-10 02:55:22,4448,43288,6251,98078,1803,1198,ffca38f8-4507-448d-a84e-3d5dcce87e0a,3E:C7:FD:F2:0F:C6,b4139d3f-442c-4640-9ca1-a87035fa0703
sampler,2019-12-10 02:55:07,2019-12-10 02:55:22,4188,77234,6925,532844,2737,1198,99d6ada0-2db4-435f-a70b-b771e6a3aa75,D6:32:B7:C2:90:3D,dacc560a-00fb-46f7-8dd5-c28bda2dfeb3
sampler,2019-12-10 02:55:07,2019-12-10 02:55:22,4013,80320,6554,153166,2541,1198,fc15dd97-e507-4bf1-86cf-8e4edfd4a149,AE:4D:C3:49:E5:22,074b71b2-3b2c-44f0-ad4b-59c5259d85ce
sampler,2019-12-10 02:55:07,2019-12-10 02:55:22,4269,85544,5828,105602,1559,1198,c8d22deb-6b07-4255-895c-c10542b2f6a5,3E:C8:CA:A0:66:A0,52c30b29-ef9d-4895-849b-9541dd7b76cf
sampler,2019-12-10 02:55:07,2019-12-10 02:55:22,4247,42880,6508,471634,2261,1198,f44fbec8-8210-405f-a1c1-b04174970950,EA:0E:ED:A6:3E:15,fc3cd840-4ea8-4f3f-bff8-b4cd918be951
sampler,2019-12-10 02:55:07,2019-12-10 02:55:22,4480,112794,5899,68298,1419,1198,3e3ae13f-6d91-47d9-be96-e7fe4f00daf7,6A:EB:6D:64:20:A1,7488dca4-77de-4ef5-841f-ac7e79a5b839
