Role,Start Time,End Time,Avg Cycles 1,Max Cycles 1,Avg Cycles 2,Max Cycles 2,Difference,Trials,Request ID,MAC Address,Boot ID
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4305,78284,5951,301460,1646,1198,684cc99b-460a-42f2-9e41-d4a0f24ec5dd,7E:54:EF:71:78:1D,51bd8c8e-d238-47e9-843e-fedd181c752a
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4404,236190,5647,88490,1243,1198,dc899a9a-1db5-46a7-be37-3ad0a1a691cb,FA:03:07:CD:F3:8F,fcbf73be-7553-48eb-9002-d5b4de7d8b4b
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4237,77316,5468,222452,1231,1198,fd7fab52-0a24-498f-a7b9-938e6263819f,3A:FD:DA:C4:E7:61,9fdc02d0-8d95-472a-9e27-45e8f8527af9
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4414,59114,5285,107656,871,1198,d4814b75-950d-495f-83ae-686e0826f88f,5A:5B:43:DF:09:4A,f5ca1ea1-e995-4224-84d7-70c832bfa4cf
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4312,37426,5801,103526,1489,1198,15710bba-5b8c-4134-aeeb-36d2249cdcf7,EE:AD:F2:83:FF:0D,b5e12246-5537-4454-9636-501a12d2c0b6
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4302,52060,4671,50368,369,1198,31424027-b04f-47dc-9557-0458b88d8aad,2E:7D:BE:81:4A:A3,1d7c2afe-1092-4d85-8ec3-dd725fb16e9e
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4133,53100,4906,109780,773,1198,2561555f-17a3-46d0-b6de-7ba5b50a082a,EE:24:CD:A4:8A:E4,e471546a-2082-4c47-8baa-2bf456792da2
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4152,80496,7338,359976,3186,1198,1c87fd8e-f25d-42ea-be73-0ddbe052bb00,0E:88:2D:8A:D5:5A,d02cc52c-663e-4058-85e4-a059e2647228
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4335,52308,6378,242966,2043,1198,b2e88276-15b3-40a9-a906-9bf45b167672,62:0F:7E:DB:A0:46,aba000a5-7f81-4bf8-917c-79425d76be9b
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4207,77974,7203,98548,2996,1198,17309956-a6f1-40fd-8ece-99faaef51040,A2:43:61:17:1B:6B,2267ab01-4461-42dd-8d39-f288ea424686
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4149,66882,4966,65684,817,1198,c33d51c6-edfa-4b09-b201-64cab1fd82ed,06:CD:6E:92:01:A6,4e663774-385a-4fc8-91ff-26a7d440844b
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4395,86264,6203,63826,1808,1198,ff310ad1-efae-4fd9-b1c4-d7f2d56e7630,46:52:30:A7:56:E7,d9bc00e6-b6b0-4ecc-9b29-4d70dd0c677c
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4386,76408,6529,125606,2143,1198,1aa7e51b-a794-4936-b077-b55a6cd5249b,B6:CC:A9:91:BD:4B,dd0b90ad-65e6-41e7-b788-c2a52793a942
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4108,71146,5567,111296,1459,1198,3d223759-6fa1-49a4-a14f-334cce0099e1,F6:BA:0F:EB:BC:6D,78565586-59d5-4e68-8097-71a1a7af4775
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4394,54772,6464,92978,2070,1198,ae18d198-f469-4a75-a7bc-07a459b803d2,96:52:C8:F3:C8:6E,8481bf97-2fd1-408e-8113-f95a0f0504d7
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4361,76054,4874,100550,513,1198,51da679f-e2f9-4a35-a2c9-f17ac7d7bbcf,DE:E6:CD:D1:CF:61,ba7574af-0873-4a9d-9035-b8a7f422a6fd
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4254,76144,5466,118550,1212,1198,8f0fdce7-1800-49c3-a822-a05e069f3eb0,FE:5E:21:0E:F3:90,97daf379-3c40-474e-b6a7-7e8b5d90dddf
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4468,81402,5944,135984,1476,1198,c96eee60-1393-489e-a8ea-7bca01678b19,36:09:8E:77:12:96,dfd9efb0-9e1f-42cc-851c-974dc780bc92
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,3966,58070,6827,898758,2861,1198,b0061470-64bd-4fde-baee-fe66cd615c3c,36:C6:20:2C:A6:1E,46521d1a-f289-48b7-8c5d-a3e43675b925
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,7211,3753004,5336,65312,1875,1198,4b4bef1f-310a-40bd-aae0-f651732588ef,B6:E3:4E:40:DF:07,15800f5a-2674-4145-bb27-1b8eeb528f02
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4235,61452,6645,83102,2410,1198,c5e6ae06-b7ae-4052-85d2-95f29f6d5a9a,FE:5B:B6:26:02:84,c2225b86-179e-4259-89be-c41d47579b86
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4106,62350,4958,80132,852,1198,8d03182f-8298-4242-8b08-f7c1e4a5c0bf,CE:C8:5B:DD:18:72,205295fa-e66f-4e46-9a92-91d48dfe7df3
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4334,53026,6210,101994,1876,1198,f0f26972-9470-4118-b7f0-49baa14d8b7a,EA:EA:CA:63:74:90,04179ba0-38de-4cb5-9f18-504d52a0bdd2
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,3746,67412,5238,87964,1492,1198,0750643e-543a-4ca4-9189-21425d1d5877,F2:A0:1A:B2:82:E2,f254a24a-0cec-4ba9-8eb9-81d287cd830d
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4257,53996,6396,86282,2139,1198,0fc38586-ffbe-4e7e-85a5-c9d5160ee82c,92:24:1A:AD:32:B8,225562c0-c222-4b5b-a55a-c3b6072f9445
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4291,78120,6664,350284,2373,1198,928547b9-8791-41b4-8487-e7cd6e42638d,12:89:66:B0:13:40,44127b07-50a5-4df4-ba77-2d872d4d2d51
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4381,65770,6483,335586,2102,1198,32c1cbf2-ae47-42c3-b314-4d196edcedb2,D6:13:91:80:3D:92,3eb943cf-8ca1-4f7a-a2fb-c56d51c05dcc
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4097,54458,4697,78900,600,1198,4c8e6d2c-0ef2-4f72-a824-58e9b7bacb60,9E:2D:EB:E7:A6:DE,1d11ccd9-a909-4147-bd16-87c61836f270
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4002,80660,7940,1469160,3938,1198,8cd57554-dd24-4a4e-9572-6e3ae888bd65,C2:9D:BE:F1:E5:70,1ad58975-b1e4-42fa-8f35-fe41c3300454
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,3813,64576,6916,118850,3103,1198,171cf3e4-76c6-44c6-8f34-f7d5ad1298b3,7E:F4:5B:DD:5E:13,a44528a9-db78-4b1c-9274-c6d4ad4b1f81
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4195,86496,5752,59546,1557,1198,0d48e9fc-58d2-4f12-854e-f5d23a36ff63,8E:32:48:EA:88:D6,818c0f30-fdbc-43ef-a49d-248b6d83de51
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4306,233788,5201,62828,895,1198,4dd44101-bbc5-42d3-bdd9-b9f82fe8b6e9,D6:AB:CA:0E:B7:97,ca078a9f-1623-4592-8f6d-b5ae3b872153
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4414,69314,6795,175050,2381,1198,c3ba537b-6445-44e2-8833-32f80d34bc04,6A:58:9A:BF:34:C7,bad9e920-3c69-4697-8051-1ec6c3ebf237
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4463,80998,6544,484462,2081,1198,b2501941-5232-4c50-8ee3-39d052e83523,6E:60:1C:A2:E0:AC,b1bea0a0-a649-46ae-bdc8-8ebc08e80b54
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4142,53634,6214,247378,2072,1198,6b1bbf2d-5ea5-409a-8b73-3fabae61c7e1,72:51:89:1C:54:96,f81a75cf-cff2-4f30-ac68-8f431e6f10b0
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4283,114218,6975,302476,2692,1198,76b58a4b-9852-43c1-82b0-8ca3917baf52,FE:54:2A:11:78:9A,93285d3a-4843-4482-ae60-91d9bf843444
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,3964,51386,5689,126862,1725,1198,bcdf6ead-2571-4a68-8972-3de366d41b7e,1E:18:77:3E:58:5E,0a7c1ca0-7023-49fd-90f6-c2a0cde657f4
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4563,87450,7379,496704,2816,1198,c030042e-bd8c-440e-ac75-4d17be987475,E2:F4:E6:06:DA:8C,6a97f3a6-dcb4-4423-9006-23d45cafc50a
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4060,57526,8882,471420,4822,1198,7a44504a-0fcb-4852-810b-0fc238e1c4ea,9E:2B:38:E6:CB:1D,1a3fd8fb-97ce-43ba-a2e2-76d6cbec57e3
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4149,54048,7992,242078,3843,1198,095494c8-65f7-43d7-b101-7ff9f82fabbb,02:FE:27:0C:EE:D7,fd589b4c-ef4a-43bf-bc49-74d082b1c28b
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4144,43180,5520,73548,1376,1198,efc3165d-abd9-41a5-92aa-6f4754532557,82:43:89:07:4D:97,9d0425d6-14fa-4f1a-8b62-c317f2edee07
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4433,89456,7599,82388,3166,1198,7b605406-f18d-4dde-af95-b1d0ded9e6d2,82:E6:D6:3C:29:07,64766f9a-af6a-449b-b503-4a1b6eca666c
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4242,52958,5431,152312,1189,1198,a244d30c-0574-4600-9cb7-8720c22fbf55,62:D1:28:9A:59:1E,cc0dab81-0568-4a6d-98a9-26dfc1d564ea
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4628,404036,7172,265430,2544,1198,bf3ed02b-70ab-4852-b016-e72dfff100e5,46:97:1B:F1:D0:84,973af054-f69b-43c4-9284-d432e001389c
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4200,56942,6093,69746,1893,1198,47603204-4242-4496-8929-5b45a8e3efa2,A6:0B:BD:53:43:8D,12137beb-7c2a-4bbd-850b-df6dd1a14577
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,3898,68952,7238,366236,3340,1198,fd15a575-ecc9-48d1-935d-a630f1863ceb,36:56:39:38:AF:E8,f9f1dcff-e859-4120-b156-ff511c90604d
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4101,50720,5425,100696,1324,1198,6576803c-619a-426a-b39d-43fe493d87f5,36:ED:DD:C9:0F:F4,d2cc3780-cbb8-4a75-8825-37ae294fb742
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4343,48252,4617,66084,274,1198,cc5bd3a9-1153-4134-9f63-6d0cb805570a,B2:5A:9A:92:CA:C1,1963bc75-9813-4537-807e-41afd2d566f3
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4251,43166,5645,163794,1394,1198,5f1cc6a7-0742-49fa-96bb-e5af13d0360f,DE:63:4A:08:9D:5C,3418cb54-9f32-40a1-bc24-92acadda69d9
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4392,426438,5256,154954,864,1198,07e05fa8-ceb5-4516-b1e3-a2d710afd207,62:40:2A:82:F9:3A,910cf763-db30-4558-b8dc-c148f7e74e5b
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4082,37852,5074,165384,992,1198,88407feb-bfda-415b-aca8-77b86f59f3c1,06:E8:8D:48:E0:B7,21444a81-f9c3-4702-9eef-5e00a35db2bd
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4421,220914,4865,97288,444,1198,755a2479-38e2-427e-9ec3-a980a5066082,56:47:AF:AD:61:F3,b313f330-6752-4e13-9988-e8cec129f8df
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4206,52840,5022,56618,816,1198,5b944322-bc20-43e6-b1ed-60c3a48a5f84,E2:AA:26:AD:55:5D,faf3fe62-d01e-44f6-a0f1-ec63a4e18442
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4534,289104,7233,120256,2699,1198,7f914e1d-7cd4-4b0b-b4b3-f918c1c70ee3,8A:DE:22:11:DF:17,72324cd7-6c75-4ce0-9f06-980a58d9fcf5
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,3934,40502,7534,300276,3600,1198,120b8eff-9e62-4f0a-b6c8-bc8a3d73517f,DA:A3:00:04:49:E6,14feb618-645f-48d3-bdbc-cd5b31d4c255
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4131,54508,4358,71928,227,1198,8ef7a9fe-c4de-43e3-9832-ab767d265c3e,3E:87:00:20:A3:38,f0241e2d-a30f-4def-a253-36f5b4f9adbc
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4343,62616,5980,109048,1637,1198,3650fa5d-7fb9-4f95-8edd-ae329e92bb3a,AE:55:0F:CB:6C:E9,84a6b489-4c87-47e6-832c-5e0a35fc9a0a
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4447,58686,7286,265320,2839,1198,6d86a146-b0be-45ac-b803-7b6c1181bd76,16:DB:42:69:C7:22,120c16f1-f182-4d26-a569-45f2b440143a
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4516,199776,4615,62206,99,1198,5f7044d8-7ce1-4deb-8e36-bfad1d25ab14,52:C8:9A:0B:99:F5,3d1ae97c-e695-4e89-8fa7-a8495069634e
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4304,138310,7278,254754,2974,1198,88258196-095a-4925-8a8f-d11c3be1abcd,CE:5C:A1:A1:0D:52,ffac9e41-2564-4e5b-9327-a8626cd8b4b0
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4110,73790,7362,319316,3252,1198,b38da52d-87bf-4fad-8cf4-e4ed17dfb18c,F6:F3:3C:36:F2:5F,033dc0d9-f47f-4557-8000-cf24e095769f
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,3861,50838,8105,624024,4244,1198,238cfcea-6b78-4660-a8c3-c4234dd6034d,FA:93:13:2C:33:AE,c6ecb36b-da83-48bc-9cca-ed6821e8af45
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4055,106808,8724,1388016,4669,1198,e5cc80a7-5641-410c-b9d3-6a73dc070424,86:8D:57:B9:8A:99,3410dda1-cb05-4cac-9301-67ddb0fa5470
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4389,72922,7562,259236,3173,1198,1a9c4dde-5e1b-4c2e-9dfd-4f6854b9cf4f,8E:56:BD:71:40:B3,012e6554-9f1a-4175-8774-de203b7a554f
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4110,81168,5220,70318,1110,1198,b0833705-1148-46d4-b66b-c800e2eb3df5,AA:F5:EA:4E:74:56,4c8dd634-83f8-483e-88e8-2fba1d7c9eae
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4383,54934,9180,912836,4797,1198,b6447a20-ef5e-42a2-abfe-faf0ef1b1bf7,A6:80:2F:32:F3:21,b7915a18-23d6-4d5b-85eb-b4359716ef3a
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4001,74048,4840,81484,839,1198,53635828-fdea-46a5-851d-8236db72feac,96:00:52:70:9D:38,35279bb0-cc09-452e-b6e7-2c84b61e6bbd
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4020,86440,6922,142836,2902,1198,74796751-abb6-4777-9480-9df65db56c90,36:53:13:E5:BD:B0,10607a20-0d0b-4236-895b-2e8eee241322
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4483,70850,7469,281042,2986,1198,e7080d15-ed61-4f2a-b734-14f04c85ae2b,B2:76:76:D2:BF:C6,5052674e-6df5-43fb-9d08-fa5f4e881604
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,5044,794610,8091,582790,3047,1198,f3b9e299-e1cc-4365-b9cc-419d3408eadb,EE:90:9B:93:28:46,43b49d34-b4ac-4e53-a30d-b186ee9a7132
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4559,262870,7201,188530,2642,1198,28b24529-8430-4397-b26d-dac8ce79d6bf,12:1A:7B:75:BE:57,b0b6b18b-666b-4027-be3a-fb509bb1a886
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4165,74924,9609,1181742,5444,1198,d292bf8b-f37d-4ee9-99c4-47039d7aecd9,72:5B:7B:15:08:9C,7c7d5100-3f3c-4a5f-b814-be1ca31be507
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4432,73562,9132,317088,4700,1198,5b9171a0-db32-45c3-96dd-a477457c2348,6A:ED:52:2F:17:CA,a901b60c-5e60-4797-abad-8976e48c5077
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4068,38704,7905,97032,3837,1198,7f2b6e54-b11b-47c2-8c3b-c1ea5751a133,6E:09:2B:DF:9B:53,f1629a86-5393-4e00-813f-977384725046
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4391,357216,8607,804704,4216,1198,af4cbf43-f2a2-4eac-a780-b6d32bf73f9c,32:BA:7C:41:AD:A5,080bd109-c835-4e4c-9efb-3fc266e05ee2
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4434,198404,7868,505896,3434,1198,811ae364-4f06-4e1a-b7c0-3c09c12dfada,AE:4F:98:99:24:D3,786c3817-ae93-4d95-99fa-4f83f9649591
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4125,35696,4373,44904,248,1198,81d3c15a-e025-4d42-aa42-8d8a8fd923a1,36:5D:8D:16:E2:68,8ac8d016-fcba-49b8-9912-1908701481a4
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4400,259634,8329,120678,3929,1198,0ac1c52f-622d-4f1e-a1f6-c901ff34c12e,DE:DA:2D:49:52:96,5f003ffa-364c-47e4-b949-fe84bda975fd
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4293,62622,8422,503844,4129,1198,8c15db4a-8fbc-4793-ad5c-fe36cca41a30,FA:60:F3:CE:DB:28,e72bd4a9-cdc5-43cd-b12a-09cfd47e1dd1
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4168,197670,8439,429794,4271,1198,71a43b14-1c51-4943-b9b0-27aabf188445,F6:B7:8A:B2:34:DF,ae47c6cc-057d-4c71-8145-fd2c61ab321e
sampler,2019-12-10 02:48:03,2019-12-10 02:48:18,4614,95314,6482,127974,1868,1198,730f2c7b-04a0-45a8-9588-9b4b48b334dd,C6:AB:E1:48:C7:C3,1af280dc-51b0-4aac-9bdb-6ef6fa510552
