textPayload,insertId,resource.type,resource.labels.region,resource.labels.function_name,resource.labels.project_id,timestamp,severity,labels.execution_id,logName,trace,receiveTimestamp
Function execution started,000000-1047ecba-b872-4234-9cfd-a6743c44c9ba,cloud_function,us-central1,gol,zinc-wares-258309,2020-10-07T11:35:25.619276425Z,DEBUG,05n5t47zy6gb,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/0b4463e79c5b15695beaae54e6b7e005,2020-10-07T11:35:36.172479976Z
Cache line size: 64 B,000000-786d2a3b-968d-4e5b-b874-7eaba66d4d2f,cloud_function,us-central1,gol,zinc-wares-258309,2020-10-07T11:35:25.642Z,,05n5t47zy6gb,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/0b4463e79c5b15695beaae54e6b7e005,2020-10-07T11:35:36.172479976Z
Array Integer size: 8 B,000001-c9bce16f-a7a6-47ed-a6bf-80ce6a8dad9c,cloud_function,us-central1,gol,zinc-wares-258309,2020-10-07T11:35:25.642Z,,05n5t47zy6gb,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/0b4463e79c5b15695beaae54e6b7e005,2020-10-07T11:35:36.172479976Z
The address at the beginning boundary of cache line is  0xc000102000,000000-3da361dd-cd00-436e-8f94-46e8f6cf483f,cloud_function,us-central1,gol,zinc-wares-258309,2020-10-07T11:35:25.645Z,,05n5t47zy6gb,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/0b4463e79c5b15695beaae54e6b7e005,2020-10-07T11:35:36.172479976Z
Address:  0xc000101ff4,000000-897177a6-713f-4054-a598-add0aeb0f050,cloud_function,us-central1,gol,zinc-wares-258309,2020-10-07T11:35:25.646Z,,05n5t47zy6gb,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/0b4463e79c5b15695beaae54e6b7e005,2020-10-07T11:35:36.172479976Z
Total average cycles spent:  85,000000-447b6c67-86c9-4ad2-9f67-4e5f9cf3f2a9,cloud_function,us-central1,gol,zinc-wares-258309,2020-10-07T11:35:28.852Z,,05n5t47zy6gb,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/0b4463e79c5b15695beaae54e6b7e005,2020-10-07T11:35:36.172479976Z
Address:  0xc000101ff5,000001-841bbcf3-b120-4b06-ad26-0e4e4e76b0e7,cloud_function,us-central1,gol,zinc-wares-258309,2020-10-07T11:35:28.852Z,,05n5t47zy6gb,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/0b4463e79c5b15695beaae54e6b7e005,2020-10-07T11:35:36.172479976Z
Total average cycles spent:  54,000000-8fd0e954-7dfe-44fa-a648-ad4083c9fab2,cloud_function,us-central1,gol,zinc-wares-258309,2020-10-07T11:35:31.867Z,,05n5t47zy6gb,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/0b4463e79c5b15695beaae54e6b7e005,2020-10-07T11:35:36.172479976Z
Address:  0xc000101ff6,000001-3bc81a1c-51aa-40ea-b605-030ce994b33e,cloud_function,us-central1,gol,zinc-wares-258309,2020-10-07T11:35:31.867Z,,05n5t47zy6gb,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/0b4463e79c5b15695beaae54e6b7e005,2020-10-07T11:35:36.172479976Z
Total average cycles spent:  78,000000-72b568ba-c5ff-4527-8444-ef0206b8031f,cloud_function,us-central1,gol,zinc-wares-258309,2020-10-07T11:35:35.450Z,,05n5t47zy6gb,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/0b4463e79c5b15695beaae54e6b7e005,2020-10-07T11:35:36.172479976Z
