textPayload,insertId,resource.type,resource.labels.function_name,resource.labels.region,resource.labels.project_id,timestamp,severity,labels.execution_id,logName,trace,receiveTimestamp
Function execution started,000000-93fc53b5-3c80-4f89-8904-e4d305b3c88d,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:04.038749778Z,DEBUG,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:14.979968568Z
Cache line size: 64 B,000000-35da0092-82e5-4766-9edc-645795117e26,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:04.041Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:14.979968568Z
Array Integer size: 8 B,000001-48c4193b-0a31-47a6-bd77-b641832f3d31,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:04.041Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:14.979968568Z
The address at the beginning boundary of cache line is  0xc000102500,000002-654773d0-1e5f-43b8-9e89-444d9d0e7aaf,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:04.041Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:14.979968568Z
Address:  0xc0001024f0,000003-c094cfaa-d1e6-4b6d-8056-e5d73fbebf77,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:04.041Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:14.979968568Z
Total average cycles spent:  34,000000-6d1466ef-5351-4152-afa4-0adabe094563,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:05.703Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:14.979968568Z
Address:  0xc0001024f1,000001-b6771f32-1bf1-4a98-a3bb-febe3607a387,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:05.703Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:14.979968568Z
Total average cycles spent:  26,000000-9e61be88-bed2-4825-a237-dce7e63df206,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:07.376Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:14.979968568Z
Address:  0xc0001024f2,000001-24c1e4aa-d4c6-4083-ad67-f10abf454aa8,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:07.376Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:14.979968568Z
Total average cycles spent:  24,000000-4ec4fbb5-709d-4966-b15a-b21c011fc7eb,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:09.049Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:14.979968568Z
Address:  0xc0001024f3,000001-d838f768-c076-4ff3-8a4e-9df94a547825,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:09.049Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:14.979968568Z
Total average cycles spent:  30,000000-ff481a66-60f8-4a36-97a2-aa07e2997002,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:10.718Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:14.979968568Z
Address:  0xc0001024f4,000001-526f216b-af13-427e-a5f7-e2ad72c52217,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:10.718Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:14.979968568Z
Total average cycles spent:  29,000000-cf1cca03-03f3-4dfa-82f5-45904a126029,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:12.405Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:14.979968568Z
Address:  0xc0001024f5,000001-6cceb28f-5f40-4d63-ad6f-51088f2d32a2,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:12.405Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:14.979968568Z
Total average cycles spent:  31,000000-7565b02c-ba23-4426-9631-69001b1fe349,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:14.058Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:24.625343544Z
Address:  0xc0001024f6,000001-172f2b39-6cc9-4513-889d-dab901e70609,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:14.058Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:24.625343544Z
Total average cycles spent:  45,000000-edff1e30-afff-4d87-88a9-885d15fd0c29,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:15.742Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:24.625343544Z
