In,Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
2300,1575670664584,2300.016,b2:6f:97:2a:80:6a,90.00B,90.00B,26.193864345550537,20.187061548233032
2300,1575670664591,2300.014,de:df:c5:04:52:94,90.00B,90.00B,26.173827409744263,20.167022228240967
2300,1575670664589,2300.016,e6:bb:48:1d:72:51,90.00B,90.00B,26.184246063232422,20.177374839782715
2300,1575670664584,2300.016,ea:57:bd:8e:5c:8a,90.00B,90.00B,26.169848442077637,20.163034915924072
2300,1575670664589,2300.014,66:eb:09:43:d9:ff,90.00B,90.00B,26.22776484489441,20.220707178115845
2300,1575670664584,2300.016,86:87:74:54:02:46,90.00B,90.00B,26.165265560150146,20.1584734916687
2300,1575670664589,2300.014,de:b2:02:e9:25:17,90.00B,176.00B,26.24590039253235,20.23892116546631
2300,1575670664591,2300.014,9a:40:74:7e:68:10,90.00B,180.00B,26.231010913848877,20.224201917648315
2300,1575670664580,2300.016,4e:d9:bd:fe:0d:d2,90.00B,90.00B,28.073859214782715,22.06708550453186
2300,1575670664579,2300.016,de:72:33:a5:37:f9,90.00B,90.00B,28.24427819252014,22.23742961883545
2300,1575670664570,2300.014,8a:4c:74:d7:98:79,90.00B,176.00B,28.274738788604736,22.267775058746338
2300,1575670664568,2300.016,d6:6d:c9:f3:dc:ce,90.00B,90.00B,28.34616446495056,22.339372396469116
2300,1575670664568,2300.014,be:07:28:39:d1:2f,90.00B,90.00B,28.362657070159912,22.355765342712402
2300,1575670664569,2300.014,f2:e8:f5:08:ce:20,90.00B,90.00B,28.427738189697266,22.4209144115448
2300,1575670664568,2300.016,92:5a:29:96:01:1b,90.00B,90.00B,28.46567940711975,22.45881748199463
2300,1575670664580,2300.014,86:bd:64:25:4c:64,90.00B,90.00B,28.46477460861206,22.457930088043213
2300,1575670664584,2300.014,4e:ed:e4:b3:00:d2,90.00B,90.00B,28.48164939880371,22.474813222885132
2300,1575670664573,2300.014,6a:5d:6a:42:1d:61,90.00B,90.00B,28.56852102279663,22.56163740158081
2300,1575670664569,2300.016,22:43:50:12:49:9c,90.00B,90.00B,28.617655754089355,22.610861778259277
