In,Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
2500,1575669714303,2500.002,ae:26:c8:2c:e2:0f,90.00B,90.00B,25.18571710586548,17.176877975463867
2500,1575669714306,2500.006,1e:f9:e0:86:8a:6b,90.00B,90.00B,25.44588589668274,17.437185764312744
2500,1575669714270,2500.002,92:1b:dc:29:4a:b8,90.00B,90.00B,25.648741245269775,17.640011310577393
2500,1575669714276,2500.0,5e:0b:63:e3:7e:bc,90.00B,90.00B,25.653191089630127,17.644410133361816
2500,1575669714311,2500.002,82:57:f4:eb:db:2f,90.00B,90.00B,25.640180587768555,17.631394147872925
2500,1575669714302,2500.002,8e:24:dc:5f:d2:d7,90.00B,90.00B,25.946179389953613,17.93748188018799
2500,1575669714271,2500.012,8e:c7:0e:98:f5:89,90.00B,90.00B,25.93791699409485,17.929120540618896
2500,1575669714294,2500.002,66:6e:14:bd:d3:c3,90.00B,90.00B,25.91900944709778,17.910198211669922
2500,1575669714271,2500.012,f2:9c:15:8a:7b:be,90.00B,90.00B,25.93670129776001,17.92799425125122
2500,1575669714313,2500.012,76:67:a9:07:49:6d,176.00B,90.00B,25.946473360061646,17.937740564346313
2500,1575669714271,2500.002,de:86:6d:45:2c:8d,90.00B,90.00B,26.02417302131653,18.01544427871704
2500,1575669714378,2500.012,a2:d7:be:bb:c5:97,180.00B,90.00B,25.94226384162903,17.933541536331177
2500,1575669714317,2500.01,6e:b9:89:bf:31:7c,90.00B,90.00B,26.043494939804077,18.034658432006836
2500,1575669714306,2500.004,aa:5f:05:a5:4d:45,90.00B,90.00B,26.056398630142212,18.047684907913208
2500,1575669714276,2500.012,02:f7:18:bb:c6:75,90.00B,90.00B,26.088695764541626,18.07999038696289
2500,1575669714306,2500.006,4e:b1:46:e5:1a:e5,90.00B,90.00B,26.061859369277954,18.053135871887207
2500,1575669714295,2500.01,12:a6:2a:12:44:36,176.00B,90.00B,26.083658695220947,18.0749351978302
2500,1575669714262,2500.006,d2:30:85:1b:9f:0c,90.00B,90.00B,26.12564492225647,18.11680507659912
2500,1575669714302,2500.012,66:55:d2:6a:c0:85,90.00B,90.00B,26.100568294525146,18.0918447971344
2500,1575669714272,2500.012,7a:b9:ce:7b:0d:45,90.00B,90.00B,26.13084650039673,18.122103452682495
2500,1575669714357,2500.002,02:02:84:ff:fa:78,176.00B,90.00B,26.055022954940796,18.0463228225708
2500,1575669714267,2500.004,d2:58:1e:13:5e:04,176.00B,90.00B,26.14826798439026,18.139405965805054
2500,1575669714327,2500.01,de:7d:8a:55:40:65,90.00B,90.00B,26.09950017929077,18.090559482574463
2500,1575669714305,2500.012,86:d4:cc:b6:86:2c,90.00B,90.00B,26.125069618225098,18.11628532409668
2500,1575669714306,2500.004,26:57:e3:ac:89:ba,90.00B,90.00B,26.12744951248169,18.118740797042847
2500,1575669714339,2500.01,e2:cf:f5:95:d8:5f,176.00B,90.00B,26.09733533859253,18.087884664535522
2500,1575669714321,2500.002,96:8e:8f:3b:51:37,90.00B,90.00B,26.115374326705933,18.106650352478027
2500,1575669714315,2500.012,e6:a5:c4:94:e8:9e,90.00B,90.00B,26.129453659057617,18.12072205543518
2500,1575669714273,2500.012,9e:d2:2c:33:ed:f1,176.00B,90.00B,26.170886516571045,18.162168502807617
2500,1575669714386,2500.004,7a:54:19:29:54:f9,90.00B,90.00B,26.059602975845337,18.051002502441406
2500,1575669714386,2500.012,82:df:44:19:13:9d,90.00B,90.00B,26.058561325073242,18.04972267150879
2500,1575669714268,2500.0,2e:5e:64:03:8c:54,90.00B,90.00B,26.20500659942627,18.19611883163452
2500,1575669714401,2500.012,0a:46:67:b7:b9:1a,90.00B,90.00B,26.097536325454712,18.088806867599487
2500,1575669714318,2500.0,12:70:3c:d5:55:47,90.00B,90.00B,26.201377868652344,18.1925106048584
2500,1575669714286,2500.01,42:8a:33:fc:b1:a9,90.00B,90.00B,26.238605499267578,18.22981095314026
2500,1575669714295,2500.0,f6:ad:97:8c:23:04,176.00B,90.00B,26.232265949249268,18.2235107421875
2500,1575669714274,2500.01,ba:31:7b:85:89:c2,90.00B,90.00B,26.25856113433838,18.24978804588318
2500,1575669714277,2500.006,36:ac:e2:23:98:7c,90.00B,90.00B,26.25835871696472,18.249516487121582
2500,1575669714303,2500.002,02:ad:c5:da:4b:fc,90.00B,90.00B,26.233376264572144,18.22461771965027
2500,1575669714315,2500.002,36:8f:63:78:ad:17,90.00B,180.00B,26.227499961853027,18.218684434890747
2500,1575669714319,2500.002,de:e8:73:b2:72:5e,90.00B,90.00B,26.226693391799927,18.217973232269287
2500,1575669714386,2500.004,2e:ec:88:b4:b3:e4,90.00B,90.00B,26.159843921661377,18.15113091468811
2500,1575669714311,2500.01,4a:de:17:b3:c3:cb,90.00B,90.00B,26.24019765853882,18.231327772140503
2500,1575669714334,2500.002,92:a1:86:1f:96:96,180.00B,90.00B,26.220935106277466,18.21220088005066
2500,1575669714336,2500.006,7e:0f:a0:f6:58:2a,90.00B,90.00B,26.220057725906372,18.211337327957153
2500,1575669714350,2500.006,fa:21:64:80:fc:52,176.00B,180.00B,26.224631309509277,18.21588397026062
2500,1575669714368,2500.006,3a:85:e2:c7:f9:db,90.00B,176.00B,26.221242427825928,18.212455987930298
2500,1575669714393,2500.0,ea:ad:20:79:ab:9c,90.00B,90.00B,26.202113151550293,18.193689584732056
2500,1575669714392,2500.0,72:54:73:f6:29:18,90.00B,90.00B,26.212586402893066,18.210448265075684
2500,1575669714382,2500.002,ce:02:b5:cb:7c:76,90.00B,90.00B,26.23039746284485,18.221629858016968
2500,1575669714354,2500.002,e6:2f:2a:19:3d:a0,90.00B,90.00B,26.26589584350586,18.257123470306396
2500,1575669714377,2500.012,16:8f:46:7d:81:3e,180.00B,90.00B,26.254874229431152,18.24608063697815
2500,1575669714408,2500.006,9e:d1:6e:eb:72:46,90.00B,90.00B,26.25191855430603,18.24314832687378
2500,1575669714266,2500.01,f6:35:7e:dc:07:18,90.00B,266.00B,26.497994899749756,18.489235162734985
2500,1575669714267,2500.01,9e:49:7c:36:2a:40,180.00B,90.00B,26.498839616775513,18.490135431289673
2500,1575669714290,2500.002,c6:1c:88:bc:67:2e,176.00B,90.00B,26.485910415649414,18.47716736793518
2500,1575669714351,2500.006,e6:ed:bd:5f:fb:c8,90.00B,90.00B,26.439139127731323,18.430375576019287
2500,1575669714309,2500.01,2e:02:f1:ae:ce:fe,90.00B,90.00B,26.499457836151123,18.490490436553955
2500,1575669714280,2500.002,1a:1e:68:ae:8a:18,90.00B,90.00B,26.536844968795776,18.527957677841187
2500,1575669714303,2500.002,9a:a4:fd:12:93:d4,180.00B,90.00B,26.529064178466797,18.52032208442688
2500,1575669714302,2500.01,2e:c3:11:3a:ef:93,90.00B,90.00B,26.531495094299316,18.522149562835693
2500,1575669714337,2500.01,62:66:d6:03:3b:6c,176.00B,90.00B,26.509461402893066,18.500665187835693
2500,1575669714304,2500.002,b2:9b:ab:1b:fd:d3,90.00B,90.00B,26.555643796920776,18.546823978424072
2500,1575669714402,2500.01,b2:f3:2f:3e:52:ff,180.00B,90.00B,26.526149034500122,18.51714777946472
2500,1575669714305,2500.01,f2:1c:2c:34:f4:4f,90.00B,90.00B,27.52679944038391,19.5179660320282
2500,1575669714317,2500.01,a2:3d:5a:bc:37:f2,90.00B,90.00B,27.535724401474,19.526865243911743
2500,1575669714284,2500.01,16:cb:06:e8:82:fe,90.00B,176.00B,27.575941562652588,19.566998720169067
2500,1575669714328,2500.01,ea:09:a8:31:7c:9f,90.00B,90.00B,27.54814386367798,19.53937268257141
