In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575671627317,2300.014,32:4b:4e:41:1b:e4,90.00B,90.00B,19.621116161346436,13.61406683921814
Both,1575671627434,2300.014,0e:0f:99:30:03:89,90.00B,90.00B,19.7435519695282,13.736432313919067
Both,1575671627405,2300.014,f2:97:54:03:4a:10,90.00B,90.00B,19.803149461746216,13.79628872871399
Both,1575671627450,2300.014,b2:62:65:e1:77:44,90.00B,90.00B,19.79459857940674,13.787635803222656
Both,1575671627472,2300.014,f2:c7:03:4c:50:2b,90.00B,180.00B,19.79037308692932,13.783516883850098
Both,1575671627479,2300.014,1a:2c:ee:90:25:e6,90.00B,90.00B,20.487382888793945,14.480513095855713
Both,1575671627338,2300.014,ca:b4:63:d9:e3:83,90.00B,90.00B,20.64442229270935,14.637545347213745
Both,1575671627325,2300.014,2a:11:be:56:bc:8b,90.00B,90.00B,20.665292978286743,14.658365249633789
Both,1575671627478,2300.016,56:ba:49:06:38:56,176.00B,176.00B,20.531219005584717,14.524354934692383
Both,1575671627441,2300.016,1a:6b:9b:d5:0d:23,90.00B,180.00B,20.587411165237427,14.579777002334595
Both,1575671627362,2300.016,d6:95:0a:85:16:00,90.00B,90.00B,20.698603868484497,14.691726207733154
Both,1575671627428,2300.014,36:17:d0:f6:e0:04,90.00B,90.00B,20.671979427337646,14.665096282958984
Both,1575671627459,2300.014,ae:33:05:3c:e5:2e,90.00B,90.00B,20.666754245758057,14.65989875793457
Both,1575671627543,2300.014,ce:7d:55:ff:ab:24,90.00B,90.00B,20.684526681900024,14.677618741989136
Both,1575671627688,2300.014,56:4a:a3:b7:c0:a7,90.00B,176.00B,20.948597192764282,14.941585063934326
Both,1575671627179,2500.002,7a:e1:aa:b6:c8:0d,90.00B,90.00B,23.946850538253784,17.940393209457397
Both,1575671627198,2500.002,3e:e7:a5:b5:ac:b2,90.00B,90.00B,24.006612062454224,17.999748706817627
Both,1575671627201,2500.008,0a:dd:a2:d3:c1:1b,90.00B,90.00B,24.094362258911133,18.087589263916016
Both,1575671627248,2500.0,e2:b2:8f:d2:f0:d3,90.00B,90.00B,24.050836324691772,18.044115781784058
Both,1575671627248,2500.002,c6:24:22:f1:9e:e3,176.00B,90.00B,24.054821968078613,18.048115253448486
Both,1575671627183,2500.0,b2:f6:1f:ba:d2:b6,90.00B,90.00B,24.147702932357788,18.140936851501465
Both,1575671627194,2500.01,3e:be:a7:c3:e3:38,90.00B,90.00B,24.13823127746582,18.126502513885498
Both,1575671627231,2500.01,3e:fd:da:00:b9:9b,90.00B,90.00B,24.102503538131714,18.095763444900513
Both,1575671627235,2500.0,1e:61:1f:3d:9f:60,90.00B,90.00B,24.130178928375244,18.123351573944092
Both,1575671627240,2500.01,e2:e3:c3:79:f1:15,90.00B,90.00B,24.136561155319214,18.129813194274902
Both,1575671627270,2500.0,06:91:52:f7:42:54,90.00B,90.00B,24.14165186882019,18.13489603996277
Both,1575671627202,2500.0,fe:2a:56:a7:40:72,90.00B,90.00B,24.222447633743286,18.215688705444336
Both,1575671627205,2500.0,f6:ca:61:6e:a8:bc,90.00B,90.00B,24.22742533683777,18.22067880630493
Both,1575671627224,2500.002,1e:98:d5:63:9b:b6,90.00B,90.00B,24.21709442138672,18.209943294525146
Both,1575671627227,2500.002,aa:e0:fe:f3:f0:92,90.00B,90.00B,24.20824933052063,18.200990438461304
Both,1575671627212,2500.002,1a:58:50:78:11:34,90.00B,90.00B,24.234113693237305,18.226871490478516
Both,1575671627278,2500.0,82:eb:10:33:85:cd,90.00B,90.00B,24.158166646957397,18.151265144348145
Both,1575671627202,2500.01,0a:e8:84:50:0d:a3,90.00B,90.00B,24.251184701919556,18.243709564208984
Both,1575671627209,2500.01,da:a7:5f:87:ec:bd,90.00B,90.00B,24.25238275527954,18.24564266204834
Both,1575671627253,2500.002,be:c1:4e:81:05:eb,90.00B,90.00B,24.201492309570312,18.194238901138306
Both,1575671627217,2500.006,ce:5f:81:a3:4e:a4,90.00B,176.00B,24.24593758583069,18.23920750617981
Both,1575671627222,2500.006,e6:ef:8d:ba:fc:5e,90.00B,90.00B,24.27038264274597,18.2636239528656
Both,1575671627268,2500.0,d2:21:ab:8f:a4:c7,90.00B,90.00B,24.231008529663086,18.224217653274536
Both,1575671627161,2500.0,ca:ed:66:e5:d9:33,90.00B,90.00B,24.34678053855896,18.340042114257812
Both,1575671627274,2500.0,46:76:c3:69:d7:16,90.00B,90.00B,24.230760097503662,18.22388529777527
Both,1575671627259,2500.01,2e:fb:70:8c:d1:f3,90.00B,90.00B,24.264837980270386,18.25806427001953
Both,1575671627221,2500.0,06:1a:70:f4:1a:6d,90.00B,90.00B,24.322407960891724,18.31562113761902
Both,1575671627260,2500.006,5e:75:b4:03:9d:ed,90.00B,90.00B,24.29603409767151,18.2893385887146
Both,1575671627213,2500.01,42:80:4e:68:c3:98,90.00B,90.00B,24.378822565078735,18.372050046920776
Both,1575671627246,2500.006,4e:ab:c8:fd:c5:0f,90.00B,90.00B,24.369022846221924,18.362290143966675
Both,1575671627177,2500.008,8a:45:37:fd:0a:22,90.00B,90.00B,24.439683437347412,18.4328932762146
Both,1575671627161,2500.008,de:7d:d2:d8:37:d3,90.00B,90.00B,24.47118091583252,18.464312314987183
