In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575671785738,2300.014,b6:5d:1d:88:01:86,90.00B,90.00B,19.13226842880249,13.125357627868652
Both,1575671785740,2300.014,42:7b:36:d7:34:b3,90.00B,176.00B,19.137808322906494,13.134117841720581
Both,1575671785741,2300.014,ee:70:ad:6b:d6:25,90.00B,90.00B,19.164581537246704,13.157802820205688
Both,1575671785739,2300.014,c6:45:46:f1:c8:18,90.00B,176.00B,19.41300392150879,13.406176328659058
Both,1575671785742,2300.014,06:2b:4a:1a:79:a4,90.00B,90.00B,19.57034468650818,13.563524961471558
Both,1575671785744,2300.014,96:1e:23:ce:11:78,90.00B,90.00B,19.718871116638184,13.71200156211853
Both,1575671785733,2300.014,fa:e0:8e:3c:eb:c9,90.00B,90.00B,20.159910440444946,14.153094053268433
Both,1575671785737,2300.014,36:0d:58:c4:86:ae,90.00B,90.00B,20.171708822250366,14.168083429336548
Both,1575671785738,2300.014,ee:7c:68:e0:aa:26,180.00B,90.00B,20.201573371887207,14.194785118103027
Both,1575671785738,2300.014,e2:e5:e9:58:fd:33,90.00B,90.00B,20.354173183441162,14.347349405288696
Both,1575671785736,2300.014,42:90:aa:c3:6e:e1,90.00B,90.00B,20.528521299362183,14.521725416183472
Both,1575671785735,2300.014,1a:4b:5a:43:41:6a,90.00B,90.00B,20.570171356201172,14.563359022140503
Both,1575671785736,2300.016,6e:79:e1:9c:f1:ea,90.00B,90.00B,20.605740308761597,14.59892749786377
Both,1575671785735,2300.014,96:0c:87:82:07:0d,90.00B,90.00B,20.615702390670776,14.608826160430908
Both,1575671785732,2300.016,5a:05:ac:34:2e:66,176.00B,90.00B,20.695302724838257,14.68848204612732
Both,1575671785735,2300.016,82:35:bf:42:24:db,90.00B,90.00B,20.697959661483765,14.691092014312744
Both,1575671785733,2300.016,1a:b1:0e:49:35:4a,90.00B,90.00B,20.792508840560913,14.785559892654419
Both,1575671785732,2500.008,72:71:bb:71:0f:6a,90.00B,90.00B,23.226693868637085,17.22002148628235
Both,1575671785731,2500.0,76:a0:20:c8:1c:36,90.00B,90.00B,23.32323145866394,17.316404819488525
Both,1575671785708,2500.008,7a:13:4b:4f:a6:39,90.00B,176.00B,23.36579132080078,17.359134674072266
Both,1575671785732,2500.008,22:fd:8a:21:dd:f8,90.00B,90.00B,23.450621128082275,17.443925619125366
Both,1575671785733,2500.002,2a:a0:8d:ef:a6:47,90.00B,90.00B,23.491071701049805,17.484421730041504
Both,1575671785732,2500.0,ba:6f:75:7e:9d:aa,90.00B,90.00B,23.599980115890503,17.59315037727356
Both,1575671785706,2500.006,fa:b4:d0:f9:d8:4a,90.00B,90.00B,23.678167819976807,17.67143225669861
Both,1575671785707,2500.006,8e:e3:9f:0f:a5:27,90.00B,90.00B,23.678763389587402,17.67195773124695
Both,1575671785708,2500.006,22:a7:e5:eb:cb:33,90.00B,90.00B,23.676454782485962,17.669750452041626
Both,1575671785704,2500.006,9a:d5:02:bf:25:58,90.00B,90.00B,23.68864941596985,17.681905269622803
Both,1575671785732,2500.0,d6:0d:bd:14:69:27,90.00B,90.00B,23.76836323738098,17.76155185699463
Both,1575671785709,2500.01,f2:8c:23:e4:a5:26,90.00B,90.00B,23.863714456558228,17.85698366165161
Both,1575671785709,2500.01,16:29:66:cc:1a:dc,90.00B,90.00B,23.86688804626465,17.86019992828369
Both,1575671785731,2500.0,7e:3e:c2:39:24:5e,90.00B,90.00B,23.860127925872803,17.85327410697937
Both,1575671785706,2500.01,7e:24:ab:a5:26:1a,90.00B,90.00B,23.89942693710327,17.89274501800537
Both,1575671785708,2500.006,8a:11:81:0a:48:5e,90.00B,90.00B,23.963332176208496,17.95661211013794
Both,1575671785728,2500.006,42:5d:a5:cb:1a:e6,90.00B,90.00B,23.996015310287476,17.989280939102173
Both,1575671785712,2500.01,36:63:2c:26:e4:28,90.00B,90.00B,24.057528495788574,18.050882816314697
Both,1575671785730,2500.01,66:a8:56:85:40:20,180.00B,90.00B,24.1001558303833,18.093460083007812
Both,1575671785730,2500.01,8a:74:02:e9:d9:4d,90.00B,90.00B,24.127075910568237,18.12038540840149
