In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Exec Time
Both,1575667793729,2300.014,16:52:06:31:60:0d,90.00B,176.00B,16.249336004257202
Both,1575667793733,2300.014,d6:e0:52:3c:ee:61,180.00B,90.00B,16.752180337905884
Both,1575667793738,2300.014,ae:37:f0:4c:45:1d,90.00B,90.00B,16.774796962738037
Both,1575667793732,2300.014,7a:93:f8:39:93:ec,90.00B,180.00B,16.84998607635498
Both,1575667793729,2300.014,fe:0e:4f:ee:5a:6b,90.00B,90.00B,16.9149169921875
Both,1575667793729,2300.014,8e:8f:dc:f2:68:4d,90.00B,90.00B,16.933388471603394
Both,1575667793728,2300.014,b2:30:1a:83:d1:69,90.00B,176.00B,17.062811851501465
Both,1575667793731,2300.014,e6:5c:c5:ed:ae:67,90.00B,90.00B,17.16987133026123
Both,1575667793729,2300.014,06:f8:62:e3:47:dd,90.00B,90.00B,17.208396673202515
Both,1575667793734,2300.014,92:2d:f2:da:86:50,90.00B,90.00B,17.231104135513306
Both,1575667793734,2300.014,26:3d:e3:a9:51:15,90.00B,90.00B,17.321858167648315
Both,1575667793729,2300.014,2e:3b:b3:fe:ee:a3,90.00B,90.00B,19.922062635421753
Both,1575667793728,2300.014,7e:eb:76:c9:6d:71,90.00B,90.00B,19.904677867889404
Both,1575667793728,2300.014,0e:9f:02:70:1e:18,180.00B,90.00B,19.953776597976685
Both,1575667793724,2500.008,a2:c8:44:55:9f:46,90.00B,90.00B,21.756985187530518
Both,1575667793725,2500.008,7e:aa:cc:4d:96:75,90.00B,90.00B,21.75806975364685
Both,1575667793714,2500.01,5e:8c:cf:39:66:c3,90.00B,90.00B,21.976871252059937
Both,1575667793719,2500.0,66:f3:1f:4a:b1:f9,90.00B,176.00B,22.039543628692627
Both,1575667793724,2500.008,02:0e:27:7a:74:5a,90.00B,176.00B,22.107944011688232
Both,1575667793714,2500.01,ea:9f:6f:3b:71:63,176.00B,90.00B,22.143593788146973
Both,1575667793725,2300.014,7a:a2:cc:81:12:8a,90.00B,90.00B,22.17370629310608
Both,1575667793719,2500.012,76:94:d6:53:98:d4,90.00B,90.00B,22.211214780807495
Both,1575667793713,2500.012,7a:a6:58:30:a5:38,90.00B,90.00B,22.226879119873047
Both,1575667793713,2500.012,ea:12:e3:90:7f:e2,90.00B,180.00B,22.258339166641235
Both,1575667793723,2500.006,ea:1c:f1:cb:a2:85,90.00B,90.00B,22.270871877670288
Both,1575667793698,2500.01,ca:89:1f:e8:72:12,90.00B,90.00B,22.305163860321045
Both,1575667793719,2500.006,ba:22:89:f1:d2:94,176.00B,90.00B,22.285046339035034
Both,1575667793713,2500.01,4e:fd:02:e4:9c:d7,90.00B,90.00B,22.313347101211548
Both,1575667793726,2300.014,fa:aa:1d:73:ed:52,90.00B,90.00B,22.311468601226807
Both,1575667793698,2500.012,ba:13:8b:b1:08:0f,90.00B,90.00B,22.351780891418457
Both,1575667793710,2500.012,1a:f5:77:2e:75:c5,90.00B,90.00B,22.343189001083374
Both,1575667793712,2500.012,66:95:73:14:fc:da,90.00B,90.00B,22.369405031204224
Both,1575667793692,2500.006,ca:db:02:fe:12:51,180.00B,90.00B,22.39615273475647
Both,1575667793711,2500.006,66:72:f9:fc:0e:c5,90.00B,90.00B,22.382482051849365
Both,1575667793694,2500.006,6a:b8:60:b2:25:ad,90.00B,90.00B,22.40545678138733
Both,1575667793695,2500.006,02:52:f5:58:38:54,266.00B,90.00B,22.409319639205933
Both,1575667793723,2500.008,da:18:b5:6d:e8:88,90.00B,90.00B,22.393592357635498
Both,1575667793683,2500.006,c2:6d:a0:9a:5b:a7,90.00B,180.00B,22.438004970550537
Both,1575667793714,2500.012,4a:2c:ea:1a:fa:f3,90.00B,90.00B,22.427616357803345
Both,1575667793710,2500.006,7a:2c:74:c4:10:5a,90.00B,90.00B,22.431757926940918
Both,1575667793723,2300.014,42:40:39:51:fd:48,90.00B,90.00B,22.427894115447998
Both,1575667793712,2500.006,ca:19:95:c4:08:92,90.00B,90.00B,22.440924882888794
Both,1575667793686,2500.006,ea:46:b5:aa:e2:4f,176.00B,90.00B,22.46644949913025
Both,1575667793714,2500.008,32:e9:a7:fd:66:eb,90.00B,90.00B,22.439518928527832
Both,1575667793698,2500.002,4a:16:28:1b:e1:d1,90.00B,90.00B,22.474772214889526
Both,1575667793714,2500.008,4a:87:9d:85:e5:d7,90.00B,90.00B,22.48776865005493
Both,1575667793723,2500.012,22:2d:8a:c4:ff:2a,90.00B,90.00B,22.545793294906616
Both,1575667793722,2500.012,b2:fe:ff:43:fb:a0,90.00B,90.00B,22.558998823165894
Both,1575667793716,2500.002,82:d3:7b:fe:01:11,90.00B,90.00B,22.569825172424316
Both,1575667793715,2500.002,a6:4a:99:2b:3c:55,90.00B,90.00B,22.573081016540527
Both,1575667793715,2500.002,32:a6:b0:5e:c8:68,90.00B,90.00B,22.574294567108154
Both,1575667793716,2500.002,82:0c:ee:c7:e0:77,90.00B,90.00B,22.579806327819824
Both,1575667793722,2500.012,3a:f9:c0:50:8a:92,90.00B,90.00B,22.55998706817627
Both,1575667793722,2500.012,86:4f:3a:fc:07:7e,90.00B,90.00B,22.591150999069214
Both,1575667793716,2500.002,ee:4e:e4:1f:f4:a5,90.00B,90.00B,22.6095769405365
Both,1575667793718,2500.012,7e:a2:d6:15:1c:6f,90.00B,90.00B,22.623944520950317
Both,1575667793724,2500.008,92:7b:de:c5:97:c7,90.00B,90.00B,22.621968030929565
Both,1575667793717,2500.012,6e:27:ea:5d:e2:cb,176.00B,90.00B,22.6448016166687
Both,1575667793695,2500.0,82:50:a6:63:d9:1a,90.00B,90.00B,22.705718517303467
Both,1575667793723,2500.012,4a:7d:43:dd:68:7f,90.00B,90.00B,22.67727756500244
Both,1575667793715,2500.002,6e:c9:d6:c0:09:58,176.00B,90.00B,22.71001434326172
Both,1575667793711,2500.0,de:60:4d:c4:d2:d2,90.00B,90.00B,22.71721363067627
Both,1575667793712,2500.0,66:3d:ec:36:c1:8c,90.00B,90.00B,22.720579862594604
Both,1575667793693,2500.012,32:ec:7d:81:bc:38,90.00B,180.00B,22.75798010826111
Both,1575667793715,2500.002,ca:c4:ab:c2:5a:45,90.00B,90.00B,22.73145866394043
Both,1575667793688,2500.012,1a:52:ec:28:d9:45,90.00B,90.00B,22.76197099685669
Both,1575667793712,2500.0,26:6d:2d:96:82:3c,176.00B,90.00B,22.755579710006714
Both,1575667793718,2500.01,ee:87:7f:05:e6:e3,176.00B,176.00B,22.759411334991455
Both,1575667793711,2500.012,a6:ad:13:d1:a5:0d,90.00B,90.00B,22.7675518989563
Both,1575667793683,2500.012,a2:62:47:3a:8e:7d,90.00B,90.00B,22.80807900428772
Both,1575667793715,2500.01,ae:52:9a:0f:bd:b9,176.00B,90.00B,22.77692484855652
Both,1575667793692,2500.012,f2:17:b2:81:3f:bb,90.00B,90.00B,22.802117347717285
Both,1575667793683,2500.012,ee:82:2b:a2:8c:b7,90.00B,90.00B,22.826535940170288
Both,1575667793710,2500.012,42:89:ca:36:c6:1d,90.00B,90.00B,22.806590795516968
Both,1575667793696,2500.012,4a:63:22:74:b5:8e,90.00B,90.00B,22.821399927139282
Both,1575667793693,2500.012,8a:9c:19:1d:d0:3e,90.00B,90.00B,22.830058574676514
Both,1575667793693,2500.012,5a:9b:2a:8f:62:03,90.00B,90.00B,22.835388660430908
Both,1575667793713,2500.012,8e:a1:47:5b:ae:b0,90.00B,90.00B,22.8232159614563
Both,1575667793711,2500.012,ce:de:b9:a5:1e:39,176.00B,90.00B,22.829139947891235
Both,1575667793681,2500.006,f2:c9:39:a6:b7:ca,90.00B,90.00B,23.047290563583374
Both,1575667793684,2500.008,9e:13:a4:ec:67:1c,90.00B,90.00B,23.056540966033936
Both,1575667793684,2500.008,62:77:12:46:57:10,90.00B,90.00B,23.06417155265808
Both,1575667793678,2500.006,5a:87:9d:8b:09:e6,90.00B,90.00B,23.07017970085144
Both,1575667793684,2500.008,86:da:a7:dd:6a:ed,176.00B,90.00B,23.069526433944702
Both,1575667793678,2500.006,16:92:c3:a5:e7:e8,90.00B,180.00B,23.091216325759888
Both,1575667793684,2500.008,86:fc:e0:43:12:d1,90.00B,90.00B,23.088821172714233
Both,1575667793679,2500.006,ce:61:ee:f8:d8:6e,90.00B,90.00B,23.107585191726685
Both,1575667793688,2500.006,c2:b4:58:be:b8:79,90.00B,90.00B,23.106878995895386
Both,1575667793682,2500.006,0a:2a:4b:e3:d9:6a,90.00B,90.00B,23.113998413085938
Both,1575667793684,2500.008,72:23:26:d5:ae:4a,176.00B,176.00B,23.1521213054657
Both,1575667793683,2500.006,76:0e:c0:b9:dc:c8,90.00B,90.00B,23.204695224761963
Both,1575667793685,2500.006,ee:dc:2d:2c:49:2e,90.00B,90.00B,23.280245780944824
Both,1575667793654,2500.002,9a:60:20:29:52:b4,90.00B,90.00B,24.616355895996094
Both,1575667793653,2500.002,be:47:03:b2:8c:9d,90.00B,90.00B,24.619529724121094
Both,1575667793657,2500.002,8a:39:45:f5:2b:a7,90.00B,90.00B,24.615514993667603
Both,1575667793652,2500.006,0e:28:7b:f8:3c:37,90.00B,90.00B,24.63374137878418
Both,1575667793653,2500.002,62:32:b5:c9:e9:ac,90.00B,90.00B,24.63691282272339
Both,1575667793651,2500.006,26:59:5a:69:9a:c9,90.00B,90.00B,24.637786626815796
Both,1575667793653,2500.002,b2:58:85:19:30:9c,90.00B,90.00B,24.641679048538208
Both,1575667793653,2500.002,1a:4f:7e:05:8d:47,90.00B,90.00B,24.64513087272644
Both,1575667793680,2300.014,fe:97:15:5d:6c:79,90.00B,90.00B,24.610232830047607
Both,1575667793677,2500.006,16:cc:62:59:51:54,90.00B,90.00B,24.627160787582397
Both,1575667793652,2500.006,ce:db:4a:6c:5b:ed,90.00B,90.00B,24.65338134765625
Both,1575667793654,2500.002,12:0c:9c:ee:c0:62,90.00B,90.00B,24.652302742004395
Both,1575667793677,2500.002,1e:52:19:ee:18:df,176.00B,90.00B,24.633212327957153
Both,1575667793679,2300.014,72:c2:fb:35:60:e8,180.00B,90.00B,24.646836519241333
Both,1575667793676,2500.006,96:65:6a:e1:eb:c1,90.00B,90.00B,24.64610481262207
Both,1575667793652,2500.002,4a:8c:79:1e:17:05,90.00B,90.00B,24.67564296722412
Both,1575667793652,2500.002,e6:49:2e:c3:47:95,90.00B,90.00B,24.67786693572998
Both,1575667793679,2300.014,7e:14:37:69:6b:f4,90.00B,90.00B,24.653521299362183
Both,1575667793659,2500.006,2e:a2:e8:20:49:df,90.00B,90.00B,24.67579960823059
Both,1575667793677,2500.006,8a:34:e1:4f:8f:80,90.00B,90.00B,24.65667462348938
Both,1575667793653,2500.002,0a:93:be:b3:58:5f,90.00B,90.00B,24.682324647903442
Both,1575667793652,2500.002,ce:71:7e:8f:a8:f4,176.00B,90.00B,24.68360209465027
Both,1575667793671,2500.006,96:e9:81:fe:4d:38,90.00B,90.00B,24.677499294281006
Both,1575667793656,2500.006,9e:6c:b1:79:2e:2d,90.00B,90.00B,24.694095611572266
Both,1575667793671,2500.006,76:b4:0d:38:c1:e1,90.00B,90.00B,24.685375452041626
Both,1575667793671,2500.006,86:ea:31:25:5c:15,90.00B,90.00B,24.68096685409546
Both,1575667793652,2500.006,a6:a3:87:54:e7:59,90.00B,180.00B,24.701239109039307
Both,1575667793657,2500.006,aa:4c:0f:14:f8:e5,90.00B,90.00B,24.697121381759644
Both,1575667793677,2500.002,2a:d0:f7:9d:c3:f4,90.00B,90.00B,24.686128616333008
Both,1575667793673,2500.006,6e:02:84:d3:2c:fe,90.00B,90.00B,24.71161127090454
Both,1575667793673,2300.016,aa:2c:90:39:09:ca,90.00B,90.00B,24.727952003479004
Both,1575667793677,2300.016,d2:75:7a:90:97:2f,90.00B,90.00B,24.736851930618286
Both,1575667793677,2500.002,da:2e:ff:aa:0b:3b,90.00B,90.00B,24.743188619613647
Both,1575667793679,2300.014,16:15:01:8f:0c:e0,90.00B,90.00B,24.739171981811523
Both,1575667793677,2300.016,0a:0f:e9:33:c4:24,176.00B,90.00B,24.742491722106934
Both,1575667793678,2300.016,3a:6e:a7:72:1b:c8,90.00B,90.00B,24.7541184425354
Both,1575667793671,2300.016,c6:2f:d1:b8:80:2a,90.00B,90.00B,24.774208784103394
Both,1575667793677,2300.016,16:80:57:e4:d3:2d,90.00B,180.00B,24.76405930519104
Both,1575667793676,2300.016,16:ed:1c:77:f7:0e,90.00B,90.00B,24.76546835899353
Both,1575667793648,2500.012,e6:cd:d0:a3:ce:11,90.00B,90.00B,28.942225456237793
Both,1575667793650,2500.012,ee:7e:53:d6:c4:15,90.00B,90.00B,28.949135541915894
Both,1575667793650,2500.012,72:3a:2c:3c:08:89,90.00B,90.00B,28.951359748840332
Both,1575667793650,2500.012,e6:82:e7:a9:17:31,90.00B,90.00B,28.94088625907898
