In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575684346796,2500.004,ea:f9:b5:cd:f6:19,90.00B,90.00B,23.41895318031311,17.41225504875183
Both,1575684346715,2500.012,86:e4:5b:f4:e4:80,90.00B,176.00B,23.71736168861389,17.708388805389404
Both,1575684346727,2500.012,26:3d:24:01:e8:03,90.00B,90.00B,23.72991180419922,17.723249435424805
Both,1575684346789,2500.004,fa:e1:9d:2c:57:3b,90.00B,90.00B,23.64877939224243,17.64220118522644
Both,1575684346727,2500.012,86:4c:be:14:0c:35,90.00B,90.00B,23.75979971885681,17.75303339958191
Both,1575684346736,2500.006,52:6d:26:b6:3d:f2,90.00B,90.00B,23.765532732009888,17.758793830871582
Both,1575684346725,2500.012,c2:80:37:27:aa:85,90.00B,90.00B,23.778130769729614,17.77140522003174
Both,1575684346729,2500.038,6e:fd:4e:df:86:85,90.00B,90.00B,23.78562641143799,17.778823375701904
Both,1575684346743,2500.038,c6:2b:ce:22:c8:71,90.00B,180.00B,23.800194263458252,17.793495893478394
Both,1575684346742,2500.038,1e:45:39:d4:a8:26,90.00B,90.00B,23.80865979194641,17.801984310150146
Both,1575684346813,2499.998,f6:17:9d:b0:39:ca,180.00B,90.00B,23.78751540184021,17.78088927268982
Both,1575684346811,2500.004,26:62:ea:7b:3b:3b,90.00B,90.00B,23.81743049621582,17.810741424560547
Both,1575684346770,2500.006,f6:10:b8:aa:dc:4d,90.00B,90.00B,23.85647702217102,17.849794387817383
Both,1575684346806,2500.008,86:4b:1b:23:f1:9b,90.00B,90.00B,23.826446056365967,17.819775342941284
Both,1575684346805,2500.004,4a:52:90:69:68:9c,90.00B,90.00B,23.831929683685303,17.824929237365723
Both,1575684346768,2500.004,6e:be:07:e7:ed:b6,90.00B,90.00B,23.90323781967163,17.896565914154053
Both,1575684346764,2500.004,ae:a9:69:6f:25:d8,90.00B,90.00B,23.91451072692871,17.90783977508545
Both,1575684346764,2500.008,46:44:69:00:cc:6c,90.00B,90.00B,23.91215491294861,17.905458450317383
Both,1575684346743,2500.008,c2:91:16:6a:e0:31,180.00B,90.00B,23.943942308425903,17.93663263320923
Both,1575684346763,2500.006,e6:19:aa:18:ae:bf,90.00B,90.00B,23.94119668006897,17.934417009353638
Both,1575684346787,2500.004,a6:ea:12:19:9d:68,90.00B,90.00B,23.9205060005188,17.91355848312378
Both,1575684346769,2500.006,b6:1a:c0:6b:13:14,90.00B,90.00B,23.9388267993927,17.9321231842041
Both,1575684346801,2500.006,62:c7:32:f9:d1:e1,90.00B,90.00B,23.909626960754395,17.902835845947266
Both,1575684346763,2500.01,5e:d1:79:26:08:94,90.00B,90.00B,23.956132173538208,17.949448108673096
Both,1575684346774,2500.006,9e:8f:39:6a:34:63,90.00B,90.00B,23.96442985534668,17.957589387893677
Both,1575684346786,2500.01,a6:d0:05:5b:5a:25,90.00B,90.00B,23.959604263305664,17.95289969444275
Both,1575684346771,2500.006,d2:a7:ab:0c:49:7a,90.00B,90.00B,24.010520458221436,18.003787755966187
Both,1575684346827,2500.006,12:88:ca:4a:e8:34,90.00B,90.00B,23.955305576324463,17.948480129241943
Both,1575684346806,2500.006,ea:a5:a6:83:86:ae,90.00B,90.00B,23.982452869415283,17.975717067718506
Both,1575684346803,2500.01,5a:4c:42:6c:40:d9,90.00B,90.00B,23.99178123474121,17.985082149505615
Both,1575684346795,2500.006,e2:5e:bb:5b:a0:2e,90.00B,90.00B,24.03551435470581,18.028814792633057
Both,1575684346720,2499.998,f6:2e:b7:18:ed:76,90.00B,180.00B,24.10262894630432,18.09597086906433
Both,1575684346766,2500.01,d6:22:90:56:32:b9,90.00B,90.00B,24.06601595878601,18.059345722198486
Both,1575684346784,2500.01,06:d6:75:db:cc:b5,90.00B,90.00B,24.04455018043518,18.037760734558105
Both,1575684346767,2500.01,e2:50:3a:c0:ce:c1,90.00B,180.00B,24.076465368270874,18.069794416427612
Both,1575684346719,2499.998,da:b3:17:26:f6:cb,90.00B,90.00B,24.119014501571655,18.112051725387573
Both,1575684346726,2499.998,0a:c3:a0:a6:8d:85,90.00B,90.00B,24.11417317390442,18.107372283935547
Both,1575684346812,2500.01,3a:f7:f1:ba:15:b3,90.00B,90.00B,24.037711143493652,18.031020879745483
Both,1575684346753,2500.002,42:55:59:1a:e8:b5,90.00B,90.00B,24.113589763641357,18.10692310333252
Both,1575684346760,2500.002,66:55:f4:11:a7:f3,90.00B,90.00B,24.110342979431152,18.10350775718689
Both,1575684346729,2499.998,e2:04:83:78:67:b3,90.00B,90.00B,24.142773389816284,18.136026620864868
Both,1575684346727,2499.998,7e:40:63:56:42:9c,90.00B,90.00B,24.142629861831665,18.135886669158936
Both,1575684346762,2500.006,12:1b:3d:51:ea:10,90.00B,90.00B,24.10945987701416,18.102784633636475
