In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575684348676,2500.002,e6:4c:cb:64:16:92,176.00B,90.00B,23.370375871658325,17.36354660987854
Both,1575684348618,2500.01,1e:3c:1f:9a:d6:1f,90.00B,90.00B,23.5538387298584,17.547111988067627
Both,1575684348633,2500.01,5e:0f:94:fd:5d:02,90.00B,90.00B,23.622769355773926,17.616044759750366
Both,1575684348626,2500.012,b2:5b:1d:79:0e:07,90.00B,90.00B,23.652413845062256,17.645062923431396
Both,1575684348728,2500.01,9e:13:80:5c:c8:cd,90.00B,180.00B,23.5594482421875,17.552706956863403
Both,1575684348607,2500.006,26:ea:90:5a:56:56,90.00B,90.00B,23.749210834503174,17.742491245269775
Both,1575684348619,2500.038,f2:3f:8a:ed:58:4c,90.00B,90.00B,23.769495248794556,17.762735605239868
Both,1575684348624,2499.998,aa:c0:a1:7e:fa:a0,90.00B,90.00B,23.77982449531555,17.7731032371521
Both,1575684348609,2499.998,6e:ea:da:66:3c:18,90.00B,90.00B,23.804389715194702,17.797516345977783
Both,1575684348656,2500.038,86:53:22:c4:9b:39,90.00B,176.00B,23.765971183776855,17.76451826095581
Both,1575684348650,2499.998,2e:85:89:36:f2:da,90.00B,90.00B,23.770959854125977,17.764176845550537
Both,1575684348639,2499.998,b6:3d:06:ab:17:81,90.00B,90.00B,23.794538021087646,17.787813425064087
Both,1575684348699,2500.004,a2:a0:82:49:43:15,90.00B,90.00B,23.787654638290405,17.780885696411133
Both,1575684348714,2500.038,7e:0e:e1:26:c1:1a,90.00B,90.00B,23.806803464889526,17.799985647201538
Both,1575684348718,2500.006,4e:2a:23:de:66:90,90.00B,90.00B,23.828275442123413,17.821547031402588
Both,1575684348604,2500.01,6a:11:12:00:7e:29,176.00B,90.00B,23.94294762611389,17.936203479766846
Both,1575684348619,2500.01,22:cc:31:e7:b0:4d,90.00B,90.00B,23.930771350860596,17.924020528793335
Both,1575684348649,2500.01,f6:a2:ca:ca:84:26,180.00B,176.00B,23.932388305664062,17.925671339035034
Both,1575684348676,2500.004,a2:5d:4e:89:d4:f7,90.00B,90.00B,23.908157348632812,17.901373386383057
Both,1575684348591,2500.01,9e:47:d3:23:b3:fd,90.00B,90.00B,24.01548480987549,18.008744478225708
Both,1575684348657,2500.01,f6:24:c2:1a:d6:23,90.00B,90.00B,23.945067405700684,17.938268184661865
Both,1575684348714,2500.004,1e:84:44:06:b6:9a,90.00B,90.00B,23.901073455810547,17.893986225128174
Both,1575684348618,2500.008,46:da:d5:fe:79:3f,90.00B,90.00B,24.012869119644165,18.00613236427307
Both,1575684348639,2500.01,b2:e3:9d:20:34:06,180.00B,90.00B,23.996994733810425,17.99022650718689
Both,1575684348734,2500.01,b2:c1:66:41:1e:22,90.00B,90.00B,23.919185638427734,17.912441730499268
Both,1575684348583,2499.998,ee:e3:89:52:98:d2,176.00B,176.00B,24.0746750831604,18.067733764648438
Both,1575684348615,2500.01,e2:07:70:5c:fe:39,90.00B,90.00B,24.05603337287903,18.049208164215088
Both,1575684348608,2500.008,42:4d:c2:22:d1:d0,90.00B,90.00B,24.075664281845093,18.06892991065979
Both,1575684348637,2500.006,5e:b1:00:1b:d8:33,90.00B,90.00B,24.054962396621704,18.048154830932617
Both,1575684348663,2500.006,3a:f4:2a:37:2d:d6,90.00B,176.00B,24.03420114517212,18.027406215667725
Both,1575684348691,2500.01,4a:ab:c0:ea:ab:18,90.00B,90.00B,24.015244960784912,18.008520364761353
Both,1575684348592,2499.998,56:07:83:a1:ff:9e,90.00B,90.00B,24.121161937713623,18.11405301094055
Both,1575684348543,2500.002,0a:e8:4c:d8:13:9f,90.00B,90.00B,24.17192554473877,18.16506600379944
Both,1575684348579,2500.002,56:db:55:0f:a3:39,90.00B,90.00B,24.135334014892578,18.128562927246094
Both,1575684348633,2499.998,5e:fa:a0:2d:f6:23,90.00B,90.00B,24.086084604263306,18.08493995666504
Both,1575684348742,2500.01,da:be:d7:f5:b9:8c,180.00B,90.00B,23.98846125602722,17.98134160041809
Both,1575684348649,2500.006,7a:f7:28:34:70:23,90.00B,90.00B,24.095922470092773,18.08916711807251
Both,1575684348665,2499.998,0a:59:44:81:1a:57,90.00B,90.00B,24.089000701904297,18.082189798355103
Both,1575684348584,2500.038,c2:ea:12:f1:28:e1,90.00B,90.00B,24.172398328781128,18.169740200042725
Both,1575684348607,2500.042,a6:b0:12:c8:3e:16,90.00B,90.00B,24.149981260299683,18.143205165863037
Both,1575684348620,2500.014,da:1b:5c:b1:29:6c,90.00B,90.00B,24.13107419013977,18.12437081336975
Both,1575684348627,2500.008,4a:47:42:f4:ba:1e,90.00B,90.00B,24.148585319519043,18.141809463500977
Both,1575684348679,2500.042,a2:cd:86:39:43:f3,90.00B,90.00B,24.09071969985962,18.083839893341064
Both,1575684348623,2499.998,be:fd:49:e5:1d:73,176.00B,90.00B,24.166017532348633,18.159300088882446
Both,1575684348713,2499.998,56:df:4b:43:a1:2a,90.00B,90.00B,24.06891179084778,18.062187910079956
Both,1575684348646,2500.0,d6:26:ec:34:88:8d,90.00B,176.00B,24.140637159347534,18.13388991355896
Both,1575684348614,2499.998,42:dc:4e:ef:6b:fe,176.00B,90.00B,24.18238615989685,18.175645351409912
Both,1575684348753,2500.006,92:dc:be:dd:35:e5,176.00B,90.00B,24.03802466392517,18.03123903274536
Both,1575684348621,2499.998,ce:ab:96:a2:cd:d8,90.00B,180.00B,24.184844255447388,18.177982330322266
Both,1575684348608,2499.998,3a:72:3a:b3:22:9e,90.00B,176.00B,24.197332859039307,18.190490007400513
Both,1575684348670,2500.002,22:d2:4b:ec:ac:c5,90.00B,90.00B,24.13174819946289,18.12499499320984
Both,1575684348728,2500.006,6a:08:74:00:bd:75,90.00B,90.00B,24.0743408203125,18.067591190338135
Both,1575684348620,2500.014,62:84:59:ac:49:1e,90.00B,176.00B,24.190965175628662,18.187433004379272
Both,1575684348699,2500.01,d2:8d:8a:53:14:fd,90.00B,90.00B,24.115838050842285,18.10905909538269
Both,1575684348622,2500.0,62:b4:ec:41:2f:77,90.00B,90.00B,24.193735122680664,18.18699550628662
Both,1575684348638,2499.998,9e:8e:b7:70:ec:ff,90.00B,90.00B,24.173280477523804,18.166587114334106
Both,1575684348749,2499.998,2e:9a:7d:07:55:a8,90.00B,90.00B,24.07336115837097,18.066651105880737
Both,1575684348719,2499.998,92:9d:c3:9e:72:43,90.00B,90.00B,24.09403419494629,18.08723545074463
Both,1575684348720,2500.01,42:05:41:e1:16:af,90.00B,90.00B,24.110578060150146,18.103793144226074
Both,1575684348671,2500.002,3a:e6:67:74:68:94,90.00B,90.00B,24.16621208190918,18.159386157989502
Both,1575684348733,2500.042,3e:78:b0:45:85:7f,90.00B,90.00B,24.10646343231201,18.0997052192688
Both,1575684348637,2500.038,36:9a:f9:75:18:2f,90.00B,90.00B,24.196595668792725,18.189847230911255
Both,1575684349479,2500.006,ae:4f:24:c1:d0:87,90.00B,90.00B,23.36143946647644,17.354634284973145
Both,1575684348727,2499.998,3e:5f:84:9b:81:ad,90.00B,90.00B,24.106213569641113,18.099382400512695
Both,1575684348707,2500.002,c6:a3:88:c0:02:f9,90.00B,90.00B,24.127204656600952,18.12045979499817
Both,1575684348718,2500.042,a6:fa:0a:c8:31:63,90.00B,90.00B,24.11933970451355,18.11263132095337
Both,1575684348644,2500.008,1e:ac:65:38:7e:1a,90.00B,180.00B,24.20925736427307,18.20253014564514
Both,1575684348682,2499.998,5e:aa:da:91:9d:af,90.00B,180.00B,24.179994344711304,18.17325782775879
Both,1575684348662,2500.002,7e:e2:b0:d4:44:9a,90.00B,90.00B,24.18898892402649,18.182267427444458
Both,1575684348685,2499.998,6e:09:e3:1e:66:14,90.00B,90.00B,24.174970626831055,18.168166399002075
Both,1575684348688,2500.002,ae:00:92:88:ec:f7,90.00B,90.00B,24.168423175811768,18.161555290222168
Both,1575684348633,2500.008,16:b5:03:c6:b2:ad,90.00B,90.00B,24.24075174331665,18.234008312225342
Both,1575684348706,2499.998,56:55:8b:64:38:8b,176.00B,90.00B,24.178763389587402,18.172035932540894
Both,1575684348731,2500.002,12:7e:73:10:23:eb,90.00B,90.00B,24.1513192653656,18.14460039138794
Both,1575684348678,2500.038,ae:af:66:50:d5:a2,176.00B,90.00B,24.212435960769653,18.205438137054443
Both,1575684348732,2500.01,f2:3b:fe:9d:26:3c,90.00B,90.00B,24.17766785621643,18.17096447944641
Both,1575684348562,2500.042,0a:8a:2a:26:1d:f0,176.00B,90.00B,24.387264490127563,18.380439281463623
Both,1575684348725,2500.002,16:d0:a7:75:5a:7b,90.00B,90.00B,24.232160568237305,18.225414752960205
Both,1575684348621,2500.038,9e:19:d7:e1:3b:98,90.00B,180.00B,24.347067832946777,18.340229749679565
Both,1575684348625,2500.006,06:b8:e8:4c:09:13,90.00B,90.00B,24.345460653305054,18.33852243423462
Both,1575684348741,2500.008,de:37:38:26:af:d5,90.00B,90.00B,24.231163024902344,18.223803281784058
Both,1575684348728,2500.038,8a:14:58:0c:0f:3c,90.00B,90.00B,24.24717903137207,18.240395069122314
Both,1575684348740,2500.008,32:b4:8e:1a:ea:57,90.00B,90.00B,24.238590002059937,18.231738567352295
Both,1575684348608,2500.042,5e:f0:e8:af:42:fc,90.00B,90.00B,24.388795852661133,18.382087230682373
Both,1575684348657,2500.006,a6:fc:43:97:f8:55,176.00B,90.00B,24.342702865600586,18.335963487625122
