In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575687220504,2500.01,1e:a9:cf:ad:b8:c0,180.00B,90.00B,23.05759048461914,17.05086851119995
Both,1575687220518,2500.004,8a:2c:d7:33:52:ab,90.00B,90.00B,23.08756399154663,17.08085322380066
Both,1575687220506,2499.998,ba:9e:0e:a4:e3:ba,176.00B,90.00B,23.12702703475952,17.1203351020813
Both,1575687220581,2500.006,8e:67:8c:c3:e4:9d,90.00B,90.00B,23.0596821308136,17.052995681762695
Both,1575687220517,2500.014,aa:a7:46:55:a0:f0,90.00B,90.00B,23.18030595779419,17.173630475997925
Both,1575687220540,2500.012,9e:0a:09:32:7d:60,90.00B,90.00B,23.16115093231201,17.154465675354004
Both,1575687220575,2500.012,ee:fe:8d:e5:3f:85,90.00B,90.00B,23.165175199508667,17.158510208129883
Both,1575687220694,2500.012,76:96:37:1b:26:25,90.00B,90.00B,23.0896053314209,17.082942247390747
Both,1575687220633,2500.01,2a:51:32:7f:a5:5d,90.00B,90.00B,23.16953992843628,17.162840127944946
Both,1575687220632,2500.012,0a:8b:39:5e:67:9e,176.00B,90.00B,23.18135356903076,17.174673795700073
Both,1575687220489,2500.0,46:ee:73:bf:1c:de,90.00B,90.00B,23.32474160194397,17.318069458007812
Both,1575687220490,2500.006,6a:11:fd:51:2e:50,90.00B,176.00B,23.34433126449585,17.337618350982666
Both,1575687220599,2500.012,6e:01:5c:07:08:39,90.00B,90.00B,23.27625346183777,17.269535779953003
Both,1575687220442,2500.008,2e:d6:f1:55:3f:e9,90.00B,90.00B,23.44315004348755,17.43633246421814
Both,1575687220484,2500.008,36:be:9c:ba:39:60,90.00B,90.00B,23.40996289253235,17.403305053710938
Both,1575687220694,2500.01,0a:04:1c:be:65:2b,90.00B,90.00B,23.20221972465515,17.195574283599854
Both,1575687220691,2500.002,ba:31:f7:3d:bf:60,176.00B,90.00B,23.217868089675903,17.211201906204224
