In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575687263712,2500.004,72:eb:5a:16:ca:76,90.00B,90.00B,23.038217067718506,17.031549215316772
Both,1575687263774,2500.01,56:f8:38:c1:9d:ed,90.00B,90.00B,22.979955673217773,16.973307847976685
Both,1575687263738,2500.008,ae:52:28:ff:83:ae,90.00B,90.00B,23.023977279663086,17.01728105545044
Both,1575687263774,2500.004,f2:3c:57:8b:54:2d,90.00B,90.00B,23.058892726898193,17.052145957946777
Both,1575687263709,2500.004,2a:9b:a5:90:67:e8,90.00B,176.00B,23.1693274974823,17.162678480148315
Both,1575687263711,2500.004,c6:6a:ff:00:09:13,90.00B,180.00B,23.169687509536743,17.163026332855225
Both,1575687263736,2500.01,76:2e:d6:e5:84:13,90.00B,180.00B,23.191755294799805,17.18494749069214
Both,1575687263828,2500.01,a6:92:f5:d4:11:19,90.00B,90.00B,23.158928632736206,17.1522536277771
Both,1575687263842,2500.004,52:70:42:36:98:5e,90.00B,90.00B,23.166247129440308,17.15948510169983
Both,1575687263814,2500.01,2a:c1:c4:77:31:43,90.00B,90.00B,23.187495231628418,17.180877685546875
Both,1575687263812,2500.008,9a:37:7b:35:45:ad,90.00B,90.00B,23.20050287246704,17.19383978843689
Both,1575687263821,2500.004,46:cb:bf:b8:c1:a9,90.00B,90.00B,23.194995403289795,17.188304662704468
Both,1575687263819,2500.004,ea:ca:f3:83:76:fa,90.00B,90.00B,23.205079555511475,17.19824719429016
Both,1575687263725,2500.008,4a:1f:8e:bf:4d:6a,90.00B,90.00B,23.30628514289856,17.299636602401733
Both,1575687263806,2500.002,a6:21:40:42:0a:37,90.00B,90.00B,23.22325873374939,17.216558933258057
Both,1575687263813,2500.012,4a:af:be:d4:e8:5c,90.00B,90.00B,23.24314522743225,17.23644709587097
Both,1575687263838,2500.0,0a:ed:80:e3:f2:ba,90.00B,90.00B,23.28014636039734,17.273482084274292
Both,1575687263715,2499.992,d2:f4:64:e6:55:3f,90.00B,90.00B,23.427379608154297,17.42073345184326
Both,1575687263767,2500.01,de:68:d4:fd:bc:ec,90.00B,90.00B,23.38239073753357,17.375043392181396
Both,1575687263736,2500.004,e6:23:91:a3:91:ba,90.00B,90.00B,23.422390937805176,17.4156174659729
Both,1575687263844,2500.006,e6:68:a8:57:34:4d,176.00B,90.00B,23.33060574531555,17.323940753936768
Both,1575687263727,2500.004,86:2f:43:1c:72:a5,90.00B,90.00B,23.453697681427002,17.44702172279358
Both,1575687263722,2500.008,9e:f9:6b:39:7c:4a,90.00B,90.00B,23.460233211517334,17.45338249206543
Both,1575687263859,2500.008,2e:cc:3c:aa:11:94,90.00B,90.00B,23.317551612854004,17.3108012676239
Both,1575687263853,2500.008,fa:0b:02:9a:f1:f0,90.00B,90.00B,23.334630012512207,17.327402353286743
Both,1575687263864,2500.01,fe:3e:b3:b0:32:f0,90.00B,90.00B,23.32996439933777,17.323291540145874
Both,1575687263777,2500.01,9a:13:ca:54:98:b5,90.00B,90.00B,23.417850017547607,17.41121554374695
Both,1575687263713,2500.008,ce:19:85:ce:e8:61,90.00B,90.00B,23.506293773651123,17.499629259109497
Both,1575687263850,2500.008,76:e5:e3:34:62:48,90.00B,176.00B,23.375471353530884,17.36881995201111
Both,1575687263809,2500.01,fe:2c:d0:7b:a9:33,90.00B,176.00B,23.42465329170227,17.418004989624023
Both,1575687263865,2500.004,3e:7c:bd:3c:e8:0d,90.00B,90.00B,23.374401807785034,17.367753982543945
Both,1575687263726,2499.994,ee:b8:87:2c:21:6a,90.00B,90.00B,23.516494512557983,17.509803295135498
Both,1575687263726,2500.012,6e:f7:85:2f:e1:6e,90.00B,90.00B,23.52881956100464,17.522168159484863
Both,1575687263725,2500.012,4e:d1:68:5e:aa:4a,90.00B,180.00B,23.543439388275146,17.53679394721985
Both,1575687263726,2500.012,26:61:9d:99:db:37,90.00B,90.00B,23.55074906349182,17.543715238571167
Both,1575687263737,2500.002,82:e1:2a:e0:b9:d1,90.00B,90.00B,23.548516750335693,17.541710138320923
Both,1575687263707,2500.002,06:d5:49:e3:d0:60,180.00B,180.00B,23.575806140899658,17.569167613983154
Both,1575687263711,2500.01,b2:78:1f:37:71:bf,90.00B,90.00B,23.584360122680664,17.577693462371826
Both,1575687263737,2499.994,82:05:53:8c:7b:e2,90.00B,90.00B,23.56345796585083,17.55679702758789
Both,1575687263725,2500.006,f2:db:42:f4:82:c9,90.00B,90.00B,23.58840322494507,17.58167266845703
Both,1575687263715,2500.006,ba:db:79:f4:3c:d2,90.00B,90.00B,23.60175132751465,17.59511685371399
Both,1575687263739,2500.008,3a:6a:a0:79:64:cc,90.00B,90.00B,23.58850336074829,17.581613302230835
Both,1575687263724,2500.008,4a:fe:06:98:43:17,90.00B,90.00B,23.623146057128906,17.616472005844116
Both,1575687263859,2500.002,ae:5f:d8:50:f0:6b,90.00B,90.00B,23.496389627456665,17.489628076553345
Both,1575687263708,2500.012,36:6d:a8:28:01:dc,90.00B,90.00B,23.661654949188232,17.65480375289917
Both,1575687263811,2500.044,7a:82:06:df:8e:bf,90.00B,90.00B,23.566700220108032,17.56004786491394
Both,1575687263856,2500.044,0e:81:d4:9b:40:fb,90.00B,90.00B,23.5231294631958,17.51648187637329
Both,1575687263724,2500.006,4a:1c:f0:7e:21:5b,90.00B,90.00B,23.658589839935303,17.651872634887695
Both,1575687263819,2500.01,52:8e:6b:c4:13:99,90.00B,90.00B,23.57447123527527,17.56781554222107
Both,1575687263812,2500.012,be:f7:91:d3:b3:69,90.00B,90.00B,23.580854415893555,17.573979139328003
Both,1575687263827,2499.998,d6:ad:22:9f:f5:45,90.00B,90.00B,23.581889152526855,17.576095581054688
Both,1575687263769,2500.052,16:38:cc:c7:67:0b,180.00B,90.00B,23.655009269714355,17.648298740386963
Both,1575687263816,2500.01,3a:90:fb:04:7b:64,90.00B,180.00B,23.610305309295654,17.603364944458008
Both,1575687263814,2500.01,de:3f:8f:66:50:8c,90.00B,90.00B,23.633452653884888,17.626788854599
Both,1575687263830,2500.004,f6:6c:10:2a:d7:7a,90.00B,90.00B,23.623902082443237,17.61725640296936
Both,1575687263810,2500.01,16:cc:81:a4:59:40,176.00B,90.00B,23.657562732696533,17.650782823562622
Both,1575687263849,2500.002,7e:0f:fa:13:c5:1a,176.00B,90.00B,23.61877155303955,17.612038373947144
Both,1575687263767,2499.996,36:2c:7a:65:7a:71,90.00B,90.00B,23.70581340789795,17.699075937271118
Both,1575687263725,2500.006,02:0d:93:fe:08:d8,90.00B,176.00B,23.755621671676636,17.748957872390747
Both,1575687263770,2500.0,aa:bc:a5:99:36:8e,90.00B,90.00B,23.715922594070435,17.70927882194519
Both,1575687263712,2500.006,6e:14:18:db:2b:37,90.00B,90.00B,23.784068822860718,17.77730941772461
Both,1575687263711,2500.002,d2:d9:36:f6:5e:d9,90.00B,90.00B,23.786346197128296,17.779675722122192
Both,1575687263856,2500.008,36:46:b9:cd:90:f3,90.00B,90.00B,23.646443367004395,17.63965392112732
Both,1575687263714,2500.002,c2:bc:69:72:04:fc,90.00B,90.00B,23.777148246765137,17.770434856414795
Both,1575687263713,2500.01,a2:0f:a1:29:38:2e,90.00B,90.00B,23.79081082344055,17.784135341644287
Both,1575687263860,2500.0,8e:93:c4:2a:a9:6b,180.00B,90.00B,23.641360998153687,17.63468647003174
Both,1575687263709,2500.012,2a:ca:67:c2:07:38,90.00B,90.00B,23.841734409332275,17.835094213485718
Both,1575687263860,2500.008,92:46:26:86:61:ac,90.00B,90.00B,23.69432044029236,17.6876540184021
Both,1575687263829,2500.006,ee:c8:cd:e5:13:80,90.00B,176.00B,23.726892232894897,17.72022247314453
Both,1575687263714,2500.008,4a:16:84:7f:7c:76,90.00B,90.00B,23.851084232330322,17.844416856765747
Both,1575687263863,2500.008,32:65:47:5f:c0:56,90.00B,90.00B,23.70812177658081,17.70144772529602
Both,1575687263854,2500.0,c6:39:4c:18:28:38,90.00B,90.00B,23.73072075843811,17.723626852035522
Both,1575687263855,2500.008,4a:a2:be:53:90:a4,90.00B,90.00B,23.728591442108154,17.721736907958984
Both,1575687263726,2500.012,32:04:9a:b1:68:fd,90.00B,90.00B,23.863123893737793,17.856362342834473
Both,1575687263854,2500.008,4a:dc:68:9b:c4:f8,90.00B,90.00B,23.732774019241333,17.72598624229431
Both,1575687263715,2499.992,86:06:ea:99:ae:85,90.00B,90.00B,23.881916046142578,17.875135898590088
Both,1575687263820,2500.002,d2:43:ce:77:fd:0d,180.00B,90.00B,23.782792568206787,17.77594304084778
Both,1575687263713,2500.002,7a:65:5c:aa:94:17,90.00B,90.00B,23.89857506752014,17.89190649986267
Both,1575687263727,2499.992,36:9a:90:4b:10:c5,90.00B,90.00B,23.88652729988098,17.879838943481445
Both,1575687263738,2500.002,8e:b8:bd:d4:70:80,90.00B,90.00B,23.881186962127686,17.87451195716858
Both,1575687263711,2500.012,72:fc:cb:a0:a6:9f,90.00B,90.00B,23.907318353652954,17.90651559829712
Both,1575687263856,2500.01,b2:58:f5:4e:dc:61,90.00B,90.00B,23.769139528274536,17.762346029281616
Both,1575687263726,2500.002,62:80:7d:ed:d8:41,90.00B,90.00B,23.901196718215942,17.894484758377075
Both,1575687263774,2500.012,ae:0a:36:6d:45:6e,90.00B,90.00B,23.85487985610962,17.848161458969116
Both,1575687263727,2500.02,ce:26:80:28:84:2e,90.00B,90.00B,23.91070795059204,17.904048204421997
Both,1575687263737,2500.008,2e:0b:cc:30:de:29,90.00B,90.00B,23.896303415298462,17.889577388763428
Both,1575687263865,2500.02,fe:64:ea:59:ba:75,90.00B,90.00B,23.7696852684021,17.763007164001465
Both,1575687263711,2500.02,92:23:5e:33:37:9f,90.00B,90.00B,23.93052315711975,17.92379331588745
Both,1575687263815,2500.002,e2:36:a9:9e:a8:d6,90.00B,90.00B,23.82862091064453,17.821940660476685
Both,1575687263848,2500.01,9a:ed:89:20:c0:ac,90.00B,90.00B,23.778484582901,17.771820306777954
Both,1575687263737,2500.02,8a:f5:6e:b7:3f:f0,90.00B,90.00B,23.91596531867981,17.909271478652954
Both,1575687263736,2500.002,5a:b2:28:7b:68:2f,90.00B,90.00B,23.929142236709595,17.922479391098022
Both,1575687263775,2500.002,d6:44:d7:24:2e:5f,90.00B,176.00B,23.906094551086426,17.899434804916382
Both,1575687263739,2500.002,e2:da:cc:bd:82:79,90.00B,90.00B,23.94260811805725,17.935884714126587
Both,1575687263866,2500.002,1e:c0:1f:d9:3b:7b,180.00B,90.00B,23.817935943603516,17.811261892318726
Both,1575687263714,2500.012,06:c0:27:fa:2b:f0,90.00B,90.00B,23.97637939453125,17.96965193748474
Both,1575687263715,2500.02,4a:ac:ac:7c:31:c6,176.00B,90.00B,23.997795820236206,17.991113901138306
Both,1575687263717,2500.002,e6:85:17:45:78:5a,90.00B,90.00B,24.010743141174316,18.00405216217041
Both,1575687263864,2500.002,1a:a5:c5:93:f7:a6,90.00B,90.00B,23.856523036956787,17.849854469299316
Both,1575687263860,2500.008,32:f5:bf:ca:13:59,90.00B,90.00B,23.86087465286255,17.854618072509766
