In,Start Time,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575685736550,86:4a:48:81:ee:6d,90.00B,90.00B,22.925941228866577,16.91931128501892
Both,1575685736588,ce:f8:00:30:11:f7,90.00B,90.00B,22.948601961135864,16.941832542419434
Both,1575685736496,4a:6d:96:22:28:59,90.00B,90.00B,23.04893946647644,17.042303323745728
Both,1575685736560,f6:e8:2a:94:62:e1,90.00B,90.00B,22.994279146194458,16.987677097320557
Both,1575685736436,7a:75:44:35:1f:01,90.00B,90.00B,23.167400598526,17.160648107528687
Both,1575685736403,ce:fa:21:ee:61:d0,90.00B,90.00B,23.202338457107544,17.195721864700317
Both,1575685736493,46:03:a9:13:57:2b,90.00B,90.00B,23.129010677337646,17.122398614883423
Both,1575685736496,9e:00:9f:a0:b2:e8,176.00B,90.00B,23.13358783721924,17.126916646957397
Both,1575685736527,56:0a:a7:28:a7:11,90.00B,90.00B,23.107449531555176,17.100799560546875
Both,1575685736560,06:ea:01:07:9d:5c,90.00B,90.00B,23.082451105117798,17.07581925392151
Both,1575685736578,ae:96:22:f9:b2:ba,90.00B,90.00B,23.070560216903687,17.063968420028687
Both,1575685736534,12:a5:f7:4b:f1:76,90.00B,90.00B,23.115057706832886,17.10845947265625
Both,1575685736509,76:87:7b:2c:13:a4,90.00B,90.00B,23.140976667404175,17.13607406616211
Both,1575685736565,36:fe:7d:20:0b:2e,176.00B,90.00B,23.10051131248474,17.093880653381348
Both,1575685736516,72:65:0d:df:6d:60,90.00B,176.00B,23.10273241996765,17.09611415863037
Both,1575685736614,9e:57:ff:22:8c:2e,90.00B,90.00B,23.061274766921997,17.054669618606567
Both,1575685736502,ba:79:42:59:58:fd,176.00B,90.00B,23.17452120780945,17.167893409729004
Both,1575685736499,f2:d6:d1:01:b0:14,90.00B,90.00B,23.161777019500732,17.155125856399536
Both,1575685736510,42:45:ea:65:6b:6b,90.00B,90.00B,23.171273946762085,17.164650917053223
Both,1575685736574,fa:98:07:c1:d0:e2,90.00B,176.00B,23.111989974975586,17.105563640594482
Both,1575685736494,a6:11:6b:25:e7:48,90.00B,90.00B,23.19294810295105,17.186347484588623
Both,1575685736485,12:47:b9:85:e0:98,90.00B,90.00B,23.208677768707275,17.202049493789673
Both,1575685736582,0e:a1:a4:b1:c7:0b,90.00B,90.00B,23.11549401283264,17.109724044799805
Both,1575685736609,e2:fa:be:86:c6:5d,90.00B,90.00B,23.08936643600464,17.08270263671875
Both,1575685736530,6e:a9:2d:b5:2c:85,90.00B,90.00B,23.18121337890625,17.17457866668701
Both,1575685736543,0e:87:f3:d0:fc:86,90.00B,90.00B,23.171632289886475,17.164991855621338
Both,1575685736589,12:dd:92:cc:55:87,90.00B,90.00B,23.126577615737915,17.119940757751465
Both,1575685736582,d6:8b:31:da:37:97,90.00B,90.00B,23.13905382156372,17.13245964050293
Both,1575685736616,fe:60:1f:e7:b4:88,90.00B,90.00B,23.11630153656006,17.109656810760498
Both,1575685736549,4e:65:37:1e:34:87,90.00B,176.00B,23.19277000427246,17.186148643493652
Both,1575685736553,72:6a:18:5b:bd:4a,90.00B,90.00B,23.19544267654419,17.188751697540283
Both,1575685736518,16:9e:f8:47:01:ae,90.00B,90.00B,23.232227563858032,17.22559666633606
Both,1575685736603,22:e7:21:41:5d:ec,90.00B,90.00B,23.149181365966797,17.14256238937378
Both,1575685736534,2a:f2:5d:e8:cb:d4,90.00B,90.00B,23.22652840614319,17.219935417175293
Both,1575685736614,96:dd:7d:61:9d:74,90.00B,90.00B,23.14823889732361,17.141557216644287
Both,1575685736604,26:c4:64:f0:65:ef,90.00B,90.00B,23.163984298706055,17.157241106033325
Both,1575685736549,b6:35:61:0a:0f:c1,90.00B,176.00B,23.230947971343994,17.22400975227356
Both,1575685736520,3e:46:95:c9:5f:2f,90.00B,90.00B,23.26358675956726,17.252859354019165
