In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575686058831,2500.01,4e:a2:29:ab:03:05,90.00B,176.00B,22.985524892807007,16.978800058364868
Both,1575686058788,2500.014,de:98:26:1e:b6:b6,90.00B,90.00B,23.03011989593506,17.023361682891846
Both,1575686058848,2500.006,82:6a:91:a8:d1:43,90.00B,90.00B,23.018712997436523,17.011799573898315
Both,1575686058844,2500.01,26:94:74:af:13:96,90.00B,90.00B,23.03975009918213,17.032974243164062
Both,1575686058921,2500.012,9e:01:d2:21:b3:bf,90.00B,90.00B,22.973998069763184,16.96730351448059
Both,1575686058843,2500.008,ca:65:b0:6c:8e:82,180.00B,90.00B,23.0629301071167,17.05610990524292
Both,1575686058837,2500.012,1a:c0:b0:e9:5a:a3,176.00B,90.00B,23.07425022125244,17.067450046539307
Both,1575686058797,2500.01,16:53:2b:2e:d9:fb,90.00B,90.00B,23.120404481887817,17.113347053527832
Both,1575686058847,2500.012,56:f5:4b:ac:26:af,90.00B,90.00B,23.087106943130493,17.08029294013977
Both,1575686058820,2500.01,46:e4:ef:2e:a2:2c,176.00B,90.00B,23.129382610321045,17.124495029449463
Both,1575686058860,2500.002,8a:40:7d:bb:97:9c,90.00B,90.00B,23.102761030197144,17.096039533615112
Both,1575686058851,2500.012,5e:5f:bc:cd:bd:66,90.00B,180.00B,23.114863872528076,17.108134746551514
Both,1575686058819,2500.006,a2:37:2e:e1:70:94,90.00B,90.00B,23.153074026107788,17.146327257156372
Both,1575686058826,2500.01,26:20:e4:43:4a:11,90.00B,90.00B,23.149309635162354,17.142111778259277
Both,1575686058806,2500.006,d6:84:21:74:9e:fe,90.00B,90.00B,23.178621292114258,17.1718966960907
Both,1575686058855,2500.01,86:ce:ae:0b:fe:07,90.00B,90.00B,23.1529860496521,17.146240949630737
Both,1575686058818,2500.01,72:b4:73:8f:18:e4,90.00B,90.00B,23.19066023826599,17.18394374847412
Both,1575686058872,2500.012,26:62:cf:e7:69:5e,90.00B,90.00B,23.141660690307617,17.13468360900879
Both,1575686058915,2500.0,b6:1e:9d:c5:07:15,90.00B,90.00B,23.10221004486084,17.095512866973877
