In,Start Time,Node Name,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575690055002,169.254.9.133,2500.01,ea:46:da:3a:d3:e4,180.00B,180.00B,22.97282314300537,16.96116828918457
Both,1575690055035,169.254.243.149,2500.004,ae:c0:9f:e2:82:fb,90.00B,90.00B,23.03011155128479,17.01761221885681
Both,1575690054983,169.254.238.77,2500.004,c2:0c:e3:d2:28:5f,90.00B,90.00B,23.12785053253174,17.116111993789673
Both,1575690055108,169.254.86.29,2500.002,7e:96:8d:7a:50:88,90.00B,90.00B,23.03884220123291,17.026931762695312
Both,1575690055093,169.254.166.37,2500.01,46:4f:0b:f2:f6:f8,90.00B,90.00B,23.05547523498535,17.043076038360596
Both,1575690055042,169.254.99.237,2500.012,de:7c:de:db:14:ba,90.00B,90.00B,23.105594396591187,17.093530893325806
Both,1575690055023,169.254.199.61,2500.01,86:b1:44:fa:cb:77,90.00B,90.00B,23.151886701583862,17.139259576797485
Both,1575690054982,169.254.112.237,2500.002,9a:8c:93:96:11:cb,90.00B,90.00B,23.256666898727417,17.244250774383545
Both,1575690055050,169.254.37.181,2500.008,4a:78:8c:28:17:57,90.00B,180.00B,23.200249195098877,17.188079118728638
Both,1575690054996,169.254.158.245,2500.006,2a:bd:2c:bb:5c:95,90.00B,90.00B,23.256652355194092,17.24445867538452
Both,1575690055035,169.254.170.213,2500.0,ae:33:34:65:3a:2e,176.00B,90.00B,23.24859118461609,17.236042737960815
Both,1575690055108,169.254.33.5,2500.008,aa:39:6e:db:de:4c,180.00B,180.00B,23.181040287017822,17.168724060058594
Both,1575690055055,169.254.29.189,2499.998,9a:dd:96:14:41:a5,90.00B,90.00B,23.25647807121277,17.2444589138031
Both,1575690055070,169.254.177.37,2500.008,82:28:eb:a5:bb:47,90.00B,176.00B,23.24757695198059,17.235718488693237
Both,1575690055054,169.254.171.245,2500.0,be:06:89:13:e4:3c,90.00B,90.00B,23.266594409942627,17.252508878707886
Both,1575690054987,169.254.208.141,2500.004,42:10:d6:35:d2:0a,90.00B,90.00B,23.337618350982666,17.325642824172974
Both,1575690055283,169.254.103.221,2500.006,66:f8:1d:12:fa:97,90.00B,90.00B,23.05723738670349,17.045392990112305
Both,1575690055047,169.254.179.189,2500.006,c6:ed:60:eb:ca:bf,90.00B,90.00B,23.323773860931396,17.311589241027832
Both,1575690055039,169.254.208.133,2500.004,9a:b2:ee:d5:06:91,90.00B,90.00B,23.35136604309082,17.33950662612915
Both,1575690055049,169.254.179.229,2500.006,e2:c7:5d:be:06:7a,176.00B,90.00B,23.341711044311523,17.329457998275757
Both,1575690055054,169.254.122.165,2500.006,3a:45:74:a5:83:91,90.00B,90.00B,23.419732570648193,17.40723156929016
Both,1575690055108,169.254.18.141,2500.008,c2:3a:de:9d:66:4c,90.00B,90.00B,23.37054681777954,17.35861849784851
Both,1575690054980,169.254.16.221,2500.01,3e:2e:04:a2:7c:95,90.00B,90.00B,23.49845814704895,17.486138820648193
Both,1575690055037,169.254.117.125,2500.002,52:38:95:6e:00:f1,90.00B,90.00B,23.44474768638611,17.431037187576294
Both,1575690055008,169.254.17.13,2500.01,0a:bb:17:e2:58:ca,90.00B,90.00B,23.49810481071472,17.48581552505493
Both,1575690054713,169.254.13.77,2500.01,f2:e5:a5:ce:37:9b,90.00B,90.00B,23.811609506607056,17.80470323562622
Both,1575690055021,169.254.160.189,2499.996,7e:f6:24:a9:66:63,90.00B,90.00B,23.502574920654297,17.490575075149536
Both,1575690055078,169.254.45.29,2500.0,da:7d:ab:63:52:83,90.00B,90.00B,23.483871936798096,17.471903562545776
Both,1575690055078,169.254.22.93,2500.01,06:7c:77:c7:fc:e0,90.00B,90.00B,23.485146522521973,17.473330974578857
Both,1575690054996,169.254.92.157,2500.008,ee:6e:73:42:94:72,90.00B,90.00B,23.570937395095825,17.55915069580078
Both,1575690055074,169.254.186.109,2500.008,d6:77:b4:e3:72:ec,90.00B,90.00B,23.494020700454712,17.481635808944702
Both,1575690055006,169.254.153.53,2500.012,72:46:c6:db:65:42,176.00B,90.00B,23.57897448539734,17.566912174224854
Both,1575690055072,169.254.44.205,2500.0,8e:bb:bf:1c:2d:0a,90.00B,90.00B,23.513296842575073,17.501229524612427
Both,1575690055106,169.254.45.21,2500.0,4a:19:a9:f7:9f:4c,90.00B,176.00B,23.489407300949097,17.48120427131653
Both,1575690055112,169.254.22.157,2500.01,4a:dd:f4:24:a0:af,90.00B,90.00B,23.501354694366455,17.489692449569702
Both,1575690054988,169.254.46.205,2500.008,fa:ce:d5:2e:3b:15,90.00B,176.00B,23.63682246208191,17.623807191848755
Both,1575690055020,169.254.153.141,2500.012,ea:d1:e0:c3:4f:55,90.00B,90.00B,23.629730701446533,17.6170814037323
Both,1575690055147,169.254.138.13,2500.008,02:86:47:7d:6f:b9,90.00B,90.00B,23.545856952667236,17.533509492874146
Both,1575690055024,169.254.245.37,2500.008,8a:94:58:32:5f:06,90.00B,90.00B,23.637261390686035,17.62523579597473
Both,1575690055039,169.254.47.45,2500.008,b6:87:d2:68:be:cd,90.00B,90.00B,23.626369953155518,17.614548206329346
