In,Start Time,Node Name,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575690055395,169.254.86.149,2500.002,06:65:ff:10:28:76,90.00B,90.00B,23.035014867782593,17.023036003112793
Both,1575690055415,169.254.145.109,2500.004,2e:4a:6e:4a:6a:eb,90.00B,90.00B,23.10066032409668,17.088327646255493
Both,1575690055464,169.254.244.237,2500.01,66:39:29:56:0c:3c,90.00B,90.00B,23.09387731552124,17.08186149597168
Both,1575690055442,169.254.199.237,2500.01,de:ef:35:9e:ca:44,90.00B,90.00B,23.12294340133667,17.110811471939087
Both,1575690055341,169.254.175.237,2500.008,56:e5:08:48:46:43,90.00B,90.00B,23.232131958007812,17.219794511795044
Both,1575690055373,169.254.46.253,2500.004,c2:7d:b5:82:d3:8d,90.00B,90.00B,23.21823477745056,17.20622420310974
Both,1575690055335,169.254.123.141,2500.006,e2:85:f6:bb:4e:a6,90.00B,90.00B,23.27932071685791,17.266920804977417
Both,1575690055351,169.254.19.45,2499.998,0a:02:02:07:2b:e0,90.00B,176.00B,23.26750111579895,17.255099534988403
Both,1575690055317,169.254.179.253,2500.006,ea:8e:de:0e:62:5c,90.00B,90.00B,23.31352472305298,17.301475286483765
Both,1575690055310,169.254.7.125,2500.008,f2:df:f1:61:59:dd,90.00B,90.00B,23.328277349472046,17.315885066986084
Both,1575690055493,169.254.33.165,2500.008,96:36:42:59:85:ef,90.00B,90.00B,23.15657138824463,17.14406132698059
Both,1575690055394,169.254.30.141,2499.998,8e:bb:da:16:10:24,90.00B,176.00B,23.2632896900177,17.25143074989319
Both,1575690055375,169.254.20.205,2500.008,8a:cc:9d:8f:c9:8a,90.00B,90.00B,23.288606882095337,17.276312589645386
Both,1575690055452,169.254.113.141,2500.002,2e:e4:f0:06:8d:21,90.00B,90.00B,23.22813105583191,17.215604782104492
Both,1575690055473,169.254.9.229,2500.01,9a:eb:d4:9d:b2:6b,90.00B,176.00B,23.24198031425476,17.229698419570923
Both,1575690055494,169.254.40.157,2500.008,b2:61:bc:b4:65:38,90.00B,90.00B,23.186360359191895,17.174103021621704
Both,1575690055413,169.254.73.5,2499.998,ca:aa:1a:1c:e1:d7,90.00B,90.00B,23.27303147315979,17.260648250579834
Both,1575690055411,169.254.8.5,2500.008,1a:58:74:06:26:00,90.00B,90.00B,23.31233239173889,17.29990315437317
Both,1575690055361,169.254.122.93,2500.01,82:e1:50:ae:4d:40,180.00B,90.00B,23.37318444252014,17.36127209663391
Both,1575690055325,169.254.118.61,2500.002,da:25:eb:f7:67:ee,90.00B,90.00B,23.44368863105774,17.43166995048523
Both,1575690055361,169.254.29.205,2499.998,46:ac:e3:81:ca:96,90.00B,90.00B,23.422412872314453,17.410231828689575
Both,1575690055447,169.254.208.229,2500.004,42:4f:54:89:d7:0a,90.00B,176.00B,23.37735652923584,17.36532235145569
