In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575688820337,2500.004,1e:c8:5b:3f:17:d7,90.00B,90.00B,23.19572138786316,17.188940286636353
Both,1575688820333,2500.006,8e:87:2a:b7:1c:94,90.00B,90.00B,23.207403898239136,17.20054531097412
Both,1575688820348,2499.998,ea:a4:e7:13:d9:be,90.00B,90.00B,23.192748546600342,17.185933828353882
Both,1575688820406,2500.008,1e:39:2c:f2:8d:94,90.00B,90.00B,23.180049180984497,17.173156023025513
Both,1575688820391,2500.006,a6:3c:fb:2a:30:50,90.00B,90.00B,23.234935760498047,17.228081703186035
Both,1575688820445,2500.01,4e:c5:18:94:0f:04,90.00B,90.00B,23.194234132766724,17.187429904937744
Both,1575688820251,2500.012,1a:66:22:ca:32:84,90.00B,90.00B,23.42774987220764,17.42103362083435
Both,1575688820269,2500.012,22:74:df:8e:03:d3,90.00B,180.00B,23.418004035949707,17.411269426345825
Both,1575688820500,2500.006,1e:bf:08:77:02:43,90.00B,90.00B,23.198293924331665,17.19137954711914
Both,1575688820293,2500.002,ea:e9:cf:f9:02:b0,180.00B,90.00B,23.420037984848022,17.413309574127197
Both,1575688820297,2500.02,72:ee:7b:ef:68:76,90.00B,90.00B,23.43355631828308,17.426844596862793
Both,1575688820500,2499.99,06:40:cc:48:fc:41,90.00B,180.00B,23.26180934906006,17.25508451461792
Both,1575688820330,2500.01,1a:50:c1:ea:2e:55,90.00B,90.00B,23.461261987686157,17.454397439956665
Both,1575688820387,2500.006,36:25:e6:97:d9:00,90.00B,90.00B,23.42005205154419,17.413328886032104
Both,1575688820325,2500.01,46:6d:d8:2a:48:4f,90.00B,90.00B,23.494940519332886,17.48823833465576
Both,1575688820382,2500.002,aa:c6:da:01:5f:7d,90.00B,90.00B,23.44649600982666,17.439764261245728
Both,1575688820315,2500.012,8e:89:b6:bb:78:9b,90.00B,90.00B,23.553617477416992,17.546853065490723
Both,1575688820461,2500.008,6a:00:1d:80:4d:d8,176.00B,90.00B,23.448354482650757,17.441546201705933
Both,1575688820460,2500.004,ce:dd:56:43:2e:94,90.00B,90.00B,23.4550724029541,17.44831919670105
Both,1575688820309,2500.008,56:9d:ce:b7:9a:3c,90.00B,90.00B,23.61161231994629,17.604883909225464
Both,1575688820527,2500.006,96:05:53:28:4c:6b,90.00B,90.00B,23.406847715377808,17.400078535079956
Both,1575688820405,2500.01,56:50:21:1f:42:d0,90.00B,90.00B,23.545572757720947,17.538841724395752
Both,1575688820247,2500.002,66:67:e6:75:c2:d7,90.00B,90.00B,23.717851638793945,17.710992336273193
Both,1575688820466,2500.01,e2:d2:c2:bc:a5:22,90.00B,90.00B,23.500920295715332,17.494207620620728
Both,1575688820510,2500.008,6e:a5:37:54:36:ec,90.00B,90.00B,23.46074628829956,17.453958749771118
Both,1575688820372,2500.012,82:26:68:a5:59:c2,90.00B,90.00B,23.662018537521362,17.65525221824646
Both,1575688820323,2500.01,26:9c:ad:69:a8:29,90.00B,90.00B,23.712444305419922,17.705729484558105
Both,1575688820279,2500.014,5a:8a:5f:fe:13:79,90.00B,90.00B,23.788995504379272,17.782196283340454
Both,1575688820350,2500.01,d2:e4:af:4a:2f:a6,90.00B,90.00B,23.72142481803894,17.71470069885254
Both,1575688820353,2500.002,4e:99:5f:bd:e6:b5,90.00B,90.00B,23.744611024856567,17.73786735534668
Both,1575688820327,2500.012,06:35:d7:ef:e2:f9,90.00B,90.00B,23.767173051834106,17.760424613952637
Both,1575688820363,2500.01,4e:ba:5f:e7:df:6e,90.00B,90.00B,23.73785972595215,17.731117963790894
Both,1575688820412,2500.01,96:8e:6f:d7:dd:f4,90.00B,90.00B,23.68099570274353,17.674278020858765
Both,1575688820387,2500.012,0a:fa:b4:73:fb:77,90.00B,90.00B,23.706655263900757,17.69992995262146
Both,1575688820381,2500.002,26:ac:7f:9a:59:d6,176.00B,90.00B,23.72535991668701,17.718626976013184
Both,1575688820328,2500.048,7e:7e:04:1c:be:04,90.00B,90.00B,23.782753944396973,17.77603316307068
Both,1575688820483,2500.012,62:c2:e1:e5:8b:3b,90.00B,90.00B,23.62684416770935,17.620107412338257
Both,1575688820431,2500.002,8e:7d:1a:56:78:39,90.00B,90.00B,23.68440318107605,17.677653789520264
Both,1575688820447,2500.01,da:c8:f4:2f:53:44,90.00B,90.00B,23.669443607330322,17.662711143493652
Both,1575688820279,2500.002,1e:4d:8c:84:45:50,180.00B,90.00B,23.862510681152344,17.855770587921143
Both,1575688820411,2500.01,7e:53:31:2f:9b:3e,90.00B,90.00B,23.73414158821106,17.727476358413696
Both,1575688820385,2499.998,26:15:fa:38:f3:08,90.00B,176.00B,23.75023865699768,17.743483066558838
Both,1575688820399,2500.006,be:50:ab:8e:4d:76,90.00B,90.00B,23.744908809661865,17.737422704696655
Both,1575688820434,2499.992,22:35:99:3b:58:53,90.00B,90.00B,23.704939603805542,17.698407888412476
Both,1575688820417,2500.006,2a:23:26:52:73:89,90.00B,90.00B,23.732689380645752,17.72593927383423
