In,Start Time,Current Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575688295869,2500.002,86:76:2f:ec:8c:8d,180.00B,90.00B,23.137287139892578,17.13054919242859
Both,1575688295831,2499.994,a2:2b:1f:71:67:70,90.00B,90.00B,23.18691396713257,17.18027424812317
Both,1575688295867,2500.008,f6:68:fb:b8:09:a5,90.00B,90.00B,23.195647478103638,17.18850064277649
Both,1575688295975,2500.002,da:6d:fe:e7:8f:ea,90.00B,90.00B,23.132439851760864,17.125694751739502
Both,1575688295840,2500.008,2e:5d:8f:b7:ce:96,90.00B,90.00B,23.307634115219116,17.300902605056763
Both,1575688295958,2500.006,d2:5a:9e:6d:94:65,90.00B,90.00B,23.357261419296265,17.350531816482544
Both,1575688295843,2500.008,d2:75:49:1b:f3:f1,90.00B,90.00B,23.528303623199463,17.521592140197754
Both,1575688295850,2500.01,52:15:6a:0b:aa:46,90.00B,90.00B,23.556227684020996,17.549535036087036
Both,1575688295871,2499.998,d6:71:e2:fa:b4:ff,176.00B,90.00B,23.600210189819336,17.593377828598022
Both,1575688295956,2500.058,32:81:33:98:e9:30,90.00B,90.00B,23.52460217475891,17.5178804397583
Both,1575688295847,2499.998,06:6e:ed:f7:c5:5b,90.00B,90.00B,23.639168977737427,17.632307767868042
Both,1575688295956,2500.008,86:32:83:61:cd:1c,90.00B,90.00B,23.548966884613037,17.542221069335938
Both,1575688295857,2500.004,ea:85:d1:bb:d2:69,90.00B,90.00B,23.652445554733276,17.64573860168457
Both,1575688295907,2499.992,ba:c9:c6:a8:8d:da,90.00B,90.00B,23.604739904403687,17.597896337509155
Both,1575688295851,2500.012,e2:f6:92:e2:9c:1e,180.00B,90.00B,23.675540685653687,17.66856098175049
Both,1575688295923,2499.998,c6:57:42:65:6f:8d,90.00B,90.00B,23.60645055770874,17.599687099456787
Both,1575688295947,2499.998,46:7e:71:8c:ff:2c,90.00B,90.00B,23.600863456726074,17.594017028808594
Both,1575688295901,2499.992,7a:24:22:f5:5a:fc,90.00B,90.00B,23.64176368713379,17.635035753250122
Both,1575688295875,2500.006,b2:6d:89:cb:08:9d,90.00B,90.00B,23.67560052871704,17.668724060058594
Both,1575688295868,2500.01,5a:c1:1b:97:63:09,90.00B,90.00B,23.699767112731934,17.69302535057068
Both,1575688295841,2500.01,e6:2a:a3:89:f8:2c,90.00B,90.00B,23.727351188659668,17.72058129310608
Both,1575688295875,2500.006,92:91:82:4e:13:46,90.00B,90.00B,23.704203605651855,17.697301626205444
Both,1575688295965,2499.992,36:50:24:b0:68:71,90.00B,90.00B,23.620282649993896,17.613435983657837
Both,1575688295866,2500.01,a2:12:79:d1:cf:0c,90.00B,90.00B,23.721925020217896,17.715168237686157
Both,1575688295960,2500.002,8a:e3:6b:22:73:74,90.00B,90.00B,23.635034799575806,17.627983808517456
Both,1575688295929,2500.01,16:69:5e:4d:38:59,90.00B,90.00B,23.687058210372925,17.68031144142151
