Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575687022716,2500.01,56:c5:9d:9f:45:9c,90.00B,90.00B,5.207633972167969e-06,4.9013137817382814e-06,-3.0632019042968765e-07
1575687022983,2500.002,0a:2b:dd:c5:60:63,176.00B,90.00B,4.39157485961914e-06,4.018974304199219e-06,-3.726005554199217e-07
1575687023015,2500.002,d2:a1:bf:b6:8f:0b,90.00B,90.00B,4.3923854827880855e-06,4.139852523803711e-06,-2.525329589843743e-07
1575687023025,2500.002,16:f1:55:e3:05:9a,90.00B,180.00B,4.298591613769531e-06,4.165267944335938e-06,-1.3332366943359304e-07
1575687023067,2500.01,72:10:36:7d:3e:85,90.00B,176.00B,4.313087463378906e-06,3.944587707519531e-06,-3.6849975585937507e-07
1575687023067,2500.01,aa:b5:56:b5:1a:24,90.00B,90.00B,4.340410232543945e-06,3.980636596679688e-06,-3.5977363586425705e-07
1575687023019,2500.012,3a:f2:0a:44:cf:6d,90.00B,90.00B,4.288911819458008e-06,4.332828521728516e-06,4.391670227050795e-08
1575687023011,2499.994,72:b4:56:c1:0f:7a,90.00B,90.00B,5.2595138549804684e-06,5.1908969879150394e-06,-6.861686706542901e-08
1575687023026,2500.008,fe:46:2d:92:74:f1,90.00B,90.00B,4.860401153564453e-06,4.45709228515625e-06,-4.0330886840820254e-07
1575687023023,2500.008,2e:0a:dd:3a:b5:85,90.00B,90.00B,4.815292358398437e-06,4.490041732788086e-06,-3.2525062561035163e-07
1575687023019,2499.994,e2:e5:07:38:b2:a5,90.00B,90.00B,5.20620346069336e-06,5.115365982055664e-06,-9.083747863769537e-08
1575687023023,2500.004,a6:a4:d1:a5:2e:ee,90.00B,90.00B,4.7656059265136715e-06,4.346132278442383e-06,-4.194736480712889e-07
1575687023079,2500.01,56:2a:b8:36:11:4a,90.00B,90.00B,4.3534755706787106e-06,4.190397262573242e-06,-1.6307830810546815e-07
1575687023023,2500.002,c6:ef:a7:21:69:a4,90.00B,90.00B,4.65235710144043e-06,4.589557647705078e-06,-6.279945373535174e-08
1575687023058,2500.012,f2:30:68:b6:20:1a,90.00B,90.00B,4.308986663818359e-06,4.240179061889649e-06,-6.880760192871067e-08
1575687023035,2500.002,d2:6d:d4:19:2d:76,90.00B,90.00B,4.56838607788086e-06,4.608774185180664e-06,4.038810729980458e-08
1575687023037,2500.002,ba:e1:05:6f:59:d3,90.00B,90.00B,4.700613021850586e-06,4.725074768066406e-06,2.4461746215820054e-08
1575687023100,2500.01,fa:64:96:a5:71:17,90.00B,90.00B,4.332780838012695e-06,4.158639907836914e-06,-1.7414093017578113e-07
1575687023130,2500.004,ba:6d:a6:aa:71:bc,90.00B,90.00B,4.0374755859375e-06,4.07257080078125e-06,3.509521484375037e-08
1575687023032,2500.004,9e:67:87:c1:ea:0f,90.00B,90.00B,4.9589157104492185e-06,4.698753356933593e-06,-2.6016235351562515e-07
1575687023038,2500.008,e6:67:1e:c2:15:58,176.00B,90.00B,4.972028732299804e-06,4.550647735595703e-06,-4.213809967041012e-07
1575687023016,2500.004,72:a3:f2:65:79:d6,90.00B,90.00B,5.328559875488281e-06,5.004310607910156e-06,-3.2424926757812486e-07
1575687023088,2500.052,52:f2:75:59:9d:02,90.00B,90.00B,5.23529052734375e-06,4.576826095581055e-06,-6.584644317626955e-07
1575687023064,2500.01,e6:8a:d0:76:60:36,90.00B,90.00B,5.219459533691406e-06,5.117464065551758e-06,-1.019954681396479e-07
1575687023050,2500.008,96:c0:5e:8d:a6:2e,90.00B,90.00B,4.915428161621094e-06,4.785442352294922e-06,-1.2998580932617217e-07
1575687023048,2500.01,66:c1:b7:37:c9:d7,90.00B,90.00B,4.851865768432617e-06,5.1798343658447265e-06,3.2796859741210904e-07
1575687023107,2500.012,1a:20:68:4d:8d:9e,90.00B,176.00B,4.591512680053711e-06,4.029083251953125e-06,-5.624294281005855e-07
1575687023058,2500.01,aa:ec:d5:36:c1:d4,90.00B,90.00B,5.003070831298828e-06,4.872179031372071e-06,-1.308917999267577e-07
1575687023015,2500.01,56:31:7b:1a:f1:86,90.00B,90.00B,5.3821086883544925e-06,4.914236068725586e-06,-4.678726196289068e-07
1575687023040,2500.004,92:df:a3:24:40:dd,176.00B,90.00B,5.151510238647461e-06,5.0323009490966795e-06,-1.1920928955078125e-07
1575687023045,2500.006,46:99:68:37:9a:43,90.00B,90.00B,6.037330627441406e-06,5.141305923461914e-06,-8.960247039794919e-07
1575687023040,2500.01,9a:9d:c6:5e:33:a4,90.00B,90.00B,5.615568161010742e-06,5.194425582885742e-06,-4.211425781250002e-07
1575687023057,2500.014,e6:6b:19:9c:2b:06,90.00B,90.00B,5.992460250854492e-06,5.1824569702148435e-06,-8.100032806396487e-07
1575687023032,2500.012,36:da:bd:4c:ee:5e,90.00B,90.00B,5.375242233276367e-06,5.731344223022461e-06,3.561019897460939e-07
1575687023058,2500.008,92:7b:64:9a:dd:33,90.00B,90.00B,5.551433563232422e-06,5.023193359375e-06,-5.282402038574224e-07
1575687023101,2500.01,42:2f:4f:2f:83:b9,90.00B,90.00B,4.979467391967774e-06,4.830694198608398e-06,-1.4877319335937556e-07
1575687023047,2500.006,2e:30:8d:6d:ce:b2,90.00B,90.00B,5.2403450012207034e-06,5.1753997802734376e-06,-6.494522094726588e-08
1575687023011,2500.002,f6:6e:ff:f0:d9:cd,90.00B,90.00B,5.604171752929688e-06,5.4567813873291014e-06,-1.4739036560058633e-07
1575687023051,2500.008,e2:6f:d2:9d:a6:b7,90.00B,90.00B,5.069303512573242e-06,4.793739318847656e-06,-2.7556419372558576e-07
1575687023050,2500.006,e2:9d:13:1f:19:0d,90.00B,90.00B,5.347347259521484e-06,4.933500289916992e-06,-4.1384696960449245e-07
1575687023024,2500.01,82:57:48:01:58:e7,90.00B,90.00B,5.650043487548828e-06,5.645132064819336e-06,-4.9114227294925995e-09
1575687023059,2500.008,ba:c1:48:0b:c8:86,90.00B,90.00B,5.1204204559326175e-06,5.036544799804688e-06,-8.387565612792987e-08
1575687023108,2500.008,ba:5c:91:64:f6:ec,90.00B,90.00B,4.607963562011719e-06,4.3632030487060545e-06,-2.4476051330566453e-07
1575687023090,2500.004,e6:f4:66:3b:29:66,90.00B,90.00B,5.172967910766601e-06,5.217742919921875e-06,4.477500915527327e-08
1575687023042,2500.012,52:16:60:cc:74:b4,90.00B,90.00B,5.823135375976562e-06,5.602264404296875e-06,-2.2087097167968774e-07
1575687023093,2500.008,92:b2:a3:3b:6c:b9,90.00B,90.00B,4.95915412902832e-06,4.784727096557617e-06,-1.7442703247070318e-07
1575687023054,2500.0,92:5c:0f:fe:be:ca,90.00B,90.00B,4.9499988555908205e-06,5.042839050292969e-06,9.284019470214806e-08
1575687023057,2500.002,46:99:6b:d7:a9:16,90.00B,176.00B,5.5969715118408204e-06,5.4978370666503905e-06,-9.913444519042989e-08
1575687023095,2500.012,ea:ca:3a:df:f1:61,90.00B,90.00B,5.39703369140625e-06,4.944944381713867e-06,-4.520893096923829e-07
1575687023058,2500.01,ba:aa:a0:cf:1d:0d,90.00B,90.00B,5.181550979614258e-06,5.331945419311524e-06,1.503944396972658e-07
1575687023121,2500.008,d6:77:81:05:87:cc,90.00B,90.00B,4.990625381469727e-06,5.06587028503418e-06,7.52449035644531e-08
1575687023081,2499.978,d6:98:60:a5:1b:85,90.00B,90.00B,5.548954010009766e-06,5.5859088897705075e-06,3.695487976074161e-08
1575687023034,2500.008,ba:1a:5e:56:40:e9,90.00B,90.00B,5.629396438598633e-06,5.349636077880859e-06,-2.7976036071777365e-07
1575687023066,2500.01,52:f9:b2:15:2e:49,90.00B,90.00B,5.3939342498779295e-06,5.622434616088867e-06,2.2850036621093775e-07
1575687023037,2500.01,12:22:12:6a:a6:3e,90.00B,90.00B,5.40928840637207e-06,5.080604553222656e-06,-3.2868385314941376e-07
1575687023063,2500.01,76:c3:de:18:62:ca,90.00B,90.00B,5.199623107910157e-06,5.4762840270996095e-06,2.7666091918945294e-07
1575687023093,2500.01,e2:03:18:ef:26:fe,90.00B,180.00B,5.263996124267578e-06,5.037784576416015e-06,-2.26211547851563e-07
1575687023099,2500.008,8a:75:f6:cd:92:33,90.00B,90.00B,5.315399169921875e-06,5.110931396484375e-06,-2.044677734374995e-07
1575687023097,2500.008,4e:bb:bf:94:7b:3b,180.00B,90.00B,5.231809616088867e-06,5.128335952758789e-06,-1.0347366333007838e-07
1575687023085,2500.012,d6:d8:a3:46:4e:4b,90.00B,180.00B,4.426670074462891e-06,5.395650863647461e-06,9.689807891845702e-07
1575687023059,2500.002,aa:01:54:8b:e4:9d,90.00B,90.00B,5.572748184204101e-06,5.568933486938477e-06,-3.81469726562458e-09
1575687023067,2500.002,0e:37:99:1f:ac:66,90.00B,90.00B,5.13758659362793e-06,5.049276351928711e-06,-8.831024169921876e-08
1575687023076,2500.004,ea:86:76:5a:e7:12,176.00B,90.00B,5.564975738525391e-06,5.522441864013672e-06,-4.2533874511718724e-08
1575687023102,2500.004,6a:a0:04:14:8c:2b,90.00B,90.00B,4.798316955566406e-06,4.854488372802734e-06,5.61714172363285e-08
1575687023074,2500.0,ce:29:06:46:56:da,90.00B,90.00B,5.0788402557373045e-06,5.109500885009766e-06,3.066062927246148e-08
1575687023066,2500.01,6a:90:9e:e4:0c:e4,90.00B,90.00B,5.702257156372071e-06,5.595064163208008e-06,-1.0719299316406255e-07
1575687023074,2500.012,fa:9e:54:d6:06:9c,90.00B,90.00B,6.055641174316406e-06,5.8013439178466795e-06,-2.542972564697268e-07
1575687023136,2500.008,0a:20:fb:1f:24:94,90.00B,90.00B,5.297183990478516e-06,5.004119873046875e-06,-2.930641174316403e-07
1575687023103,2500.004,0e:88:f7:a5:35:94,180.00B,90.00B,5.4255008697509765e-06,5.273246765136719e-06,-1.5225410461425788e-07
1575687023089,2500.004,2e:af:7a:e1:5d:4e,90.00B,90.00B,5.273103713989258e-06,5.036497116088867e-06,-2.366065979003906e-07
1575687023104,2500.004,ae:ea:56:00:5a:05,90.00B,90.00B,4.857254028320313e-06,4.612827301025391e-06,-2.4442672729492227e-07
1575687023091,2500.01,86:a5:1c:fc:ec:68,90.00B,176.00B,5.197238922119141e-06,4.77437973022461e-06,-4.2285919189453084e-07
1575687023037,2500.01,36:c6:05:e5:9f:4f,90.00B,90.00B,5.804824829101563e-06,5.518484115600586e-06,-2.863407135009767e-07
1575687023187,2500.004,4e:f6:6b:2e:de:bc,90.00B,90.00B,4.941844940185547e-06,4.342222213745117e-06,-5.996227264404298e-07
1575687023085,2499.978,76:d0:af:13:75:1f,90.00B,176.00B,5.6793212890625e-06,5.541944503784179e-06,-1.3737678527832032e-07
1575687023132,2500.002,02:59:4e:90:5a:95,90.00B,90.00B,4.559183120727539e-06,4.682588577270508e-06,1.2340545654296913e-07
1575687023028,2500.002,ba:6e:c3:20:7e:f4,90.00B,90.00B,5.489015579223633e-06,5.367469787597656e-06,-1.2154579162597705e-07
1575687023120,2500.012,36:e5:90:a2:39:8d,180.00B,180.00B,5.2953243255615235e-06,4.851818084716797e-06,-4.435062408447263e-07
1575687023100,2500.01,e6:da:06:de:4a:0b,90.00B,90.00B,5.329656600952148e-06,5.10406494140625e-06,-2.2559165954589784e-07
1575687023104,2499.994,7e:47:bc:61:ed:78,90.00B,90.00B,5.486583709716797e-06,5.481386184692383e-06,-5.197525024413808e-09
1575687023103,2500.002,ba:29:d9:cd:5f:10,90.00B,90.00B,5.444765090942383e-06,5.226039886474609e-06,-2.187252044677736e-07
1575687023138,2500.002,ea:63:81:ab:31:f5,90.00B,90.00B,5.41377067565918e-06,5.031824111938477e-06,-3.819465637207032e-07
1575687023098,2500.01,5a:e9:82:e5:11:c6,90.00B,90.00B,4.987668991088867e-06,5.287361145019531e-06,2.996921539306644e-07
1575687023131,2500.012,1e:f0:d7:bd:32:38,90.00B,90.00B,5.436325073242188e-06,5.55882453918457e-06,1.2249946594238277e-07
1575687023054,2500.0,5e:af:d1:d2:8f:b5,90.00B,90.00B,5.5559635162353515e-06,5.512666702270508e-06,-4.329681396484364e-08
1575687023053,2500.002,1e:f7:c4:75:40:5b,90.00B,90.00B,5.748939514160156e-06,5.35430908203125e-06,-3.946304321289064e-07
1575687023098,2500.012,fa:5f:02:b7:46:d8,90.00B,180.00B,5.515861511230469e-06,5.348253250122071e-06,-1.676082611083983e-07
1575687023061,2500.006,66:8a:fa:4c:be:94,90.00B,90.00B,5.29012680053711e-06,4.928874969482422e-06,-3.612518310546875e-07
1575687023189,2500.002,32:f6:75:f2:84:1b,90.00B,90.00B,5.064105987548828e-06,4.600906372070312e-06,-4.6319961547851607e-07
1575687023040,2499.998,ea:c7:8b:4b:27:50,90.00B,90.00B,5.685186386108399e-06,5.488109588623047e-06,-1.970767974853522e-07
1575687023104,2500.01,42:1c:be:8e:ce:f7,180.00B,90.00B,5.595350265502929e-06,5.182123184204101e-06,-4.1322708129882814e-07
1575687023136,2500.008,06:bc:c1:08:6a:88,90.00B,90.00B,5.0907135009765626e-06,4.840087890625e-06,-2.5062561035156285e-07
1575687023096,2500.008,ea:98:63:74:92:e3,90.00B,176.00B,5.314779281616211e-06,5.451107025146485e-06,1.363277435302742e-07
1575687023136,2500.012,32:96:b0:19:17:c8,180.00B,90.00B,5.413484573364258e-06,4.997539520263672e-06,-4.1594505310058555e-07
1575687023141,2500.002,86:5b:04:b7:0c:b5,90.00B,90.00B,5.2366256713867184e-06,5.155229568481445e-06,-8.139610290527347e-08
1575687023051,2500.014,92:db:3f:0d:cf:3b,90.00B,90.00B,5.6772232055664065e-06,5.624294281005859e-06,-5.292892456054719e-08
1575687023051,2500.01,22:d2:e7:c3:0a:bb,90.00B,90.00B,5.856800079345703e-06,5.902671813964844e-06,4.5871734619140443e-08
1575687023135,2500.002,3e:0f:9e:c8:a7:94,90.00B,90.00B,5.668067932128906e-06,5.074930191040039e-06,-5.931377410888672e-07
1575687023126,2499.998,5e:b8:6d:37:96:ab,90.00B,90.00B,5.774354934692383e-06,5.707550048828125e-06,-6.680488586425797e-08
1575687023093,2500.01,ea:37:5d:a9:f7:48,90.00B,90.00B,5.547714233398437e-06,5.104780197143555e-06,-4.429340362548822e-07
1575687023082,2499.978,4e:b9:5e:3d:87:1a,90.00B,90.00B,5.37872314453125e-06,5.010271072387696e-06,-3.68452072143554e-07
1575687023091,2500.0,6a:3a:bf:0c:44:3f,90.00B,90.00B,5.32827377319336e-06,5.3226470947265624e-06,-5.626678466797314e-09
1575687023129,2500.002,ba:d9:d4:5f:08:72,90.00B,90.00B,4.3082237243652344e-06,5.146408081054687e-06,8.381843566894529e-07
1575687023055,2500.002,a2:2d:01:30:f5:ba,90.00B,90.00B,5.351686477661133e-06,5.216455459594727e-06,-1.3523101806640618e-07
1575687023096,2500.008,b2:08:db:31:6b:88,176.00B,90.00B,5.2369117736816405e-06,5.0662517547607425e-06,-1.7066001892089796e-07
1575687023136,2500.008,56:79:d6:93:bb:55,90.00B,90.00B,5.60450553894043e-06,5.329132080078125e-06,-2.7537345886230496e-07
1575687023149,2500.004,b2:05:e0:f7:07:f1,90.00B,90.00B,5.2492618560791014e-06,5.265426635742188e-06,1.616477966308638e-08
1575687023176,2500.008,1a:02:de:d5:44:c8,90.00B,90.00B,5.615091323852539e-06,5.148220062255859e-06,-4.6687126159668004e-07
1575687023090,2500.01,c2:23:a7:ed:0b:a0,90.00B,90.00B,5.485391616821289e-06,5.179166793823242e-06,-3.0622482299804724e-07
1575687023129,2500.008,a6:da:a5:90:d4:c7,90.00B,90.00B,5.319929122924805e-06,5.030393600463867e-06,-2.895355224609378e-07
1575687023060,2500.014,be:31:4a:62:7f:4b,90.00B,90.00B,5.6732177734375e-06,5.762767791748047e-06,8.955001831054654e-08
1575687023128,2500.01,ca:49:80:cb:90:80,90.00B,90.00B,5.405426025390625e-06,5.333089828491211e-06,-7.233619689941404e-08
1575687023100,2500.01,aa:3a:2b:79:22:7b,90.00B,90.00B,5.3936958312988285e-06,5.2321910858154295e-06,-1.6150474548339897e-07
1575687023106,2500.006,5e:ea:31:ff:75:27,90.00B,90.00B,5.6101322174072265e-06,5.484390258789062e-06,-1.2574195861816408e-07
1575687023135,2500.008,76:52:36:75:0a:f6,90.00B,90.00B,4.996109008789063e-06,4.829072952270508e-06,-1.6703605651855503e-07
1575687023117,2499.978,b2:d8:da:64:0d:6f,90.00B,90.00B,5.5520057678222655e-06,5.460786819458008e-06,-9.121894836425782e-08
1575687023117,2500.012,8a:0d:de:e4:4a:8b,90.00B,90.00B,5.620765686035156e-06,5.107498168945312e-06,-5.132675170898435e-07
1575687023121,2500.002,8e:48:ed:a1:46:93,90.00B,90.00B,5.441761016845703e-06,5.169248580932617e-06,-2.725124359130861e-07
1575687023066,2500.012,12:74:e0:74:b8:e1,90.00B,90.00B,5.548286437988281e-06,5.348730087280274e-06,-1.9955635070800775e-07
1575687023119,2500.014,26:21:e3:08:2d:ad,90.00B,176.00B,5.216026306152344e-06,5.219173431396484e-06,3.1471252441400666e-09
1575687023087,2500.012,c6:56:1c:51:26:bf,90.00B,90.00B,5.5351734161376955e-06,5.519199371337891e-06,-1.5974044799804728e-08
1575687023078,2500.008,86:c2:49:ff:e6:c6,90.00B,90.00B,5.370903015136719e-06,5.252695083618164e-06,-1.1820793151855448e-07
1575687023131,2500.012,e6:5b:e9:8d:3d:ab,90.00B,176.00B,5.193710327148437e-06,5.602359771728516e-06,4.0864944458007865e-07
1575687023070,2500.01,76:84:2c:cd:3d:aa,90.00B,90.00B,5.495786666870117e-06,5.079603195190429e-06,-4.161834716796874e-07
1575687023126,2500.01,2a:ab:c1:00:7f:fe,90.00B,90.00B,5.5054664611816405e-06,5.598783493041992e-06,9.331703186035177e-08
1575687023128,2499.998,5a:83:93:ec:2c:77,90.00B,90.00B,5.649709701538086e-06,5.625820159912109e-06,-2.388954162597679e-08
1575687023086,2500.012,fa:46:ff:01:70:42,90.00B,180.00B,4.350805282592773e-06,5.307531356811523e-06,9.567260742187497e-07
1575687023122,2500.002,f6:68:ff:41:c8:8b,90.00B,90.00B,5.273056030273438e-06,5.925655364990234e-06,6.525993347167964e-07
