Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575685740606,2500.01,6e:5f:04:99:20:bb,90.00B,90.00B,3.6229610443115235e-06,3.752756118774414e-06,1.2979507446289052e-07
1575685740647,2500.014,02:a9:b2:84:f0:bf,90.00B,90.00B,3.829431533813477e-06,3.7514209747314454e-06,-7.801055908203155e-08
1575685740657,2499.998,c6:11:3c:ae:4d:9e,90.00B,90.00B,4.202651977539062e-06,4.2955875396728514e-06,9.293556213378931e-08
1575685740649,2500.002,0e:24:a5:13:d4:dc,90.00B,90.00B,4.358386993408203e-06,4.513311386108398e-06,1.5492439270019508e-07
1575685740651,2499.996,6a:7e:fa:54:77:80,176.00B,90.00B,4.564285278320312e-06,4.6206951141357425e-06,5.640983581543036e-08
1575685740609,2500.006,6e:01:cb:90:99:c0,90.00B,90.00B,5.107593536376953e-06,5.333614349365234e-06,2.2602081298828134e-07
1575685740705,2500.0,fa:04:fb:8a:e9:8c,90.00B,90.00B,4.603958129882813e-06,4.282760620117188e-06,-3.211975097656252e-07
1575685740699,2500.0,4a:73:d3:8b:97:1d,90.00B,90.00B,4.552412033081055e-06,4.309749603271484e-06,-2.426624298095706e-07
1575685740641,2500.01,9a:5c:22:ad:84:aa,90.00B,90.00B,5.000925064086914e-06,4.510354995727539e-06,-4.905700683593752e-07
1575685740701,2500.012,86:40:cb:07:cc:a5,90.00B,90.00B,4.4771194458007816e-06,4.494094848632812e-06,1.697540283203065e-08
1575685740686,2499.994,f2:ad:9b:7c:5f:4b,90.00B,90.00B,4.867839813232422e-06,4.598283767700195e-06,-2.6955604553222684e-07
1575685740665,2500.006,ce:6a:ff:28:ff:42,90.00B,90.00B,4.87675666809082e-06,4.494905471801758e-06,-3.8185119628906195e-07
1575685740671,2500.008,ee:a8:d8:2c:a1:0a,90.00B,90.00B,5.69300651550293e-06,5.1938056945800785e-06,-4.992008209228511e-07
1575685740626,2499.992,5e:99:40:80:6f:65,90.00B,90.00B,5.597448348999023e-06,5.393266677856445e-06,-2.041816711425783e-07
1575685740678,2500.006,0a:17:9a:e2:02:4d,176.00B,176.00B,5.419063568115234e-06,4.85224723815918e-06,-5.668163299560542e-07
1575685740663,2500.002,4e:a9:ad:08:74:12,90.00B,90.00B,5.9628486633300785e-06,5.647087097167969e-06,-3.1576156616210954e-07
1575685740615,2500.006,aa:4f:fa:73:9b:a1,90.00B,90.00B,5.369138717651367e-06,5.4709911346435545e-06,1.018524169921873e-07
1575685740617,2500.012,16:97:31:dd:79:e6,90.00B,90.00B,5.254459381103515e-06,5.538702011108399e-06,2.842426300048836e-07
1575685740656,2500.002,ea:29:c5:a4:2c:98,90.00B,90.00B,5.608129501342774e-06,5.30695915222168e-06,-3.0117034912109404e-07
1575685740687,2500.012,3a:b7:a1:0e:b6:46,90.00B,90.00B,5.252838134765625e-06,5.357503890991211e-06,1.0466575622558595e-07
1575685740650,2500.01,5e:90:26:7c:b9:8a,90.00B,90.00B,5.846214294433594e-06,5.779600143432617e-06,-6.661415100097717e-08
1575685740655,2500.01,6e:aa:c8:30:70:9b,90.00B,90.00B,7.682943344116211e-06,5.525541305541992e-06,-2.1574020385742196e-06
1575685740673,2500.006,32:13:f6:ea:0b:2e,90.00B,90.00B,5.753946304321289e-06,5.595493316650391e-06,-1.5845298767089846e-07
1575685740661,2500.006,2e:e3:fa:c8:92:d3,90.00B,90.00B,5.843734741210938e-06,5.483865737915039e-06,-3.598690032958983e-07
1575685740670,2500.01,f6:67:18:8b:f5:86,90.00B,90.00B,5.622339248657227e-06,5.837488174438477e-06,2.1514892578125002e-07
1575685740653,2500.01,fe:c3:d2:75:bf:83,180.00B,90.00B,5.673122406005859e-06,5.474138259887695e-06,-1.9898414611816364e-07
1575685740665,2500.012,86:f4:59:fd:39:81,90.00B,90.00B,5.825090408325196e-06,6.122827529907227e-06,2.9773712158203107e-07
1575685740618,2500.01,66:17:1d:e6:66:f0,90.00B,90.00B,5.939292907714844e-06,5.630207061767578e-06,-3.090858459472661e-07
1575685740656,2500.01,0a:f3:b3:93:e9:28,90.00B,90.00B,5.622673034667969e-06,5.33595085144043e-06,-2.8672218322753914e-07
1575685740663,2500.012,ea:24:7a:6c:b8:91,90.00B,90.00B,5.997657775878906e-06,6.111335754394531e-06,1.1367797851562519e-07
1575685740664,2500.008,be:20:d9:25:d8:d7,176.00B,90.00B,5.996465682983398e-06,5.594635009765625e-06,-4.0183067321777376e-07
1575685740683,2500.0,82:f2:44:91:cf:bd,90.00B,90.00B,5.100345611572265e-06,5.112934112548828e-06,1.2588500976562808e-08
1575685740621,2500.004,f6:61:05:c9:d3:ee,180.00B,90.00B,5.975484848022461e-06,5.6798458099365235e-06,-2.9563903808593713e-07
1575685740701,2500.01,0e:20:3a:c9:c6:23,90.00B,90.00B,5.492162704467773e-06,5.71746826171875e-06,2.2530555725097663e-07
1575685740667,2500.002,6a:b9:ac:67:e2:90,90.00B,180.00B,5.948495864868164e-06,5.743646621704101e-06,-2.048492431640628e-07
1575685740683,2500.012,c2:7d:11:a3:3f:ae,90.00B,90.00B,5.836677551269531e-06,5.6695938110351565e-06,-1.6708374023437439e-07
1575685740670,2500.008,e2:48:24:a3:25:7b,90.00B,90.00B,5.729484558105468e-06,5.70836067199707e-06,-2.1123886108398335e-08
1575685740682,2500.0,12:24:5f:ba:5b:a1,90.00B,90.00B,5.048036575317382e-06,5.167865753173828e-06,1.1982917785644556e-07
