Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,First Iteration Latency,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575670798102,2300.014,fe:0f:fa:a2:4d:2f,90.00B,90.00B,5.644124984741211,6.373834609985351e-06,7.244253158569336e-06,8.704185485839844e-07
1575670798104,2300.014,0a:4a:25:9b:42:63,90.00B,90.00B,5.666883945465088,6.09889030456543e-06,6.803989410400391e-06,7.050991058349609e-07
1575670798101,2300.016,ea:45:57:d4:72:31,176.00B,90.00B,5.606935024261475,6.348371505737304e-06,7.2492122650146485e-06,9.008407592773441e-07
1575670798103,2300.014,0e:db:ed:52:63:f4,90.00B,90.00B,5.622297525405884,6.184101104736328e-06,7.623529434204102e-06,1.4394283294677738e-06
1575670798104,2300.014,3a:24:98:69:aa:ce,90.00B,90.00B,5.680891275405884,6.379413604736328e-06,6.90774917602539e-06,5.283355712890619e-07
1575670798101,2300.016,0e:fc:05:e2:6f:7a,90.00B,90.00B,5.603964805603027,6.130695343017578e-06,7.372713088989258e-06,1.2420177459716802e-06
1575670798099,2300.016,be:64:bf:f7:f7:27,90.00B,90.00B,5.612362384796143,6.183624267578125e-06,7.494974136352539e-06,1.311349868774414e-06
1575670798100,2300.016,ba:bb:51:4d:ec:ca,90.00B,90.00B,5.596893310546875,6.14471435546875e-06,7.739925384521484e-06,1.5952110290527342e-06
1575670798100,2300.016,5a:1b:49:03:48:95,90.00B,90.00B,5.608502626419067,6.326007843017578e-06,7.394886016845703e-06,1.068878173828125e-06
1575670798104,2300.014,56:ba:51:a9:b7:06,90.00B,90.00B,5.6247239112854,6.061553955078125e-06,7.652902603149413e-06,1.5913486480712886e-06
1575670798101,2300.016,c2:8c:74:93:e9:35,90.00B,90.00B,5.621140718460083,6.411838531494141e-06,7.99560546875e-06,1.5837669372558596e-06
1575670798099,2300.016,46:e1:fc:bd:4a:0f,90.00B,90.00B,5.622801303863525,6.132364273071289e-06,7.539796829223632e-06,1.4074325561523433e-06
