Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575671786763,2500.0,da:ac:ec:a5:ae:4c,90.00B,90.00B,4.3519020080566405e-06,4.7350883483886715e-06,3.83186340332031e-07
1575671786757,2500.01,12:a1:96:37:4b:47,90.00B,90.00B,4.469013214111328e-06,4.915142059326172e-06,4.4612884521484417e-07
1575671786771,2500.004,66:5a:78:51:05:d2,90.00B,90.00B,4.3300628662109375e-06,4.393243789672852e-06,6.31809234619142e-08
1575671786767,2500.006,66:84:7c:c5:8d:16,176.00B,180.00B,4.668569564819336e-06,5.1240921020507815e-06,4.5552253723144586e-07
1575671786758,2500.0,5e:4f:7f:30:7d:33,180.00B,90.00B,4.611968994140625e-06,5.467891693115235e-06,8.559226989746093e-07
1575671786757,2500.0,a6:c1:7c:fd:ea:c8,90.00B,180.00B,4.694986343383789e-06,5.49168586730957e-06,7.966995239257812e-07
1575671786766,2500.002,fa:a4:0a:69:bb:00,90.00B,90.00B,4.055643081665039e-06,4.443454742431641e-06,3.878116607666015e-07
1575671786759,2500.0,be:97:43:c3:fc:17,176.00B,90.00B,4.442310333251953e-06,5.339431762695312e-06,8.97121429443359e-07
1575671786761,2500.006,36:63:b7:2d:83:1b,90.00B,90.00B,4.5083999633789065e-06,5.205392837524414e-06,6.969928741455072e-07
1575671786760,2500.002,e6:b2:ef:af:00:21,90.00B,90.00B,4.351139068603516e-06,4.702901840209961e-06,3.5176277160644543e-07
1575671786757,2500.006,36:ed:d5:36:e2:48,176.00B,90.00B,4.9045085906982425e-06,5.028438568115235e-06,1.239299774169922e-07
1575671786756,2500.006,6a:ab:c7:7b:4b:f9,90.00B,90.00B,4.824304580688477e-06,5.055761337280274e-06,2.31456756591797e-07
1575671786760,2500.002,46:33:d0:6d:02:15,90.00B,90.00B,4.275035858154297e-06,4.677963256835937e-06,4.029273986816401e-07
1575671786741,2500.01,e2:f8:cd:5b:83:b5,90.00B,90.00B,4.956436157226562e-06,6.6611289978027345e-06,1.7046928405761724e-06
1575671786767,2500.002,4a:8a:d6:60:1e:14,176.00B,90.00B,4.2892932891845705e-06,4.830646514892578e-06,5.413532257080074e-07
1575671786757,2500.008,0e:b3:2e:e4:0e:e7,90.00B,176.00B,4.64634895324707e-06,6.472492218017578e-06,1.8261432647705082e-06
1575671786773,2500.0,1e:a0:10:2c:48:e7,176.00B,90.00B,4.2622089385986325e-06,4.416704177856445e-06,1.5449523925781243e-07
1575671786761,2500.006,8e:5e:17:e9:5d:12,90.00B,90.00B,4.858207702636719e-06,5.1172733306884766e-06,2.59065628051758e-07
1575671786756,2500.0,c6:7d:42:1b:a3:4f,90.00B,90.00B,4.648113250732422e-06,4.522705078125e-06,-1.2540817260742183e-07
1575671786737,2500.01,be:0d:62:76:24:92,90.00B,90.00B,4.819202423095703e-06,7.406806945800782e-06,2.5876045227050784e-06
1575671786736,2500.01,1e:2f:2f:2d:e3:b9,90.00B,176.00B,4.824686050415039e-06,7.475900650024414e-06,2.6512145996093752e-06
1575671786760,2500.006,66:08:20:f0:01:38,90.00B,90.00B,4.593038558959961e-06,5.219364166259766e-06,6.263256072998044e-07
1575671786752,2500.006,52:a7:7f:0c:e6:ed,90.00B,90.00B,4.9560070037841795e-06,6.557464599609375e-06,1.6014575958251959e-06
1575671786744,2500.01,ae:a7:c3:91:55:bf,90.00B,90.00B,4.893636703491211e-06,6.491661071777344e-06,1.5980243682861329e-06
1575671786755,2500.008,aa:3f:84:aa:a4:f7,90.00B,90.00B,4.671144485473632e-06,6.463146209716797e-06,1.7920017242431644e-06
1575671786757,2500.0,0a:8c:a5:b6:a5:6f,90.00B,180.00B,4.649543762207031e-06,5.36189079284668e-06,7.123470306396484e-07
1575671786772,2500.006,8e:7c:d7:87:43:cc,90.00B,90.00B,4.798603057861328e-06,5.011892318725586e-06,2.1328926086425793e-07
1575671786758,2500.012,02:02:b3:39:5d:82,90.00B,90.00B,4.81562614440918e-06,5.23834228515625e-06,4.2271614074707024e-07
1575671786766,2500.006,e6:68:a1:3a:b2:c5,176.00B,90.00B,4.811763763427734e-06,6.295585632324219e-06,1.4838218688964846e-06
1575671786768,2500.0,16:53:74:da:b1:b7,90.00B,90.00B,4.7271728515625e-06,4.850482940673828e-06,1.2331008911132789e-07
1575671786756,2500.008,e2:88:2b:b2:24:8a,90.00B,90.00B,4.733943939208984e-06,6.500768661499024e-06,1.7668247222900396e-06
1575671786761,2500.012,ce:83:19:19:40:a4,90.00B,90.00B,4.880475997924804e-06,5.213117599487305e-06,3.3264160156250063e-07
1575671786746,2500.01,82:17:b2:68:5a:ba,90.00B,90.00B,4.8978805541992185e-06,6.569290161132812e-06,1.671409606933594e-06
1575671786744,2500.01,6e:e0:79:b1:a6:cd,90.00B,90.00B,5.118560791015625e-06,6.597614288330078e-06,1.4790534973144526e-06
1575671786758,2500.006,a2:41:81:70:bf:b5,90.00B,90.00B,4.773712158203125e-06,6.503868103027344e-06,1.7301559448242184e-06
1575671786741,2500.012,1a:b4:98:21:6d:63,90.00B,90.00B,5.104207992553711e-06,6.831693649291992e-06,1.7274856567382812e-06
1575671786739,2500.012,12:49:62:e4:1a:30,90.00B,90.00B,4.9918174743652345e-06,6.8331241607666015e-06,1.841306686401367e-06
1575671786759,2500.012,6e:14:87:19:22:23,90.00B,90.00B,4.953718185424805e-06,5.338001251220703e-06,3.8428306579589815e-07
1575671786758,2500.008,5a:ab:27:2f:8f:09,176.00B,90.00B,4.7661304473876955e-06,6.410980224609375e-06,1.64484977722168e-06
