Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,First Iteration Latency,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575670938165,2300.014,56:74:bf:ea:85:25,176.00B,90.00B,5.598928213119507,5.881118774414063e-06,8.889198303222656e-06,3.0080795288085932e-06
1575670938171,2300.014,ce:96:65:b7:9b:4b,90.00B,176.00B,5.595734596252441,5.843639373779297e-06,5.8760643005371096e-06,3.242492675781232e-08
1575670938171,2300.014,3a:24:98:69:aa:ce,90.00B,90.00B,5.611691236495972,5.998516082763672e-06,6.00576400756836e-06,7.247924804687549e-09
1575670938147,2300.014,c2:4d:61:de:94:9d,90.00B,90.00B,5.610376358032227,5.8941841125488284e-06,6.1093330383300785e-06,2.1514892578125002e-07
1575670938169,2300.016,5a:1b:49:03:48:95,90.00B,90.00B,5.598956823348999,6.008529663085937e-06,6.125974655151367e-06,1.1744499206542956e-07
1575670938147,2300.014,16:b8:9d:64:d7:6e,180.00B,90.00B,5.619738340377808,6.010103225708008e-06,5.8705329895019535e-06,-1.3957023620605467e-07
1575670938152,2300.014,ae:40:18:a3:82:7a,90.00B,90.00B,5.615737438201904,6.0150146484375e-06,6.068849563598633e-06,5.383491516113271e-08
1575670938151,2300.014,7a:51:b9:a4:54:3a,90.00B,90.00B,5.621607065200806,5.773639678955078e-06,5.909299850463867e-06,1.3566017150878884e-07
1575670938152,2300.014,52:c5:6f:96:cb:b9,90.00B,90.00B,5.629368543624878,5.895853042602539e-06,5.930900573730469e-06,3.504753112793017e-08
1575670938169,2300.016,7e:7d:bc:4e:57:94,90.00B,90.00B,5.608642578125,5.928802490234375e-06,5.9625625610351564e-06,3.3760070800781344e-08
1575670938169,2300.016,46:e1:fc:bd:4a:0f,90.00B,90.00B,5.621920347213745,6.044340133666992e-06,6.19354248046875e-06,1.4920234680175737e-07
1575670938165,2300.014,66:2f:b1:8b:d7:c4,90.00B,90.00B,5.612282752990723,5.970859527587891e-06,6.0291290283203126e-06,5.82695007324216e-08
1575670938147,2300.014,0a:03:a0:65:81:5b,90.00B,90.00B,5.631285190582275,5.947208404541016e-06,6.163692474365234e-06,2.164840698242182e-07
1575670938150,2300.014,ce:c2:35:20:ca:e1,180.00B,180.00B,5.6195151805877686,5.956220626831054e-06,6.000852584838867e-06,4.463195800781267e-08
1575670938153,2300.014,86:20:42:61:e4:17,90.00B,90.00B,5.616126537322998,6.155490875244141e-06,6.2387466430664065e-06,8.325576782226556e-08
1575670938164,2300.016,56:21:fb:ff:45:f1,90.00B,90.00B,5.620382785797119,5.745363235473633e-06,5.787849426269531e-06,4.248619079589852e-08
1575670938169,2300.016,be:64:bf:f7:f7:27,90.00B,90.00B,5.62472677230835,5.946683883666992e-06,6.042718887329101e-06,9.603500366210917e-08
1575670938162,2300.014,3a:82:e1:04:85:81,90.00B,176.00B,5.627562761306763,6.243276596069336e-06,6.167316436767578e-06,-7.596015930175781e-08
1575670938170,2300.014,ce:ac:cd:4e:d0:7e,90.00B,90.00B,5.618236780166626,6.008672714233399e-06,6.004714965820313e-06,-3.957748413086031e-09
1575670938162,2300.014,ee:e2:f9:97:47:85,90.00B,90.00B,5.618901014328003,6.049966812133789e-06,5.963945388793946e-06,-8.602142333984317e-08
1575670938169,2300.016,82:fd:2b:50:2e:31,90.00B,90.00B,5.6295166015625,6.01511001586914e-06,5.991220474243164e-06,-2.3889541625975943e-08
1575670938172,2300.014,fe:0f:fa:a2:4d:2f,90.00B,90.00B,5.62160587310791,6.114530563354492e-06,6.137800216674805e-06,2.3269653320312478e-08
1575670938162,2300.014,62:a8:34:b4:de:2f,90.00B,90.00B,5.6131205558776855,6.076383590698242e-06,6.004858016967773e-06,-7.152557373046892e-08
1575670938147,2300.014,b6:1a:67:89:c5:44,90.00B,90.00B,5.648686170578003,6.139612197875977e-06,6.248378753662109e-06,1.0876655578613259e-07
1575670938164,2300.014,4e:8a:5b:39:4b:f9,90.00B,90.00B,5.624273777008057,5.766534805297851e-06,5.809402465820312e-06,4.286766052246098e-08
1575670938156,2300.014,4a:b3:32:fe:da:21,90.00B,90.00B,5.618533134460449,6.1340808868408206e-06,6.147241592407227e-06,1.3160705566406071e-08
1575670938167,2300.014,82:4a:2d:53:26:bd,90.00B,90.00B,5.630878448486328,6.112146377563476e-06,6.027412414550781e-06,-8.473396301269519e-08
1575670938168,2300.016,be:03:b6:1d:2a:40,90.00B,90.00B,5.617997169494629,5.964565277099609e-06,6.026554107666016e-06,6.198883056640662e-08
1575670938170,2300.014,4a:18:2d:7b:f6:9d,176.00B,90.00B,5.602829933166504,5.964088439941406e-06,6.032037734985352e-06,6.794929504394535e-08
